domain_industry_vertical,dormant,failure,success,success_rate
creative_design,15044,182,1034,0.06359163591635525
education_academic,10670,151,1625,0.13056403663826685
finance_accounting,1991,215,1587,0.41840232006316413
general_cross_functional,5712,308,1996,0.24900199600795295
hr_people,1210,140,764,0.3614001892145878
it_engineering,3065,208,1135,0.25748638838469656
legal_compliance,1601,116,847,0.3303432137284203
marketing_content,9869,673,4695,0.30813152195312016
personal_productivity,2059,464,3008,0.5438437895497118
project_management_ops,17324,3799,18164,0.4623412324687438
sales_crm,1980,348,1847,0.4423952095807323
unknown,15,7,10,0.3124999999902344
