feature,mean_shap,mean_abs_shap
autonomy_level=autonomous,0.0009071918089141035,0.008556567036862478
autonomy_level=consultative,0.00019464651027747233,0.010960720781093123
autonomy_level=human_in_the_loop,-0.0001144977925987712,0.0008289753447106994
autonomy_level=unknown,4.883265453197055e-05,4.883265453197055e-05
data_flow_direction=bidirectional,0.00024970125825942184,0.0014931268873524903
data_flow_direction=inbound,-1.7118675307574448e-06,1.7118675307574448e-06
data_flow_direction=outbound,-0.000692881714658486,0.006817742123980495
data_flow_direction=processing,4.1265912003767135e-05,0.0017125732998737873
data_flow_direction=unknown,-9.138122401782312e-07,2.8970719710923734e-06
domain_industry_vertical=creative_design,0.002449384629887207,0.011734032732647816
domain_industry_vertical=education_academic,-0.0003692903677563989,0.005576150317491687
domain_industry_vertical=finance_accounting,-3.059816606437949e-05,0.00026071782288212837
domain_industry_vertical=general_cross_functional,0.00018744150089122398,0.0011402027477152505
domain_industry_vertical=hr_people,4.1622768768359006e-05,5.8011213342745086e-05
domain_industry_vertical=it_engineering,1.987125081585417e-05,0.00017289869437843653
domain_industry_vertical=legal_compliance,1.8864539458768367e-05,4.39325952534841e-05
domain_industry_vertical=marketing_content,-0.0003161346003259088,0.003991874801728933
domain_industry_vertical=personal_productivity,0.000617266415431036,0.002315130733640094
domain_industry_vertical=project_management_ops,0.0005881362385372353,0.004313868188180193
domain_industry_vertical=sales_crm,1.4039079921792565e-05,0.000380870873273118
domain_industry_vertical=unknown,0.0,0.0
domain_knowledge_depth=deep,-2.1736664725528114e-05,0.00029813476456625636
domain_knowledge_depth=light,0.00012148580309966262,0.0022347317370619755
domain_knowledge_depth=moderate,0.0003411708423948656,0.004554420878937822
domain_knowledge_depth=none,9.299403076670673e-05,0.0004528685942689242
domain_knowledge_depth=unknown,0.0,0.0
execution_dataset=collection_scoped,-0.008921803484362584,0.05902740462527064
execution_dataset=collection_unbounded,0.003858804636625041,0.014373096990538506
execution_dataset=single_asset_from_user,0.002646226927541182,0.011586557645293453
execution_dataset=single_event_data,-0.001691212514871668,0.011038561539205318
execution_dataset=single_user_prompt,-0.0011646930084046067,0.02572010477425271
execution_dataset=unknown,5.5455699290369016e-05,5.5455699290369016e-05
external_integration_scope=calendar_integration,1.3554671049896607e-05,0.0005142750315394821
external_integration_scope=clickup_only,0.00020894065691690733,0.0047020907347343705
external_integration_scope=email_integration,-4.973542593028469e-05,0.0004338847722497484
external_integration_scope=multiple_external_systems,0.00012079563185167672,0.0004540718393796421
external_integration_scope=unknown,0.00012203145380337218,0.00012203145380337218
external_integration_scope=web_research_integration,8.265489943732183e-05,0.0006466322746064053
functional_archetype=analyzer,-0.00020654490394032417,0.0015120021748862146
functional_archetype=communicator,0.0001443288922940166,0.0019324235057479927
functional_archetype=creator,0.0013462136735511608,0.043305783917810425
functional_archetype=enforcer,-4.7548939479900104e-05,0.00023366750582887356
functional_archetype=monitor,0.0013228578269932321,0.024366681198850323
functional_archetype=organizer,-0.00035885404796700957,0.004618233543041215
functional_archetype=unknown,3.4231824051676085e-06,3.4231824051676085e-06
implied_end_date=false,0.000257129806152629,0.0007444128922498508
implied_end_date=true,0.00020941016259392882,0.0006095577579311339
implied_end_date=unknown,7.548240799414998e-06,7.548240799414998e-06
operational_scope=branching_workflow,0.00020301081315753742,0.0013784356793336134
operational_scope=multi_workflow_orchestration,0.004096406068243432,0.009132631851738791
operational_scope=sequential_workflow,0.0012342308639709187,0.009049564918110714
operational_scope=single_action,1.8839662758789473e-05,1.8839662758789473e-05
operational_scope=unknown,1.43009229172094e-06,9.593743394361808e-06
output_modality=email_external_message,5.7080426715128765e-06,0.00022432286719561485
output_modality=messages,0.0005823945957252886,0.004811231230380011
output_modality=structured_document,0.0005536523262400551,0.001695102028241851
output_modality=task_artifact,-1.9254090410491945e-05,0.0010563418879103845
output_modality=unknown,1.0662970588730332e-05,4.560182153023789e-05
output_modality=visual_image,0.00016156005038695407,0.009437894219261932
state_persistence=state_accumulating,-0.0001540842580669704,0.0014519775968166934
state_persistence=state_referencing,-1.154608315264084e-05,0.0004303219320371332
state_persistence=stateless,2.3937549629290517e-05,2.3937549629290517e-05
state_persistence=unknown,-0.0005439212861044457,0.0031708083338230697
team_orientation=individual,0.00020409891778735363,0.0016798090498509955
team_orientation=larger_team,0.00016283963671321545,0.00016283963671321545
team_orientation=small_team,-7.484523229315531e-05,0.0007132121881868078
team_orientation=unknown,-8.972426997470393e-06,8.972426997470393e-06
tone_and_persona=casual_friendly,6.993618953691453e-05,0.0017384145927879322
tone_and_persona=empathetic_supportive,-2.0657198491634576e-05,0.00018490822564033485
tone_and_persona=professional_formal,-2.8002889443796125e-05,0.0005876808193302559
tone_and_persona=technical_precise,1.2474550106020382e-05,0.00020308642970738553
tone_and_persona=unknown,0.00011311661104398923,0.00011311661104398923
use_case_context=entertainment,-1.371695928380632e-06,1.2813425926644868e-05
use_case_context=general_productivity,3.43886136725166e-05,0.001491678172812929
use_case_context=personal_productivity,0.00016043698837729425,0.00022538039725323369
use_case_context=personal_use_case,4.64400315936197e-05,0.0011286722378844052
use_case_context=specific_use_case,-3.438077408088167e-05,0.0015859936702923424
use_case_context=test_or_placeholder,0.0,0.0
use_case_context=unknown,-2.184670089991414e-07,2.184670089991414e-07
