feature,importance
trigger=scheduled,0.393231471713431
trigger=introduction,0.10808187433348436
execution_dataset=collection_scoped,0.061478723908483995
functional_archetype=creator,0.0451551836908165
trigger=\N,0.03968580257168046
trigger=automation,0.03296265451700727
trigger=dm,0.030979265270659754
execution_dataset=single_user_prompt,0.028021623392567255
functional_archetype=monitor,0.0274681770715348
data_flow_direction=outbound,0.02383596774764056
domain_industry_vertical=creative_design,0.015703551572059944
execution_dataset=collection_unbounded,0.015173925933172452
output_modality=visual_image,0.01454537493930681
execution_dataset=single_asset_from_user,0.01213244138724403
operational_scope=multi_workflow_orchestration,0.01210926094323394
domain_industry_vertical=project_management_ops,0.0113006551008195
template=unknown,0.009081096467844826
trigger=unknown,0.008973326213000846
data_flow_direction=processing,0.00875077453886737
execution_dataset=single_event_data,0.008213686787995908
autonomy_level=consultative,0.008200859837700844
template_is_custom,0.007811131687599102
template=custom,0.007447958118502274
domain_knowledge_depth=moderate,0.005816168533844586
domain_industry_vertical=education_academic,0.005534022106042409
output_modality=messages,0.004446070962042194
trigger=task_comment_mention,0.004424011779208233
functional_archetype=organizer,0.003783297733728281
autonomy_level=autonomous,0.0037743128722339983
domain_knowledge_depth=light,0.00276870603562275
operational_scope=sequential_workflow,0.0026218503294990776
external_integration_scope=clickup_only,0.001965323208833521
use_case_context=specific_use_case,0.0017200598989359935
domain_industry_vertical=marketing_content,0.0016749434675443976
use_case_context=personal_use_case,0.001644365305434795
tone_and_persona=casual_friendly,0.0015118682061580331
functional_archetype=analyzer,0.0014750058314894209
domain_industry_vertical=personal_productivity,0.0014651161822819283
data_flow_direction=bidirectional,0.001439620119007345
team_orientation=individual,0.0014047923834472655
state_persistence=state_accumulating,0.0013951391988252496
trigger=assignment,0.0013134666181554078
output_modality=task_artifact,0.001269590062815414
tone_and_persona=professional_formal,0.0012309701724030658
state_persistence=unknown,0.001130510350824507
operational_scope=branching_workflow,0.0010942408334563322
output_modality=structured_document,0.0010731980508077864
domain_knowledge_depth=none,0.0008538083573145879
use_case_context=general_productivity,0.0008406254340204295
functional_archetype=communicator,0.0008072773593644034
autonomy_level=human_in_the_loop,0.0006455876599374182
external_integration_scope=web_research_integration,0.0006388093145308248
functional_archetype=enforcer,0.0006053811388077537
team_orientation=small_team,0.0005786976402560426
domain_industry_vertical=general_cross_functional,0.000537147314452985
domain_knowledge_depth=deep,0.0005333319026311873
implied_end_date=true,0.0004818751744758492
team_orientation=larger_team,0.0004797762562270228
tone_and_persona=empathetic_supportive,0.0004533433788652581
external_integration_scope=multiple_external_systems,0.0004393842754881714
state_persistence=state_referencing,0.0004306106542083177
implied_end_date=false,0.00043017452520160727
trigger=mention,0.00036501860362841916
tone_and_persona=technical_precise,0.0003605682491774771
tone_and_persona=unknown,0.0003494801925101902
external_integration_scope=calendar_integration,0.0003147479911466826
use_case_context=personal_productivity,0.00031464012130005576
external_integration_scope=email_integration,0.0003087678339417648
domain_industry_vertical=sales_crm,0.0003082233725581455
external_integration_scope=unknown,0.00029801575800476193
domain_industry_vertical=finance_accounting,0.00026592231832405275
domain_industry_vertical=it_engineering,0.00025074752828558726
output_modality=email_external_message,0.00024804312074244754
execution_dataset=unknown,0.0002307403226975194
domain_industry_vertical=legal_compliance,0.00016830214531762588
output_modality=unknown,0.00015453397151311019
domain_industry_vertical=hr_people,0.00015172049937973466
team_orientation=unknown,0.00014260764080441986
operational_scope=single_action,0.00010206279209812978
autonomy_level=unknown,0.00010035172701612077
state_persistence=stateless,8.379129419898714e-05
trigger=manual,7.669861947954092e-05
data_flow_direction=inbound,7.418978773391758e-05
use_case_context=entertainment,6.585469319847698e-05
use_case_context=test_or_placeholder,4.391425896772191e-05
implied_end_date=unknown,4.229978337117813e-05
operational_scope=unknown,3.678124967164542e-05
functional_archetype=unknown,2.8071117552242896e-05
data_flow_direction=unknown,2.7088791567339733e-05
use_case_context=unknown,6.808690616642754e-06
domain_industry_vertical=unknown,2.0082661746650723e-06
domain_knowledge_depth=unknown,7.308859438917391e-07
template_is_templated,0.0
