feature,mean_shap,mean_abs_shap
trigger=scheduled,-0.0036467977212140184,0.12857885477323897
trigger=introduction,0.005751119536313238,0.058553123083618805
execution_dataset=collection_scoped,-0.0037824195599297115,0.023809986788036554
trigger=\N,0.0007244782897453452,0.022525209720989803
trigger=automation,5.639083457017864e-06,0.01906402450344311
functional_archetype=creator,0.0010783284291321462,0.01885968775877486
execution_dataset=single_user_prompt,-0.0004121944172670911,0.01037268729275653
trigger=dm,-0.0018648077404921305,0.01028432542240381
functional_archetype=monitor,0.0005215929086307464,0.007601155594378366
domain_industry_vertical=creative_design,0.0015664077255238818,0.00697825716883085
output_modality=visual_image,0.0005700418996749881,0.006606784800828015
trigger=unknown,0.0005202056933441234,0.0051249050514814605
template_is_custom,0.0004602226317434804,0.004868439511850256
execution_dataset=single_asset_from_user,0.0010511515206774048,0.004824392716199798
data_flow_direction=outbound,-2.822222584403699e-05,0.004791388302785553
template=unknown,0.0004624795043747434,0.004766586422490452
execution_dataset=collection_unbounded,0.0011073071770314503,0.0044344579194055146
autonomy_level=consultative,0.00016992604609775114,0.004248112992729003
template=custom,0.0004450003828738984,0.00405508866643952
operational_scope=multi_workflow_orchestration,0.002009622624544648,0.003898416016907363
domain_industry_vertical=education_academic,-0.00016420016372595408,0.003768631675505486
trigger=task_comment_mention,-0.0008123724636792919,0.0028827268487831782
execution_dataset=single_event_data,-0.0006049852406188035,0.0027414180523536763
domain_industry_vertical=project_management_ops,0.0004456474182183491,0.002729812375217059
use_case_context=specific_use_case,-0.00012851192348020338,0.002395889576659051
operational_scope=sequential_workflow,0.0002240110051896266,0.0023669143465033316
output_modality=messages,0.000213466069463793,0.002305930074252354
data_flow_direction=processing,-3.514640188709269e-05,0.0019326302638678612
tone_and_persona=casual_friendly,0.00010092845052536837,0.0017865887689075374
autonomy_level=autonomous,0.00043956601273708673,0.0017390959271197737
domain_knowledge_depth=moderate,5.225316833129404e-05,0.0017018700544799428
domain_industry_vertical=marketing_content,5.347887426915757e-05,0.0016652821567265073
functional_archetype=analyzer,-0.00012710523789589553,0.0013825857650304008
external_integration_scope=clickup_only,0.000151799004226954,0.0013712828301524194
use_case_context=personal_use_case,3.539497885877861e-05,0.0013407699878464983
functional_archetype=organizer,7.402921482493404e-07,0.001238416188625262
tone_and_persona=professional_formal,2.725109796392984e-05,0.0012081559763615904
domain_knowledge_depth=light,7.576429356729504e-05,0.001132406100760709
use_case_context=general_productivity,1.763005795294788e-05,0.0009236355489004798
state_persistence=unknown,-0.00010035871692167786,0.0007650834177020429
state_persistence=state_accumulating,-1.5658080781725952e-05,0.0007537568572222223
team_orientation=individual,3.800638053607445e-05,0.0006051964181954943
output_modality=task_artifact,2.3525456188174173e-05,0.0005422018014329137
domain_knowledge_depth=none,2.4423296492400747e-05,0.0005322291980742384
output_modality=structured_document,0.00012726363483181395,0.0005111282815401661
functional_archetype=communicator,-1.4330883367117876e-05,0.00048744024946299237
operational_scope=branching_workflow,-5.172687525719331e-05,0.000426545731399749
domain_knowledge_depth=deep,6.596132124738205e-05,0.00041092966904408623
domain_industry_vertical=personal_productivity,7.042485978891503e-05,0.00039816051678065646
functional_archetype=enforcer,-8.835304935616373e-05,0.00039216976224290545
data_flow_direction=bidirectional,3.506215667184058e-05,0.00038591423897869285
autonomy_level=human_in_the_loop,5.329015017148984e-05,0.0003779446672556579
implied_end_date=true,0.00012340285541268735,0.0003434534893615541
domain_industry_vertical=general_cross_functional,6.813725558300027e-05,0.0003288960120123036
implied_end_date=false,6.182243192752934e-05,0.00026003901724592094
team_orientation=small_team,-2.4285742996799233e-05,0.00025787906730501494
trigger=mention,-0.00011876232484579305,0.000252765407581337
domain_industry_vertical=finance_accounting,-5.252289416080561e-05,0.00023270925851615675
external_integration_scope=web_research_integration,3.934044099426904e-05,0.0002306955364998251
trigger=assignment,0.00021525089895984816,0.00021525089895984816
tone_and_persona=empathetic_supportive,1.771376611929156e-05,0.0001803283781440208
output_modality=email_external_message,1.006425127530008e-05,0.0001659452793876888
