,autonomy_level=autonomous,autonomy_level=consultative,autonomy_level=human_in_the_loop,autonomy_level=unknown
domain_industry_vertical=creative_design,-0.10894064913444594,0.1729758657988389,-0.08171842449903223,-0.004921699439926459
domain_industry_vertical=education_academic,-0.03627729334935718,0.08888445570538901,-0.06805451024394865,-0.005167238244378504
domain_industry_vertical=finance_accounting,0.00966431882743875,-0.019250521864217624,0.011900214691901884,0.003872669940504783
domain_industry_vertical=general_cross_functional,-0.017007454378704292,0.03097008198204552,-0.022058251483635483,0.026351344845809577
domain_industry_vertical=hr_people,-0.0072799060636804785,-0.010771994151789113,0.023753468683632428,0.0017894949808764339
domain_industry_vertical=it_engineering,-0.01991732696348717,0.011379126446515852,0.010406235985471806,0.008638626200493509
domain_industry_vertical=legal_compliance,-0.005270221707442742,-0.009257465361761176,0.01801553869834859,0.008718154220762579
domain_industry_vertical=marketing_content,-0.05933458249163026,0.05681357695221022,0.0038979631824037292,0.004338655550787821
domain_industry_vertical=personal_productivity,0.004578475184551616,-0.005085165143973044,0.0005712595817191472,3.4737492635993295e-05
domain_industry_vertical=project_management_ops,0.1545959889586123,-0.2094805109268882,0.07388995397191277,-0.029884536407979185
domain_industry_vertical=sales_crm,0.019322617781100282,-0.05602240447880251,0.04785911156077273,0.001862530973534295
domain_industry_vertical=unknown,-0.014838772386137716,-0.013532796874385251,-0.007405316810239324,0.30238254218903826
