,data_flow_direction=bidirectional,data_flow_direction=inbound,data_flow_direction=outbound,data_flow_direction=processing,data_flow_direction=unknown
domain_industry_vertical=creative_design,-0.10398019476458656,-0.022941292234484396,0.3925792125139411,-0.33129978134679,-0.0063739485078467715
domain_industry_vertical=education_academic,-0.03278022495791757,-0.016557496122287872,0.15072190790789067,-0.12977040769670778,-0.004793158023355749
domain_industry_vertical=finance_accounting,0.014200594007609181,-0.0015647769697191237,-0.05190432520348111,0.044016256618404886,0.001913434330709495
domain_industry_vertical=general_cross_functional,0.043636741894800685,-0.011915734357307214,0.03898987755907268,-0.06186036387214953,0.02801657316579678
domain_industry_vertical=hr_people,0.01996172859171234,-0.0024250901912005185,-0.031541827091448794,0.02152650234878792,-0.004066963396709233
domain_industry_vertical=it_engineering,-0.03547030338791116,-0.0046550407047305595,0.030666589533467466,-0.01195257692570652,0.005067642814861897
domain_industry_vertical=legal_compliance,0.013330337012458228,-0.005796954025619911,-0.025153305092179116,0.018007236335206036,0.00818996944526192
domain_industry_vertical=marketing_content,-0.026857057210483808,-0.018929955814560435,0.20319223093223387,-0.18469057184793589,-0.0010645550154501375
domain_industry_vertical=personal_productivity,0.11609931719822367,-0.008258553449388467,-0.08123169212225961,0.02176591251413973,-0.002316564131201106
domain_industry_vertical=project_management_ops,0.007262878369900812,0.048253331547766135,-0.46442653058673466,0.45149651348510256,-0.023525894443854424
domain_industry_vertical=sales_crm,0.08447568453619393,0.020779278360601554,-0.07269773737780295,0.02611269166584234,-0.0011845383833422498
domain_industry_vertical=unknown,-0.0046366324167164364,-0.0009778774763125457,-0.014359906798831057,-0.016791492941817764,0.40796127420357803
