,domain_industry_vertical=creative_design,domain_industry_vertical=education_academic,domain_industry_vertical=finance_accounting,domain_industry_vertical=general_cross_functional,domain_industry_vertical=hr_people,domain_industry_vertical=it_engineering,domain_industry_vertical=legal_compliance,domain_industry_vertical=marketing_content,domain_industry_vertical=personal_productivity,domain_industry_vertical=project_management_ops,domain_industry_vertical=sales_crm,domain_industry_vertical=unknown
domain_industry_vertical=creative_design,1.0,-0.14298425135453796,-0.0757679654216227,-0.11232288890946246,-0.05613831279674624,-0.08190901013764891,-0.06195010781865752,-0.16042893897258748,-0.09222573732272364,-0.29624673863899265,-0.07963011964982317,-0.006843423249150277
domain_industry_vertical=education_academic,-0.14298425135453796,1.0,-0.06503040468476141,-0.0964048972477661,-0.04818259510041292,-0.07030116285872236,-0.05317076365049647,-0.13769353270184645,-0.07915584095565384,-0.25426372732897745,-0.06834522844988923,-0.005873598173646394
domain_industry_vertical=finance_accounting,-0.0757679654216227,-0.06503040468476141,1.0,-0.05108536675855524,-0.02553216291240406,-0.03725288642713571,-0.028175414729575722,-0.07296439101300642,-0.041945018165506505,-0.13473543497084736,-0.0362164284308768,-0.003112444756016331
domain_industry_vertical=general_cross_functional,-0.11232288890946246,-0.0964048972477661,-0.05108536675855524,1.0,-0.037850380203158916,-0.055225870200255274,-0.04176889218335815,-0.1081667052889042,-0.06218176229878003,-0.19973973446672355,-0.053689363898082695,-0.004614071192508077
domain_industry_vertical=hr_people,-0.05613831279674624,-0.04818259510041292,-0.02553216291240406,-0.037850380203158916,1.0,-0.02760156194231574,-0.020875844249812505,-0.0540610769065641,-0.031078075502451754,-0.09982873304184786,-0.02683362521772665,-0.00230608537926988
domain_industry_vertical=it_engineering,-0.08190901013764891,-0.07030116285872236,-0.03725288642713571,-0.055225870200255274,-0.02760156194231574,1.0,-0.030459051102600478,-0.07887820413171892,-0.04534469018699289,-0.14565583287760034,-0.03915179438944676,-0.003364710503373928
domain_industry_vertical=legal_compliance,-0.06195010781865752,-0.05317076365049647,-0.028175414729575722,-0.04176889218335815,-0.020875844249812505,-0.030459051102600478,1.0,-0.059657823263768874,-0.03429547544729446,-0.1101636381152707,-0.029611612686371705,-0.0025448259979249893
domain_industry_vertical=marketing_content,-0.16042893897258748,-0.13769353270184645,-0.07296439101300642,-0.1081667052889042,-0.0540610769065641,-0.07887820413171892,-0.059657823263768874,1.0,-0.08881319066748841,-0.28528498494187104,-0.07668363739491599,-0.00659020216578215
domain_industry_vertical=personal_productivity,-0.09222573732272364,-0.07915584095565384,-0.041945018165506505,-0.06218176229878003,-0.031078075502451754,-0.04534469018699289,-0.03429547544729446,-0.08881319066748841,1.0,-0.16400169602730927,-0.04408310024753707,-0.0037885075955587065
domain_industry_vertical=project_management_ops,-0.29624673863899265,-0.25426372732897745,-0.13473543497084736,-0.19973973446672355,-0.09982873304184786,-0.14565583287760034,-0.1101636381152707,-0.28528498494187104,-0.16400169602730927,1.0,-0.1416033642727024,-0.012169412271174988
domain_industry_vertical=sales_crm,-0.07963011964982317,-0.06834522844988923,-0.0362164284308768,-0.053689363898082695,-0.02683362521772665,-0.03915179438944676,-0.029611612686371705,-0.07668363739491599,-0.04408310024753707,-0.1416033642727024,1.0,-0.0032710967880142695
domain_industry_vertical=unknown,-0.006843423249150277,-0.005873598173646394,-0.003112444756016331,-0.004614071192508077,-0.00230608537926988,-0.003364710503373928,-0.0025448259979249893,-0.00659020216578215,-0.0037885075955587065,-0.012169412271174988,-0.0032710967880142695,1.0
