,execution_dataset=collection_scoped,execution_dataset=collection_unbounded,execution_dataset=single_asset_from_user,execution_dataset=single_event_data,execution_dataset=single_user_prompt,execution_dataset=unknown
domain_industry_vertical=creative_design,-0.20957214234851618,-0.12374831441006334,0.04040887405874235,0.004427185099011989,0.27244429130701575,-0.010594921485575042
domain_industry_vertical=education_academic,-0.12322413079608567,-0.08914181889323983,0.23299500198080852,-0.06576227333378638,0.09232611516040118,-0.010627499459673683
domain_industry_vertical=finance_accounting,0.05363733035496228,-0.015883694712249426,-0.00898453767884351,-0.003909031155691433,-0.03582849123436888,0.0057361361908854335
domain_industry_vertical=general_cross_functional,-0.061474001069187864,-0.016428745223433936,0.06599922393312152,-0.00762553259323391,0.03304391365152867,0.021533992777219835
domain_industry_vertical=hr_people,0.014058820437342651,-0.014135298223265839,-0.006692573045733964,0.020789424146661267,-0.02036182867946656,-0.0037983096458516536
domain_industry_vertical=it_engineering,-0.020568414379092504,-0.04023043207672364,-0.005947209999354236,0.02532662547082382,0.027406903413597448,0.004068210950764047
domain_industry_vertical=legal_compliance,0.0003143037575344657,-0.019067367299505592,0.012932259526275889,0.015089280819284321,-0.012349996882138323,0.005918531873620247
domain_industry_vertical=marketing_content,-0.043122546515368426,-0.05926327278703734,-0.027166050597601032,-0.0018069696085613461,0.10569242569190868,0.005964934571277394
domain_industry_vertical=personal_productivity,0.09276487857879467,0.07462558406383263,-0.06100588735709155,-0.061508272320552976,-0.04476323435397219,0.006438388195305075
domain_industry_vertical=project_management_ops,0.21248250531015217,0.20525989711360046,-0.15254958845417504,0.0480426587078712,-0.2995328683593424,-0.019641676186633032
domain_industry_vertical=sales_crm,0.0734556016196193,-0.014306285148537696,-0.03723552088904114,0.0151820196424273,-0.05673981198797608,0.006288246687061521
domain_industry_vertical=unknown,-0.01072600330540939,-0.005533806988077453,-0.005751541660101702,-0.009648058365654395,-0.009747131412084485,0.24311473321706198
