,functional_archetype=analyzer,functional_archetype=communicator,functional_archetype=creator,functional_archetype=enforcer,functional_archetype=monitor,functional_archetype=organizer,functional_archetype=unknown
domain_industry_vertical=creative_design,-0.12331769342671428,-0.08539897200036059,0.4517616592343635,-0.06393678096227441,-0.15431542363722978,-0.2217376072998179,-0.010162805512206928
domain_industry_vertical=education_academic,-0.06351847733110433,-0.053966963662858435,0.26706355005890775,-0.05438107071417886,-0.12118718875493739,-0.10687837700140779,-0.003571254656939526
domain_industry_vertical=finance_accounting,0.1373861110536768,-0.007717382853845661,-0.08954214201111217,0.01175517249643646,-0.009507278419519555,0.007963813808395604,3.868156035054486e-06
domain_industry_vertical=general_cross_functional,0.09580384843925835,0.1064785094655248,0.0007864537453376243,-0.029209624303816767,-0.058692027919179206,-0.061819015980370665,0.023861386890176955
domain_industry_vertical=hr_people,0.016213424766762113,0.016662389449881736,-0.03492560199670835,0.00832191352676579,-0.015209231953135213,0.027151320691455292,-0.002462253156144106
domain_industry_vertical=it_engineering,0.019824627502523458,-0.022472528774054153,0.009324066486362572,0.012574590879600112,-0.029724383928664354,0.0032671954287807883,0.0075128249061904
domain_industry_vertical=legal_compliance,0.0379227794793105,-0.012277221294273749,-0.019256630881467243,0.0700235649561466,-0.009415006739977189,-0.0216161487643417,0.007841005365159625
domain_industry_vertical=marketing_content,-0.028171665485994042,-0.04516855828981637,0.21644617720959164,-0.031697697331694544,-0.09342082119973555,-0.11037958673320777,-0.007201588465613775
domain_industry_vertical=personal_productivity,-0.018575611563293938,0.09066572293089488,-0.14488754849885466,-0.035100113618547736,0.014660495652691976,0.13116300123769895,-0.0010439070352074981
domain_industry_vertical=project_management_ops,0.013762567087173274,0.024844797552717266,-0.5036665455469659,0.10130947231689619,0.31288473340441686,0.24925860570542493,-0.019589388058420185
domain_industry_vertical=sales_crm,0.049501008141369755,0.04739630608395636,-0.12042319793547875,0.005029821775235531,-0.012060369344583152,0.08136668105243512,-0.000576114161504565
domain_industry_vertical=unknown,-0.005863261132085437,-0.003651880195659156,-0.0134823477966577,-0.00032443881321171566,-0.006554955171243838,-0.010575768962488241,0.5000499233265145
