,implied_end_date=false,implied_end_date=true,implied_end_date=unknown
domain_industry_vertical=creative_design,0.010313803499584159,-0.013334357230461105,0.013472917534432301
domain_industry_vertical=education_academic,-0.06363420764417178,0.06469472543568161,0.0010335929703037196
domain_industry_vertical=finance_accounting,0.006248163324521962,-0.005668544072579141,-0.003375530583888838
domain_industry_vertical=general_cross_functional,0.016935632137472553,-0.019695213200936635,0.011587293555456207
domain_industry_vertical=hr_people,0.003474297753679083,-0.0031370909711453034,-0.001948356481495896
domain_industry_vertical=it_engineering,-0.012603848171834827,0.012753539209319285,0.0004937594671975237
domain_industry_vertical=legal_compliance,-0.0004113793773134356,0.0006847781637169554,-0.0012696215234318932
domain_industry_vertical=marketing_content,0.023350010914049854,-0.02231856162190207,-0.0071816003258794265
domain_industry_vertical=personal_productivity,-0.014673484600222542,0.015687689228288434,-0.003447066768207207
domain_industry_vertical=project_management_ops,0.009882603143794966,-0.006317961990605107,-0.01801796540063081
domain_industry_vertical=sales_crm,0.024080600056325997,-0.023493611014003653,-0.005123533022103256
domain_industry_vertical=unknown,-0.07172996919058014,0.0024542554835925816,0.3386064929642022
