,operational_scope=branching_workflow,operational_scope=multi_workflow_orchestration,operational_scope=sequential_workflow,operational_scope=single_action,operational_scope=unknown
domain_industry_vertical=creative_design,0.01483929105083707,-0.07728970302878527,0.028514870145648956,0.03593315797289116,-0.005731299682260805
domain_industry_vertical=education_academic,-0.045957495340616696,-0.05562320643111523,0.08430466927041268,0.006321621198015797,-0.004612092156839921
domain_industry_vertical=finance_accounting,-0.01191429089180894,0.013912026681736172,0.004970890821060327,-0.008691582483410926,0.002732145034682752
domain_industry_vertical=general_cross_functional,-0.03787843755749596,-0.02053211379947102,0.047382427889094136,0.028194392540794644,0.02453016012117535
domain_industry_vertical=hr_people,-0.007929994699921358,0.02359935589704681,-0.006489505023364445,0.0025900288534267692,-0.0042157131801005615
domain_industry_vertical=it_engineering,-0.009746314485076268,0.0005820366612324583,0.010432116008791872,-0.0051513898574851,0.004628710751367009
domain_industry_vertical=legal_compliance,-0.020758427394530446,0.013634157286200975,0.012044618291530706,0.005930720090038527,0.007770110251330185
domain_industry_vertical=marketing_content,-0.026227974692805085,-0.00027945358231529135,0.029462285259397338,-0.008333212976940535,0.0013776359092725723
domain_industry_vertical=personal_productivity,0.016623741782333973,0.07537284684357479,-0.06456800681346157,-0.007066211959692188,-0.002648970543604545
domain_industry_vertical=project_management_ops,0.07413984479311354,0.03514058453299644,-0.09545251119776303,-0.029750106415867585,-0.024269226275014325
domain_industry_vertical=sales_crm,-0.013450244672289769,0.04846248342135456,-0.014968592365422506,-0.010193027869088888,0.0007439304051111369
domain_industry_vertical=unknown,-0.021153442168325872,-0.005320863749695849,-0.010667743852828883,-0.0011179747084354415,0.39970471658438805
