,output_modality=email_external_message,output_modality=messages,output_modality=structured_document,output_modality=task_artifact,output_modality=unknown,output_modality=visual_image
domain_industry_vertical=creative_design,-0.04864978233615854,-0.2709625012131969,-0.07813148530836789,-0.12394306121269795,-0.019282567466242496,0.6463332829841244
domain_industry_vertical=education_academic,-0.03734143413561297,-0.044394502418741114,0.15099659545227737,-0.06269100041346483,-0.017295212713785132,-0.004731266812066454
domain_industry_vertical=finance_accounting,0.01598451312665007,0.010601013893109497,0.033547087247562654,0.0037436747101209566,-0.00196496262445314,-0.06053542889187986
domain_industry_vertical=general_cross_functional,0.07553021995433488,0.023428014971635363,0.055544639165660735,-0.05795132208097574,0.01748831624456105,-0.06116653690405847
domain_industry_vertical=hr_people,0.011810094255581759,0.0037975830510474594,0.020155513789450453,0.012586921788125547,-0.008544238581017792,-0.04251652241500639
domain_industry_vertical=it_engineering,-0.019227630902170785,-0.009801579091783998,0.019665691433469593,0.023639116085678903,0.05124566954863808,-0.0439274696852399
domain_industry_vertical=legal_compliance,0.003563411666657031,-0.007498628065642303,0.055944888589599964,-0.00994667813933905,-0.0033499444334529845,-0.03724774664158176
domain_industry_vertical=marketing_content,-0.013074188311903418,-0.01721615481205965,0.04052545964694621,0.02466518737544611,0.04127772872481801,-0.055087631597280855
domain_industry_vertical=personal_productivity,-0.0044935283921445955,0.09050083667101434,-0.05527336466769403,0.006381300701280722,0.00877877669600886,-0.08325310220979024
domain_industry_vertical=project_management_ops,0.0066050483404821335,0.18467976179658366,-0.11009920131803169,0.1106136183305944,-0.03801435115012137,-0.2694081259989164
domain_industry_vertical=sales_crm,0.0552318873457614,0.011417836672339986,-0.0227644174913035,0.05359877717217453,-0.0023981448912198497,-0.07222135369889246
domain_industry_vertical=unknown,-0.002074617166893376,-0.016955100669007347,-0.007137866444240653,-0.007833914729548261,0.14125200137230315,-0.006561711446702562
