,state_persistence=state_accumulating,state_persistence=state_referencing,state_persistence=stateless,state_persistence=unknown
domain_industry_vertical=creative_design,-0.049869456681799096,0.051380167770912484,0.011570318200459931,0.0069949480391374675
domain_industry_vertical=education_academic,0.009531173470412204,0.001664486685113222,0.00808371409464411,-0.010117604696421917
domain_industry_vertical=finance_accounting,0.03203950912355668,-0.008292188653924804,-0.004443762656149721,-0.020590360983766105
domain_industry_vertical=general_cross_functional,0.010375059722704768,0.010894750102576923,0.006917366882830854,-0.016492420674608637
domain_industry_vertical=hr_people,0.01802417841798614,-0.005352805117412588,-0.0008737362323020715,-0.011385255604924939
domain_industry_vertical=it_engineering,0.012856244971246683,-0.009446378959634405,-0.004106309754954953,-0.00404596363744572
domain_industry_vertical=legal_compliance,0.015501191205782274,-0.010379127093679746,-0.0012548768199704893,-0.006059025850949211
domain_industry_vertical=marketing_content,-0.0029437223255428338,0.02478994358553593,-0.007179049743333566,-0.01222112716337451
domain_industry_vertical=personal_productivity,0.01993294902733087,0.043834780348235014,-0.008453943351695548,-0.04301656331377105
domain_industry_vertical=project_management_ops,-0.012278950677019685,-0.064665252883114,-0.002157927269488117,0.05143545119786349
domain_industry_vertical=sales_crm,0.008050509425962285,-0.014683499079615069,-0.006081670110469976,0.00353447921165264
domain_industry_vertical=unknown,-0.006050158834051802,-0.004381297002644503,-0.0009495096608590208,0.007917289958279942
