,team_orientation=individual,team_orientation=larger_team,team_orientation=small_team,team_orientation=unknown
domain_industry_vertical=creative_design,0.06713500230801532,-0.04649117844568081,-0.05373823685454749,0.0012660943809627415
domain_industry_vertical=education_academic,0.053369532181369736,-0.036599836578744625,-0.04073939608608004,-0.003875369376854238
domain_industry_vertical=finance_accounting,-0.00703518011128139,-0.0034579704259989365,0.011628747285601532,0.0010590897843012427
domain_industry_vertical=general_cross_functional,0.009979566812034947,-0.014032072300817527,-0.01474834058544416,0.02685886854289589
domain_industry_vertical=hr_people,-0.039531312707573846,0.0217267008888632,0.036516769674329035,-0.0016782964378050413
domain_industry_vertical=it_engineering,0.0001536557312920882,-0.005159113499443429,0.0010775188780666836,0.005985462505263548
domain_industry_vertical=legal_compliance,-0.014706278905140776,0.000373114565282823,0.012118762878310204,0.015620413141632988
domain_industry_vertical=marketing_content,0.01834197949820033,-0.02771604533621492,-0.007711351911335229,0.01077949779540841
domain_industry_vertical=personal_productivity,0.03898407980336184,-0.02510473888493014,-0.025628375541881628,-0.014508191874014701
domain_industry_vertical=project_management_ops,-0.09299884929799081,0.09391412983863355,0.06414626362405194,-0.02961352580209013
domain_industry_vertical=sales_crm,-0.016482126981501505,0.000670717580884732,0.021015430080981612,0.00103787878845744
domain_industry_vertical=unknown,-0.07524452790396062,-0.002062931826917639,-0.0026490012608093062,0.22617910335420954
