,template_is_custom,template_is_templated,template=custom,template=unknown
domain_industry_vertical=creative_design,-0.03365708120096719,,-0.03365708120096719,0.033657081200967276
domain_industry_vertical=education_academic,0.009777514520430764,,0.009777514520430764,-0.009777514520430707
domain_industry_vertical=finance_accounting,0.004991124112028474,,0.004991124112028474,-0.004991124112028528
domain_industry_vertical=general_cross_functional,-0.009528074619677439,,-0.009528074619677439,0.009528074619677475
domain_industry_vertical=hr_people,-0.0036746840768218337,,-0.0036746840768218337,0.003674684076821854
domain_industry_vertical=it_engineering,-0.0067836234280695545,,-0.0067836234280695545,0.0067836234280696205
domain_industry_vertical=legal_compliance,-0.0062711773631882696,,-0.0062711773631882696,0.006271177363188218
domain_industry_vertical=marketing_content,0.00427171260787972,,0.00427171260787972,-0.004271712607879645
domain_industry_vertical=personal_productivity,0.015308146473577339,,0.015308146473577339,-0.015308146473577302
domain_industry_vertical=project_management_ops,0.0168253794517017,,0.0168253794517017,-0.01682537945170169
domain_industry_vertical=sales_crm,0.0028599430842772026,,0.0028599430842772026,-0.0028599430842772043
domain_industry_vertical=unknown,-0.01667443620895689,,-0.01667443620895689,0.016674436208956877
