,tone_and_persona=casual_friendly,tone_and_persona=empathetic_supportive,tone_and_persona=professional_formal,tone_and_persona=technical_precise,tone_and_persona=unknown
domain_industry_vertical=creative_design,0.24286910137080453,-0.06126460600452915,-0.18012828544962148,-0.022036861789430318,0.008495670926440229
domain_industry_vertical=education_academic,0.0005967895310263576,0.3338481014442686,-0.17855879978020475,-0.050670385330601114,-0.01175836484236736
domain_industry_vertical=finance_accounting,-0.06483109693289354,-0.03009414295776345,0.06641387556543903,0.02491100903495926,0.0011591225733546973
domain_industry_vertical=general_cross_functional,-0.03704785735796199,-0.009633311780151017,0.03256870949157474,0.016187427728318837,-0.00045396190524516736
domain_industry_vertical=hr_people,-0.038219908335186924,0.005762019461877167,0.04258768714947569,-0.019565333407343188,-0.0025790364781150404
domain_industry_vertical=it_engineering,-0.045783644333400694,-0.037525529704616666,-0.0511535803918291,0.23218375568385488,0.003000775765755289
domain_industry_vertical=legal_compliance,-0.09329273228466785,-0.026012245480800753,0.09662314728759601,0.01472245786965538,-0.003110343332782516
domain_industry_vertical=marketing_content,0.0839564422552127,-0.02793872019672864,-0.04997225505497457,-0.026053962574630222,0.0076270015833300245
domain_industry_vertical=personal_productivity,0.05436205371541849,0.1620168897796051,-0.13062474642980546,-0.04099331565746827,0.0012142326965525756
domain_industry_vertical=project_management_ops,-0.13985087461916887,-0.16863608591647425,0.25209920669964625,-0.029910323818173826,-0.009318075148079783
domain_industry_vertical=sales_crm,-0.05219521469397447,-0.05124901402204972,0.07313602976598695,0.013581330088944465,0.0020608229887723603
domain_industry_vertical=unknown,-0.011551449657625307,-0.004099121207436228,-0.013273410355930817,-0.00450540390440986,0.12050802401790259
