,add_agent_schedule,add_task_to_list,check_calendar_availability,complete_execution,create_custom_field,create_document,create_document_page,create_google_calendar_event,create_list,create_subtask,create_task,delete_memory,edit_image,find_similar_assets,find_stale_tasks,follow_up_cursor_agent,generate_image,generate_project_summary,generate_project_update,generate_stand_up,get_cursor_agent,gmail_create_draft,gmail_fetch_drafts,launch_cursor_agent,list_available_calendars,load_assets,load_custom_fields,load_web_pages,manage_personal_priorities,move_task_to_list,post_chat_message,post_reply,post_slack_message,post_task_comment,read_memory,reflect,rename_memory,retrieve_activity,retrieve_chat_messages,retrieve_personal_priorities,retrieve_tasks_by_filters,search_clickup_help_center,search_clickup_support_resources,search_google_calendar,search_public_web,search_users_and_teams,search_workspace,todo_write,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog,write_memory
domain_industry_vertical=creative_design,-0.029397919761680373,-0.014690131411875014,-0.014184250854863793,-0.00551531582600076,-0.013394345068608935,-0.04332658181621291,-0.037829175017001386,-0.02088351149825806,-0.021680146562681715,-0.046563490305948745,-0.061060727386759536,-0.0046853643499885035,0.2576036987293836,-0.007045349792186204,-0.05067392515108619,-0.002685033063686637,0.21279550019435445,-0.0503880293416236,-0.04027038173826244,-0.03640781113018997,-0.0025021901116172164,-0.022150428859472954,-0.011186181813433635,-0.0033681538059459623,-0.002482064419755518,-0.1541061962719186,-0.09560092598691182,-0.042771129068181916,-0.027919877498356664,-0.02020553799808739,-0.08551877177321662,0.17695661566859008,-0.018641306663588597,-0.08733224245724247,-0.10625422651454593,-0.0037154492528296795,0.0004956967605727798,-0.10322879212388653,-0.001832315282902281,-0.06125472882555983,-0.19294523033258604,0.006535775193708521,-0.0007291646959872271,-0.045885130173318175,-0.0519764366080189,-0.04819507899046371,-0.1235745247253506,-0.26273388875790193,-0.004353787488570168,-0.013734830187938953,-0.03989996843167379,-0.011734952827272991,-0.08147909731014442,-0.06919880953196109,-0.048339176444989015
domain_industry_vertical=education_academic,-0.01634077025814089,-0.01171288511484212,-0.0014174338864683586,-0.004733705308480524,-0.01177139713112308,0.05635934559876008,0.028929175167521793,0.010058250174668238,-0.012130447655229757,-0.02854017755586086,-0.017406872802460636,-0.0040213715398032005,-0.030409143027099374,-0.006046908420756256,-0.04280721434172324,-0.0023045199346699062,0.019590176139264316,-0.04120752972568782,-0.03235897734865791,-0.028587770459870453,-0.0021475888213601303,-0.015908688892934817,-0.007621201373088087,-0.002890831287633895,-0.002130315269417077,-0.07551136306034356,-0.07859283146270099,-0.011668068217870324,-0.019991222448154322,-0.015458811124515857,-0.07269605742499456,0.15061106787675055,-0.016188234530571912,-0.0720461667476054,-0.06108614205395982,-0.003188909285773935,0.00735871698668422,-0.08155323752952151,0.009818520322025157,-0.04467566848974437,-0.1200352044826367,0.006604166732804243,-0.010323317164495973,-0.02391387370331666,-0.01028311412229294,-0.04026880873639343,-0.05758374509628303,-0.14755276788616883,-0.003721399221703115,-0.009224781802166472,-0.015205661651274826,0.0015719637167851397,-0.05542271178143551,-0.03869359473395312,-0.042286848422149664
domain_industry_vertical=finance_accounting,-0.001365401737571777,-0.0035491989511272468,-0.005936676378081403,-0.0024136089891869275,0.011969673217755819,0.018468098560372796,0.01020474665592368,-0.008666768197041696,-9.615162016654233e-05,-0.01251531292382874,0.00035579398753548543,-0.0021309419526197404,-0.023686218791426048,-0.003204282596098878,-0.016777086924165224,-0.0012211749550694235,-0.023917972589703247,-0.013417494524690491,-0.012256541673064503,-0.014441531734413088,-0.0011380164879362103,0.007950333917810864,0.002353956841295453,-0.001531863844907532,-0.0011288631589931191,0.04018508187350091,0.06886474235053615,0.0007944296368198916,-0.009418556357849618,-0.002978718203597219,0.0024750406645980775,-0.01832635986826425,-0.006897343164251764,0.004141601727632279,0.015234864169043632,-0.0016494954958545245,-0.0006103889626026366,-0.015241800206941386,-0.004098859720474384,-0.02499716271451599,0.024294929790457075,-0.004833842059180757,-0.0029685542463093223,-0.01713673782111984,0.039893553585360446,-0.009119592805198693,0.035190956041364796,0.03271234925259664,-0.0017799617361226455,6.955180164450497e-05,0.01033185604617457,-0.004926967182017097,0.002159901189829698,0.0227804208718588,0.009438134943515638
domain_industry_vertical=general_cross_functional,-0.008995491765024123,-0.008302109496647274,-0.00832362378550122,0.00040545091900785215,-0.0031299230790041805,0.017501851221536194,0.01572161328882159,-0.01173631774663907,-0.010828872301164406,-0.01839745786164295,-0.026701587597063564,-0.0031590337009143846,-0.030773424249600313,-0.0023598146835014672,-0.029855540260493793,-0.001810341587688087,-0.024987921446199338,-0.026688983997786842,-0.021445519014236955,-0.02303222456859278,-0.0016870625843031267,0.02198099544139172,0.0181741734941558,-0.0022709250739213443,-0.0016734931510433036,-0.010248057913703378,-0.02468885720532449,0.07452527767121755,-0.01693116904630202,-0.008649836460242,-0.04133420528770643,0.06095221084343386,-0.00692364879272549,-0.029257663904219917,-0.016721913442577556,-0.0010074773338362864,-0.001289274856834057,-0.056290613591025884,7.999034112014717e-05,-0.039365531517326864,-0.07928525216461886,-0.008851810999356922,-0.006580664238698405,-0.02318296657213212,0.09928144997994229,-0.026141010028591673,0.004379415271480206,-0.06778985742498767,-0.002823956935458053,-0.0012619194064815995,0.012919363165880727,-0.0056660229931230315,-0.03637993207219862,0.012773233890123803,0.0001564197461098479
domain_industry_vertical=hr_people,0.008277813195236221,-0.0012849177154993343,-0.0013900962323902433,0.009956537348856364,0.006101493931563108,0.006264369426047303,0.002434346474044867,-0.0026647897208224654,0.0003506293454492774,0.0035831814405008697,0.001671964960692831,-0.0015788662823686386,-0.016058073887041575,-0.0023102148833997575,-0.00938999537635427,-0.0009047979739954223,-0.018169379740198253,-0.010210040218667423,-0.009669183301914862,-0.005593821817292316,-0.0008431838602516625,0.0008430098315175581,-0.003486625491663837,-0.0011349948650317295,0.007908272803624295,0.024811382563348465,0.03201325886676581,0.009839641971444648,-0.006158492468635997,-0.0040224135106357965,-0.012762173297306783,-0.008872881165321868,-0.0020659787591505155,0.018244314885922264,0.0028109193911214883,0.009068934789512968,-0.0006443719165046523,-0.012116968277486928,0.0011930783537569874,-0.016654441913869805,0.0018299215929440326,-0.0007155055411631297,-0.0040544657073576865,-0.0033227839751204516,0.013577051041042596,0.020626203992506954,0.004438412633317916,0.0098488486551085,-0.0006361627331985142,0.005583041629605384,0.0030245194828959175,-0.0017119836070601721,0.010604918041272728,0.005831772252025578,0.0031957502270725632
domain_industry_vertical=it_engineering,-0.00557012890123404,-0.002299694373361176,-0.00697398014068161,-0.0017699471363553545,-0.0009706257859737583,0.0031905676028201172,-0.0005733713079615253,-0.01028085894729003,-0.00523157648044814,0.017871339605320943,-0.0046740746867315166,0.004143799423095255,-0.023599769381057928,0.013223950805577806,-0.010168441860778255,0.03278068016173728,-0.022537953193362138,-0.0016309179119763653,-0.00036492090558445234,-0.008316109998956298,0.030548411065062956,-0.008156386281744487,-0.004869568248740481,0.041120675250325686,-0.0012203582796430662,0.015505097454796885,-0.007738041071758663,0.008409010943277501,-0.012968574348445004,-0.0012065362385694552,-0.026251748326428025,0.0167215923669573,0.0006613069054141872,0.006431970497076533,-0.02150622911533331,-0.0011766593598825546,-0.000940175491780289,-0.01861734409651554,-0.004523404659610191,-0.027122605384982856,-0.044385965425619234,-0.0021794567440759495,-0.004053552937491605,-0.021178098356832795,-0.011864688228387132,-0.005245771884519359,-0.0011607017616738127,-0.03245003283339454,-0.0015406236487325792,0.0014849086208370416,0.008961627907450932,-0.005825210221776942,-0.001024270059329585,-0.012374403718530517,-0.000635538708331699
domain_industry_vertical=legal_compliance,-0.0037872065106785858,-0.002716633463578368,-0.003893556461287477,-0.0020509500274612804,0.0004901626660547016,0.022952289136433608,0.005791283671065659,-0.00445623225005095,-0.004010517220459232,3.1207333411519226e-05,-0.009883248907021283,0.005996779215903302,-0.01773606509591803,-0.0014155955338963939,-0.007080326783021551,-0.0009984684122243078,-0.016559785941711116,-0.006004181344369697,-0.008034034113735608,-0.012083665515831033,-0.0009304756137339653,-0.0012102554963045525,0.0008278220474407059,-0.0012524967488230932,-0.0009229915838835184,0.034498822337446736,0.016329377226798104,0.016070024344061,-0.009342489387465196,0.00129884405773858,-0.019175822523225777,0.00440368015999808,-0.0010651669620491213,0.00936363265466466,-0.008190220500303942,-0.0013816435880604082,-0.0007110813936875638,-0.020035647571576283,-0.0018019831968198756,-0.02007902585817345,-0.014472034842607293,-0.004402901706151936,-0.0023655363120496857,-0.010433931203684741,0.020306849837820582,-0.00230790580468216,0.006074510674134246,-0.004235540660101666,0.004502318868862411,0.0007848739440942523,0.006373957759714352,-0.0037983305765748954,-0.004871140229530947,0.003058211242232588,0.0011794662651948035
domain_industry_vertical=marketing_content,-0.012583824054092122,-0.001058151167043905,-0.013115181972547102,0.004895063780742292,-0.006519216500303975,0.019306064437720555,0.01342364734354424,-0.018572276502390378,-0.00820066103620658,0.011460667287758146,0.03654687830959787,-0.0014767621717008913,-0.012716498743942753,-0.005602430896578753,-0.03865977909165794,-0.0025856811813740476,0.0243659454950661,-0.028109671030203127,-0.016002916553092206,-0.02428684342489131,-0.002409603803889569,-0.009312619943540025,-0.007430597632309054,-0.0032435250164292717,-0.002390222805043532,0.02198509605640223,-0.03391792277586174,0.08483122508955754,-0.023490817243129902,-0.007163123452222387,-0.05572973879136325,0.03560831023110025,-0.010669872706535528,0.0036970388787334694,0.002759301264368791,0.005516007319999473,-0.0014904589469350831,-0.054592197037198434,-0.012190747673285266,-0.05179054424398296,-0.08103157730029198,-0.002394953278142452,-0.01154238080867156,-0.038907165465482715,0.07532167058215515,-0.024722920495221234,-0.007265883063767593,-0.040425650435475566,-0.0026602269948343194,-0.0022426692048606056,-0.000264611773867621,-0.010491246693552874,-0.009380362556016604,-0.0084544939760704,0.019800467943388737
domain_industry_vertical=personal_productivity,0.04710823275764514,0.0020084796471277334,0.04393158843596101,-0.0029145605163870235,9.577289273785082e-05,-0.02581352950420468,-0.012121790634168942,0.09461531849498565,0.01077784832154845,0.004052915886168049,0.04205792680486636,0.0035766403444216174,-0.028587223751718325,-0.002964765840964593,0.0014217673409079755,-0.0014864297860529146,-0.03524740447093361,-0.02201071643079913,-0.01778948873393594,0.010641420070344671,-0.0013852082354501739,0.0009674040916864192,0.01597057875239295,-0.0018646042795059897,0.005558274490132583,-0.03229520310712706,-0.02868032852075234,-0.024568502762784914,0.09825231092892821,0.010736142121762316,0.10920300493565933,-0.09501300978023877,-0.0018455656129897345,-0.018003441529473842,0.08997309365165553,-0.001823087519482606,-0.0010585938933516186,0.016850351784705606,-0.006442465504855613,0.21874660896616033,0.13640627792696464,-0.004694159897989871,0.001322009976681002,0.18023939387648336,-0.0200160824742285,-0.02046215561828193,0.02778273555104754,0.12131051067942791,-0.0018215631416112227,-0.006130555521244501,-0.0010377670744141224,0.03997019495194904,0.009756490179816068,0.05069872208149226,0.02208249325957056
domain_industry_vertical=project_management_ops,0.022746655385836572,0.025891364489030646,0.012711722029882392,0.005132310069387538,0.006504391422813477,-0.030630427464668368,-0.008097476708708045,-0.0024062176572506666,0.03218520412326672,0.05003481464459154,0.02160068330281985,0.005248398366623445,-0.09255199012266518,0.014059896141178415,0.12226393239934151,-0.004774697271252009,-0.11638754694571758,0.12033384950886389,0.09474417163760118,0.0908300024132455,-0.004449554256768996,0.014037477600530198,0.0015804996630373617,-0.005989466202075567,0.0027602799514667123,0.10930124265666635,0.09237460909143476,-0.0787919380730207,0.03303880474801723,0.032718828441023806,0.1451070919832871,-0.22598551348947923,0.04036701672135363,0.10539318127484729,0.08107264655587665,0.0016462245106609128,-0.0015785740790382151,0.21181421858224572,0.011910153855479624,0.07451189334552592,0.25716671960186194,0.005078813073443951,0.023828747058751865,0.030435559469242868,-0.09811124751096344,0.10691277394617481,0.08686473987276186,0.2780934263512685,0.009515806582527158,0.01414417617322834,0.020466367258227633,0.00737373774763073,0.10521566562735403,0.03692053355826154,0.0247514216557514
