,add_agent_schedule,add_task_to_list,check_calendar_availability,complete_execution,create_custom_field,create_document
domain_industry_vertical=creative_design,-0.029397919761680373,-0.014690131411875014,-0.014184250854863793,-0.00551531582600076,-0.013394345068608935,-0.04332658181621291
domain_industry_vertical=education_academic,-0.01634077025814089,-0.01171288511484212,-0.0014174338864683586,-0.004733705308480524,-0.01177139713112308,0.05635934559876008
domain_industry_vertical=finance_accounting,-0.001365401737571777,-0.0035491989511272468,-0.005936676378081403,-0.0024136089891869275,0.011969673217755819,0.018468098560372796
domain_industry_vertical=general_cross_functional,-0.008995491765024123,-0.008302109496647274,-0.00832362378550122,0.00040545091900785215,-0.0031299230790041805,0.017501851221536194
domain_industry_vertical=hr_people,0.008277813195236221,-0.0012849177154993343,-0.0013900962323902433,0.009956537348856364,0.006101493931563108,0.006264369426047303
domain_industry_vertical=it_engineering,-0.00557012890123404,-0.002299694373361176,-0.00697398014068161,-0.0017699471363553545,-0.0009706257859737583,0.0031905676028201172
domain_industry_vertical=legal_compliance,-0.0037872065106785858,-0.002716633463578368,-0.003893556461287477,-0.0020509500274612804,0.0004901626660547016,0.022952289136433608
domain_industry_vertical=marketing_content,-0.012583824054092122,-0.001058151167043905,-0.013115181972547102,0.004895063780742292,-0.006519216500303975,0.019306064437720555
domain_industry_vertical=personal_productivity,0.04710823275764514,0.0020084796471277334,0.04393158843596101,-0.0029145605163870235,9.577289273785082e-05,-0.02581352950420468
domain_industry_vertical=project_management_ops,0.022746655385836572,0.025891364489030646,0.012711722029882392,0.005132310069387538,0.006504391422813477,-0.030630427464668368
domain_industry_vertical=sales_crm,0.009632068058031098,0.0010948584595695764,-0.0016073476802198124,-0.002331496872342323,0.02885323783141459,-0.007969277275797368
domain_industry_vertical=unknown,-0.001023974924642906,-0.0006145802352446201,-0.0005826696935251391,-0.0002265616573559295,-0.0007744587866131974,-0.0029295645422399864
