,write_memory
domain_industry_vertical=creative_design,-0.048339176444989015
domain_industry_vertical=education_academic,-0.042286848422149664
domain_industry_vertical=finance_accounting,0.009438134943515638
domain_industry_vertical=general_cross_functional,0.0001564197461098479
domain_industry_vertical=hr_people,0.0031957502270725632
domain_industry_vertical=it_engineering,-0.000635538708331699
domain_industry_vertical=legal_compliance,0.0011794662651948035
domain_industry_vertical=marketing_content,0.019800467943388737
domain_industry_vertical=personal_productivity,0.02208249325957056
domain_industry_vertical=project_management_ops,0.0247514216557514
domain_industry_vertical=sales_crm,0.024801884110523368
domain_industry_vertical=unknown,-0.0015875070828747296
