,create_document_page,create_google_calendar_event,create_list,create_subtask,create_task,delete_memory
domain_industry_vertical=creative_design,-0.037829175017001386,-0.02088351149825806,-0.021680146562681715,-0.046563490305948745,-0.061060727386759536,-0.0046853643499885035
domain_industry_vertical=education_academic,0.028929175167521793,0.010058250174668238,-0.012130447655229757,-0.02854017755586086,-0.017406872802460636,-0.0040213715398032005
domain_industry_vertical=finance_accounting,0.01020474665592368,-0.008666768197041696,-9.615162016654233e-05,-0.01251531292382874,0.00035579398753548543,-0.0021309419526197404
domain_industry_vertical=general_cross_functional,0.01572161328882159,-0.01173631774663907,-0.010828872301164406,-0.01839745786164295,-0.026701587597063564,-0.0031590337009143846
domain_industry_vertical=hr_people,0.002434346474044867,-0.0026647897208224654,0.0003506293454492774,0.0035831814405008697,0.001671964960692831,-0.0015788662823686386
domain_industry_vertical=it_engineering,-0.0005733713079615253,-0.01028085894729003,-0.00523157648044814,0.017871339605320943,-0.0046740746867315166,0.004143799423095255
domain_industry_vertical=legal_compliance,0.005791283671065659,-0.00445623225005095,-0.004010517220459232,3.1207333411519226e-05,-0.009883248907021283,0.005996779215903302
domain_industry_vertical=marketing_content,0.01342364734354424,-0.018572276502390378,-0.00820066103620658,0.011460667287758146,0.03654687830959787,-0.0014767621717008913
domain_industry_vertical=personal_productivity,-0.012121790634168942,0.09461531849498565,0.01077784832154845,0.004052915886168049,0.04205792680486636,0.0035766403444216174
domain_industry_vertical=project_management_ops,-0.008097476708708045,-0.0024062176572506666,0.03218520412326672,0.05003481464459154,0.02160068330281985,0.005248398366623445
domain_industry_vertical=sales_crm,-0.004321000282138046,-0.006007813841286335,0.004835067112489526,-0.001816479994477466,0.02129265208636581,-0.0007941530054742124
domain_industry_vertical=unknown,-0.001451626251481336,-0.0008589564081275546,-0.001151734786198261,-0.00026432000408610143,-0.0030157791317518274,-0.00019246838185502842
