,generate_project_update,generate_stand_up,get_cursor_agent,gmail_create_draft,gmail_fetch_drafts,launch_cursor_agent
domain_industry_vertical=creative_design,-0.04027038173826244,-0.03640781113018997,-0.0025021901116172164,-0.022150428859472954,-0.011186181813433635,-0.0033681538059459623
domain_industry_vertical=education_academic,-0.03235897734865791,-0.028587770459870453,-0.0021475888213601303,-0.015908688892934817,-0.007621201373088087,-0.002890831287633895
domain_industry_vertical=finance_accounting,-0.012256541673064503,-0.014441531734413088,-0.0011380164879362103,0.007950333917810864,0.002353956841295453,-0.001531863844907532
domain_industry_vertical=general_cross_functional,-0.021445519014236955,-0.02303222456859278,-0.0016870625843031267,0.02198099544139172,0.0181741734941558,-0.0022709250739213443
domain_industry_vertical=hr_people,-0.009669183301914862,-0.005593821817292316,-0.0008431838602516625,0.0008430098315175581,-0.003486625491663837,-0.0011349948650317295
domain_industry_vertical=it_engineering,-0.00036492090558445234,-0.008316109998956298,0.030548411065062956,-0.008156386281744487,-0.004869568248740481,0.041120675250325686
domain_industry_vertical=legal_compliance,-0.008034034113735608,-0.012083665515831033,-0.0009304756137339653,-0.0012102554963045525,0.0008278220474407059,-0.0012524967488230932
domain_industry_vertical=marketing_content,-0.016002916553092206,-0.02428684342489131,-0.002409603803889569,-0.009312619943540025,-0.007430597632309054,-0.0032435250164292717
domain_industry_vertical=personal_productivity,-0.01778948873393594,0.010641420070344671,-0.0013852082354501739,0.0009674040916864192,0.01597057875239295,-0.0018646042795059897
domain_industry_vertical=project_management_ops,0.09474417163760118,0.0908300024132455,-0.004449554256768996,0.014037477600530198,0.0015804996630373617,-0.005989466202075567
domain_industry_vertical=sales_crm,-0.006907773529942921,-0.015316531633206747,-0.0011960251089436363,0.019195898978363445,0.004575972308423867,-0.001609948222555969
domain_industry_vertical=unknown,-0.0017378156617141958,-0.0015115505064189955,-0.00010278655957199845,-0.0009099094289194736,-0.000459513103345523,-0.00013835916792059928
