,post_chat_message,post_reply,post_slack_message,post_task_comment,read_memory,reflect
domain_industry_vertical=creative_design,-0.08551877177321662,0.17695661566859008,-0.018641306663588597,-0.08733224245724247,-0.10625422651454593,-0.0037154492528296795
domain_industry_vertical=education_academic,-0.07269605742499456,0.15061106787675055,-0.016188234530571912,-0.0720461667476054,-0.06108614205395982,-0.003188909285773935
domain_industry_vertical=finance_accounting,0.0024750406645980775,-0.01832635986826425,-0.006897343164251764,0.004141601727632279,0.015234864169043632,-0.0016494954958545245
domain_industry_vertical=general_cross_functional,-0.04133420528770643,0.06095221084343386,-0.00692364879272549,-0.029257663904219917,-0.016721913442577556,-0.0010074773338362864
domain_industry_vertical=hr_people,-0.012762173297306783,-0.008872881165321868,-0.0020659787591505155,0.018244314885922264,0.0028109193911214883,0.009068934789512968
domain_industry_vertical=it_engineering,-0.026251748326428025,0.0167215923669573,0.0006613069054141872,0.006431970497076533,-0.02150622911533331,-0.0011766593598825546
domain_industry_vertical=legal_compliance,-0.019175822523225777,0.00440368015999808,-0.0010651669620491213,0.00936363265466466,-0.008190220500303942,-0.0013816435880604082
domain_industry_vertical=marketing_content,-0.05572973879136325,0.03560831023110025,-0.010669872706535528,0.0036970388787334694,0.002759301264368791,0.005516007319999473
domain_industry_vertical=personal_productivity,0.10920300493565933,-0.09501300978023877,-0.0018455656129897345,-0.018003441529473842,0.08997309365165553,-0.001823087519482606
domain_industry_vertical=project_management_ops,0.1451070919832871,-0.22598551348947923,0.04036701672135363,0.10539318127484729,0.08107264655587665,0.0016462245106609128
domain_industry_vertical=sales_crm,-0.005569499942806309,-0.043002195927797617,-0.0013612993624660885,0.0383422770321136,0.020507964346043333,-0.0011152100363731163
domain_industry_vertical=unknown,-0.0042789775026270726,-0.004662188621124084,-0.000774791206022524,-0.0007358074344372832,0.005225413756643642,-0.00015262559155263179
