,rename_memory,retrieve_activity,retrieve_chat_messages,retrieve_personal_priorities,retrieve_tasks_by_filters,search_clickup_help_center
domain_industry_vertical=creative_design,0.0004956967605727798,-0.10322879212388653,-0.001832315282902281,-0.06125472882555983,-0.19294523033258604,0.006535775193708521
domain_industry_vertical=education_academic,0.00735871698668422,-0.08155323752952151,0.009818520322025157,-0.04467566848974437,-0.1200352044826367,0.006604166732804243
domain_industry_vertical=finance_accounting,-0.0006103889626026366,-0.015241800206941386,-0.004098859720474384,-0.02499716271451599,0.024294929790457075,-0.004833842059180757
domain_industry_vertical=general_cross_functional,-0.001289274856834057,-0.056290613591025884,7.999034112014717e-05,-0.039365531517326864,-0.07928525216461886,-0.008851810999356922
domain_industry_vertical=hr_people,-0.0006443719165046523,-0.012116968277486928,0.0011930783537569874,-0.016654441913869805,0.0018299215929440326,-0.0007155055411631297
domain_industry_vertical=it_engineering,-0.000940175491780289,-0.01861734409651554,-0.004523404659610191,-0.027122605384982856,-0.044385965425619234,-0.0021794567440759495
domain_industry_vertical=legal_compliance,-0.0007110813936875638,-0.020035647571576283,-0.0018019831968198756,-0.02007902585817345,-0.014472034842607293,-0.004402901706151936
domain_industry_vertical=marketing_content,-0.0014904589469350831,-0.054592197037198434,-0.012190747673285266,-0.05179054424398296,-0.08103157730029198,-0.002394953278142452
domain_industry_vertical=personal_productivity,-0.0010585938933516186,0.016850351784705606,-0.006442465504855613,0.21874660896616033,0.13640627792696464,-0.004694159897989871
domain_industry_vertical=project_management_ops,-0.0015785740790382151,0.21181421858224572,0.011910153855479624,0.07451189334552592,0.25716671960186194,0.005078813073443951
domain_industry_vertical=sales_crm,-0.0009022153859401483,0.006455504002967686,-0.0044617937129335025,-0.023622794488985497,0.03961825637696614,-0.00332387477985426
domain_industry_vertical=unknown,-7.855080665628886e-05,-0.0025823359637017055,-0.0009792598464373188,0.0006787344670508802,-0.0053174514245311316,-0.000616237632382353
