,search_clickup_support_resources,search_google_calendar,search_public_web,search_users_and_teams,search_workspace,todo_write
domain_industry_vertical=creative_design,-0.0007291646959872271,-0.045885130173318175,-0.0519764366080189,-0.04819507899046371,-0.1235745247253506,-0.26273388875790193
domain_industry_vertical=education_academic,-0.010323317164495973,-0.02391387370331666,-0.01028311412229294,-0.04026880873639343,-0.05758374509628303,-0.14755276788616883
domain_industry_vertical=finance_accounting,-0.0029685542463093223,-0.01713673782111984,0.039893553585360446,-0.009119592805198693,0.035190956041364796,0.03271234925259664
domain_industry_vertical=general_cross_functional,-0.006580664238698405,-0.02318296657213212,0.09928144997994229,-0.026141010028591673,0.004379415271480206,-0.06778985742498767
domain_industry_vertical=hr_people,-0.0040544657073576865,-0.0033227839751204516,0.013577051041042596,0.020626203992506954,0.004438412633317916,0.0098488486551085
domain_industry_vertical=it_engineering,-0.004053552937491605,-0.021178098356832795,-0.011864688228387132,-0.005245771884519359,-0.0011607017616738127,-0.03245003283339454
domain_industry_vertical=legal_compliance,-0.0023655363120496857,-0.010433931203684741,0.020306849837820582,-0.00230790580468216,0.006074510674134246,-0.004235540660101666
domain_industry_vertical=marketing_content,-0.01154238080867156,-0.038907165465482715,0.07532167058215515,-0.024722920495221234,-0.007265883063767593,-0.040425650435475566
domain_industry_vertical=personal_productivity,0.001322009976681002,0.18023939387648336,-0.0200160824742285,-0.02046215561828193,0.02778273555104754,0.12131051067942791
domain_industry_vertical=project_management_ops,0.023828747058751865,0.030435559469242868,-0.09811124751096344,0.10691277394617481,0.08686473987276186,0.2780934263512685
domain_industry_vertical=sales_crm,-0.001594231960662324,-0.007102310026624441,0.061345108767927765,-0.008797060405153143,0.041335209584294395,0.05636751628904546
domain_industry_vertical=unknown,-0.0005950717292629069,-0.001893536102627834,0.002978577950723012,-0.002022264064322408,-0.004205021791302852,-0.006934512612115419
