,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog
domain_industry_vertical=creative_design,-0.004353787488570168,-0.013734830187938953,-0.03989996843167379,-0.011734952827272991,-0.08147909731014442,-0.06919880953196109
domain_industry_vertical=education_academic,-0.003721399221703115,-0.009224781802166472,-0.015205661651274826,0.0015719637167851397,-0.05542271178143551,-0.03869359473395312
domain_industry_vertical=finance_accounting,-0.0017799617361226455,6.955180164450497e-05,0.01033185604617457,-0.004926967182017097,0.002159901189829698,0.0227804208718588
domain_industry_vertical=general_cross_functional,-0.002823956935458053,-0.0012619194064815995,0.012919363165880727,-0.0056660229931230315,-0.03637993207219862,0.012773233890123803
domain_industry_vertical=hr_people,-0.0006361627331985142,0.005583041629605384,0.0030245194828959175,-0.0017119836070601721,0.010604918041272728,0.005831772252025578
domain_industry_vertical=it_engineering,-0.0015406236487325792,0.0014849086208370416,0.008961627907450932,-0.005825210221776942,-0.001024270059329585,-0.012374403718530517
domain_industry_vertical=legal_compliance,0.004502318868862411,0.0007848739440942523,0.006373957759714352,-0.0037983305765748954,-0.004871140229530947,0.003058211242232588
domain_industry_vertical=marketing_content,-0.0026602269948343194,-0.0022426692048606056,-0.000264611773867621,-0.010491246693552874,-0.009380362556016604,-0.0084544939760704
domain_industry_vertical=personal_productivity,-0.0018215631416112227,-0.006130555521244501,-0.0010377670744141224,0.03997019495194904,0.009756490179816068,0.05069872208149226
domain_industry_vertical=project_management_ops,0.009515806582527158,0.01414417617322834,0.020466367258227633,0.00737373774763073,0.10521566562735403,0.03692053355826154
domain_industry_vertical=sales_crm,0.0011601430685598759,0.01168864880356564,0.005767905461402736,-0.003463248482738281,0.028273652272828943,0.02406775488130937
domain_industry_vertical=unknown,-0.0001788476562911955,-9.490931651758854e-05,-0.002240367201112331,-0.00048690466757200676,-0.0015971538384740706,-0.0012406206211854948
