,autonomy_level=autonomous,autonomy_level=consultative,autonomy_level=human_in_the_loop,autonomy_level=unknown
add_agent_schedule,0.01520367149791037,-0.02090911059496456,0.007509728854968896,-0.0018421976495905646
add_task_to_list,0.007361476529399253,-0.015520106823748017,0.010872058672072362,-0.0015603123938291831
check_calendar_availability,-0.0020047148090681826,0.003400866833167723,-0.0015171070676517824,-0.0019269290128557696
complete_execution,0.003661020198034767,-0.0005936803131925665,-0.004019108447702488,-0.0007492550850184169
create_custom_field,-0.016398946775361137,0.0007736861779376069,0.021308743082693704,-0.002074133524253141
create_document,0.008888944046263496,-0.006979556004140506,-0.0019257164223426056,-0.005221808658483555
create_document_page,0.022041594325235052,-0.020655133504249388,-0.0015030831116062677,-0.005221806432227021
create_google_calendar_event,0.002323619751815616,-0.0035207437343251235,0.0017142580266758336,-0.001194446795459105
create_list,-0.021238006790123443,0.004132431333086488,0.022975538929832895,0.000531582038818541
create_subtask,-0.01753492531503892,-0.029208086886926287,0.06223015901206659,-0.0003845314271209078
create_task,-0.0003051749278624475,-0.026725639057276464,0.03640707964401853,-0.004376502298954283
delete_memory,-0.0001858473560482465,0.0010745629110268668,-0.0010762570380599243,-0.0006365062627679911
edit_image,-0.032074442604593474,0.05364311045354746,-0.026966057440125844,-0.006024889542058178
find_similar_assets,0.0027089815057997906,-0.0047366475266802785,0.0027692105592191187,-0.0009571100412134742
find_stale_tasks,0.0474902944214642,-0.059785216304566444,0.01624898921106368,-0.006423550636180012
follow_up_cursor_agent,0.007433060901384248,-0.005309624398343841,-0.002905493312142705,-0.0003647614642348652
generate_image,-0.030011023157961343,0.06242421497060546,-0.041283999892334104,-0.006461590216361784
generate_project_summary,0.03909915644871838,-0.044356647846572186,0.0068141774895973915,-0.004418588677483065
generate_project_update,0.051356673757533285,-0.047659743510203,-0.005285191194027556,-0.004370351965716687
generate_stand_up,0.06124928080446188,-0.04646309972740172,-0.020278740410299624,-0.0035239899691225183
get_cursor_agent,0.006926891045786532,-0.004948054400378584,-0.0027076376575531744,-0.0003399222680909268
gmail_create_draft,0.014978915277071052,-0.021617437918159135,0.00889784230122753,-0.0028422838984736684
gmail_fetch_drafts,0.00543880775475153,-0.010608526589750276,0.006952670585942682,-0.0015196416433931048
launch_cursor_agent,0.009324165390518255,-0.00666048841904004,-0.0036447031099151404,-0.00045756334647820303
list_available_calendars,0.002812731121431597,-0.0037868960278037793,0.00128118972443688,-0.00033718819493127147
load_assets,0.05658753426256175,-0.13518625129873318,0.10380919506071196,-0.006853867587932708
load_custom_fields,0.06544023385722257,-0.12986468482685548,0.0854254071912142,-0.010474943952951048
load_web_pages,0.03185382075669157,-0.02670079330246371,-0.006852806226835864,-0.004097841346268494
manage_personal_priorities,0.03352902076092736,-0.03803620093331151,0.005816664699005551,-0.00362191290112901
move_task_to_list,-0.003349837406689198,-0.017967360720352592,0.028652588649691255,-0.0026321520046070075
post_chat_message,0.12441543453966732,-0.11704329314175457,-0.010659288434174291,-0.010920651603743716
post_reply,-0.17887331415090393,0.24293508772237957,-0.08089750545307979,-0.0010861159349193415
post_slack_message,0.03079510139994451,-0.02600486220766645,-0.006663404688338733,-0.00201186429914197
post_task_comment,0.05298124687500281,-0.11440578131464495,0.08124200471462331,-0.0073262712529367216
read_memory,0.07190671563877818,-0.10930140525058271,0.04581913991644683,0.01445764018022961
reflect,0.006700883338042876,-0.005836647052882135,-0.001204388465951459,-0.0005047433970484149
rename_memory,0.0017351458662691283,-0.0008129621294899285,-0.0012161386292076544,-0.00025977295543464743
retrieve_activity,0.13878245550807183,-0.12104587005040807,-0.02482926224668357,-0.0097837898211159
retrieve_chat_messages,0.02041617865889113,-0.009503035915103751,-0.014324915985368173,-0.0035053336289792955
retrieve_personal_priorities,0.05999977663660972,-0.05667477187472839,-0.004711033220832106,-0.006102077176720516
retrieve_tasks_by_filters,0.16801113108216775,-0.1993586246736368,0.04013187215607906,-0.014120562524122287
search_clickup_help_center,-0.01073068548059479,-0.006297348836596963,0.02295851396270011,-0.0014763719842742745
search_clickup_support_resources,-0.015314524281126007,0.011872042962772536,0.004080615080483504,0.0052476854217541075
search_google_calendar,0.005460329320207029,-0.012930697757490724,0.010489780082139098,-0.004829830821164463
search_public_web,0.051865839440198194,-0.032257824268878355,-0.026808766138056536,-0.0012150788283118547
search_users_and_teams,0.044884040287275426,-0.052030429850190345,0.009041720214049595,-0.003401582728877846
search_workspace,0.0392131675621092,-0.08237250660915435,0.056630187461414544,-0.0023859256682904006
todo_write,0.21315347919986935,-0.2774319025892618,0.08317484769372072,-0.016909747161646903
update_chat_message,0.003842591412977392,-0.0035183301494063498,-0.00041890490711346616,-0.0005914615804089168
update_comment,0.012603362474100863,-0.018983149486766354,0.008358351974304375,-0.0011982694915780153
update_document,0.017521996960754595,-0.032888905668961875,0.018890862788588772,0.007170470071754574
update_google_calendar_event,-0.0075795346494264585,-0.0011488092234085375,0.01178194788445147,-0.0005643022879492865
update_task,0.027528225429665164,-0.0885752440136774,0.0811662225915202,-0.006678299483469493
view_tools_catalog,0.019345804670479205,-0.03204632352870902,0.016085306333735942,0.002103799556757442
write_memory,0.009040295752060267,-0.027334205457338556,0.023306655318876907,0.004685727375895087
