,domain_industry_vertical=creative_design,domain_industry_vertical=education_academic,domain_industry_vertical=finance_accounting,domain_industry_vertical=general_cross_functional,domain_industry_vertical=hr_people,domain_industry_vertical=it_engineering,domain_industry_vertical=legal_compliance,domain_industry_vertical=marketing_content,domain_industry_vertical=personal_productivity,domain_industry_vertical=project_management_ops,domain_industry_vertical=sales_crm,domain_industry_vertical=unknown
add_agent_schedule,-0.029397919761680373,-0.01634077025814089,-0.001365401737571777,-0.008995491765024123,0.008277813195236221,-0.00557012890123404,-0.0037872065106785858,-0.012583824054092122,0.04710823275764514,0.022746655385836572,0.009632068058031098,-0.001023974924642906
add_task_to_list,-0.014690131411875014,-0.01171288511484212,-0.0035491989511272468,-0.008302109496647274,-0.0012849177154993343,-0.002299694373361176,-0.002716633463578368,-0.001058151167043905,0.0020084796471277334,0.025891364489030646,0.0010948584595695764,-0.0006145802352446201
check_calendar_availability,-0.014184250854863793,-0.0014174338864683586,-0.005936676378081403,-0.00832362378550122,-0.0013900962323902433,-0.00697398014068161,-0.003893556461287477,-0.013115181972547102,0.04393158843596101,0.012711722029882392,-0.0016073476802198124,-0.0005826696935251391
complete_execution,-0.00551531582600076,-0.004733705308480524,-0.0024136089891869275,0.00040545091900785215,0.009956537348856364,-0.0017699471363553545,-0.0020509500274612804,0.004895063780742292,-0.0029145605163870235,0.005132310069387538,-0.002331496872342323,-0.0002265616573559295
create_custom_field,-0.013394345068608935,-0.01177139713112308,0.011969673217755819,-0.0031299230790041805,0.006101493931563108,-0.0009706257859737583,0.0004901626660547016,-0.006519216500303975,9.577289273785082e-05,0.006504391422813477,0.02885323783141459,-0.0007744587866131974
create_document,-0.04332658181621291,0.05635934559876008,0.018468098560372796,0.017501851221536194,0.006264369426047303,0.0031905676028201172,0.022952289136433608,0.019306064437720555,-0.02581352950420468,-0.030630427464668368,-0.007969277275797368,-0.0029295645422399864
create_document_page,-0.037829175017001386,0.028929175167521793,0.01020474665592368,0.01572161328882159,0.002434346474044867,-0.0005733713079615253,0.005791283671065659,0.01342364734354424,-0.012121790634168942,-0.008097476708708045,-0.004321000282138046,-0.001451626251481336
create_google_calendar_event,-0.02088351149825806,0.010058250174668238,-0.008666768197041696,-0.01173631774663907,-0.0026647897208224654,-0.01028085894729003,-0.00445623225005095,-0.018572276502390378,0.09461531849498565,-0.0024062176572506666,-0.006007813841286335,-0.0008589564081275546
create_list,-0.021680146562681715,-0.012130447655229757,-9.615162016654233e-05,-0.010828872301164406,0.0003506293454492774,-0.00523157648044814,-0.004010517220459232,-0.00820066103620658,0.01077784832154845,0.03218520412326672,0.004835067112489526,-0.001151734786198261
create_subtask,-0.046563490305948745,-0.02854017755586086,-0.01251531292382874,-0.01839745786164295,0.0035831814405008697,0.017871339605320943,3.1207333411519226e-05,0.011460667287758146,0.004052915886168049,0.05003481464459154,-0.001816479994477466,-0.00026432000408610143
create_task,-0.061060727386759536,-0.017406872802460636,0.00035579398753548543,-0.026701587597063564,0.001671964960692831,-0.0046740746867315166,-0.009883248907021283,0.03654687830959787,0.04205792680486636,0.02160068330281985,0.02129265208636581,-0.0030157791317518274
delete_memory,-0.0046853643499885035,-0.0040213715398032005,-0.0021309419526197404,-0.0031590337009143846,-0.0015788662823686386,0.004143799423095255,0.005996779215903302,-0.0014767621717008913,0.0035766403444216174,0.005248398366623445,-0.0007941530054742124,-0.00019246838185502842
edit_image,0.2576036987293836,-0.030409143027099374,-0.023686218791426048,-0.030773424249600313,-0.016058073887041575,-0.023599769381057928,-0.01773606509591803,-0.012716498743942753,-0.028587223751718325,-0.09255199012266518,-0.024775950107344874,-0.0021712079775472685
find_similar_assets,-0.007045349792186204,-0.006046908420756256,-0.003204282596098878,-0.0023598146835014672,-0.0023102148833997575,0.013223950805577806,-0.0014155955338963939,-0.005602430896578753,-0.002964765840964593,0.014059896141178415,-0.0033676159191993716,-0.0002894133674167826
find_stale_tasks,-0.05067392515108619,-0.04280721434172324,-0.016777086924165224,-0.029855540260493793,-0.00938999537635427,-0.010168441860778255,-0.007080326783021551,-0.03865977909165794,0.0014217673409079755,0.12226393239934151,0.004173560503266351,-0.0021344622893679373
follow_up_cursor_agent,-0.002685033063686637,-0.0023045199346699062,-0.0012211749550694235,-0.001810341587688087,-0.0009047979739954223,0.03278068016173728,-0.0009984684122243078,-0.0025856811813740476,-0.0014864297860529146,-0.004774697271252009,-0.0012834224496385224,-0.00011029749884793582
generate_image,0.21279550019435445,0.019590176139264316,-0.023917972589703247,-0.024987921446199338,-0.018169379740198253,-0.022537953193362138,-0.016559785941711116,0.0243659454950661,-0.03524740447093361,-0.11638754694571758,-0.03171669208412557,-0.0030317306807950135
generate_project_summary,-0.0503880293416236,-0.04120752972568782,-0.013417494524690491,-0.026688983997786842,-0.010210040218667423,-0.0016309179119763653,-0.006004181344369697,-0.028109671030203127,-0.02201071643079913,0.12033384950886389,-0.0029789040622739188,-0.0021722774384182793
generate_project_update,-0.04027038173826244,-0.03235897734865791,-0.012256541673064503,-0.021445519014236955,-0.009669183301914862,-0.00036492090558445234,-0.008034034113735608,-0.016002916553092206,-0.01778948873393594,0.09474417163760118,-0.006907773529942921,-0.0017378156617141958
generate_stand_up,-0.03640781113018997,-0.028587770459870453,-0.014441531734413088,-0.02303222456859278,-0.005593821817292316,-0.008316109998956298,-0.012083665515831033,-0.02428684342489131,0.010641420070344671,0.0908300024132455,-0.015316531633206747,-0.0015115505064189955
get_cursor_agent,-0.0025021901116172164,-0.0021475888213601303,-0.0011380164879362103,-0.0016870625843031267,-0.0008431838602516625,0.030548411065062956,-0.0009304756137339653,-0.002409603803889569,-0.0013852082354501739,-0.004449554256768996,-0.0011960251089436363,-0.00010278655957199845
gmail_create_draft,-0.022150428859472954,-0.015908688892934817,0.007950333917810864,0.02198099544139172,0.0008430098315175581,-0.008156386281744487,-0.0012102554963045525,-0.009312619943540025,0.0009674040916864192,0.014037477600530198,0.019195898978363445,-0.0009099094289194736
gmail_fetch_drafts,-0.011186181813433635,-0.007621201373088087,0.002353956841295453,0.0181741734941558,-0.003486625491663837,-0.004869568248740481,0.0008278220474407059,-0.007430597632309054,0.01597057875239295,0.0015804996630373617,0.004575972308423867,-0.000459513103345523
launch_cursor_agent,-0.0033681538059459623,-0.002890831287633895,-0.001531863844907532,-0.0022709250739213443,-0.0011349948650317295,0.041120675250325686,-0.0012524967488230932,-0.0032435250164292717,-0.0018646042795059897,-0.005989466202075567,-0.001609948222555969,-0.00013835916792059928
list_available_calendars,-0.002482064419755518,-0.002130315269417077,-0.0011288631589931191,-0.0016734931510433036,0.007908272803624295,-0.0012203582796430662,-0.0009229915838835184,-0.002390222805043532,0.005558274490132583,0.0027602799514667123,-0.0011864052032898747,-0.00010195982357945251
load_assets,-0.1541061962719186,-0.07551136306034356,0.04018508187350091,-0.010248057913703378,0.024811382563348465,0.015505097454796885,0.034498822337446736,0.02198509605640223,-0.03229520310712706,0.10930124265666635,0.047890194774218235,-0.004285482073812146
load_custom_fields,-0.09560092598691182,-0.07859283146270099,0.06886474235053615,-0.02468885720532449,0.03201325886676581,-0.007738041071758663,0.016329377226798104,-0.03391792277586174,-0.02868032852075234,0.09237460909143476,0.10911628063461139,-0.0017655167897894937
load_web_pages,-0.042771129068181916,-0.011668068217870324,0.0007944296368198916,0.07452527767121755,0.009839641971444648,0.008409010943277501,0.016070024344061,0.08483122508955754,-0.024568502762784914,-0.0787919380730207,0.042086434228453276,0.0005676485545856241
