,execution_dataset=collection_scoped,execution_dataset=collection_unbounded,execution_dataset=single_asset_from_user,execution_dataset=single_event_data,execution_dataset=single_user_prompt,execution_dataset=unknown
add_agent_schedule,0.027596318735772306,0.01493285531658378,-0.021453273879160694,0.001528928907236644,-0.025814779798207673,0.002451510721826449
add_task_to_list,0.0032398913532273215,0.011663871016876616,-0.010223445341902303,0.011841735220242683,-0.015600389509503147,-0.0021151746152297843
check_calendar_availability,0.007791424261139553,0.006423915893371164,-0.011921125837016365,-0.004366464542896436,0.0004285240456882602,-0.0012910797264787893
complete_execution,-0.003864224572372546,0.004084663883528309,-0.004635336378734265,0.01258015843630832,-0.007855499532613901,-0.0009319124939813883
create_custom_field,0.01623634269992281,-0.010415690602484299,-0.009143723190542161,-0.001800098035536392,-0.0013932090764260845,-0.0011734404674259022
create_document,-0.0060842385241597794,-0.009948933667145051,0.018135669920616406,0.0028009866806190985,-0.002041581918207641,-0.002432412190528468
create_document_page,0.016286626158397557,0.011018519731639032,0.000259700157606188,-0.012849940581832612,-0.01161785923820729,-0.002178508721653449
create_google_calendar_event,0.012938291225017377,0.01976670381954857,-0.00340240545577296,-0.016764403743540622,-0.0078491829060541,-0.0007953934215274395
create_list,0.020215898503526942,-0.012511025391483186,-0.011336889926387426,-0.007998546669063676,0.0031105849903320217,0.0019280944195751936
create_subtask,-0.006922364026031275,-0.030677337669795152,-0.01999613881278775,0.08309716873550764,-0.040342776514486235,0.00024400600116085264
create_task,0.056134405695206224,-0.013359548739650449,0.00977722541807384,-0.01901512935937564,-0.03678368875929518,-0.0044312056941854016
delete_memory,-0.001346102064068337,0.005537633028222742,-0.0039378052870047316,0.003263331617527239,-0.0027269927596823753,-0.0007916771612651883
edit_image,-0.07376370145516947,-0.04078865823833834,0.04710034805099694,0.037473391854272106,0.035568363971934226,-0.00706834569708329
find_similar_assets,0.004692541239147448,0.007433489918502848,-0.005569866063927426,0.004121647144087545,-0.00997268439605444,-0.0011904394422627821
find_stale_tasks,0.07824910316187988,0.13137921586934087,-0.04323236882688057,-0.0671418413537581,-0.07319986718433415,-0.007636238092109366
follow_up_cursor_agent,0.010283187102162285,-0.0021712020709655244,-0.0022566307770694126,-0.003785438189195514,-0.0038243097298996335,-0.0004536849634261512
generate_image,-0.08542400009494382,-0.04664679126940306,0.021660691175947464,-0.0305792433469031,0.1374353748506032,-0.0070383793271601575
generate_project_summary,0.1356986427195346,0.02400202214016164,-0.04291895954752131,-0.058533989195792946,-0.0689155890675788,-0.004713947385063532
generate_project_update,0.12507977232461345,0.002846231350740965,-0.034954002009192416,-0.04930965512812868,-0.05798138397242958,-0.005677500152269891
