,operational_scope=branching_workflow,operational_scope=multi_workflow_orchestration,operational_scope=sequential_workflow,operational_scope=single_action,operational_scope=unknown
add_agent_schedule,0.004797038237889793,0.02670898195315267,-0.022046547805913103,-0.00024955240321304964,-0.0008146713990199524
add_task_to_list,0.006577150985026438,0.0006191620596192478,-0.007012095920094334,-0.002444112211536475,-0.0010065861943472562
check_calendar_availability,0.0010366360022279653,0.014933351914972047,-0.01014610566216471,-0.0023172077974003146,-0.0014577503575745956
complete_execution,0.0025452547931423823,-0.004054162324408512,2.9591435168954784e-05,-0.000901008658680917,-0.0005668225766560315
create_custom_field,-0.00598936741231599,0.01368810583066572,-0.0017387112243071833,-0.0028499725124632746,-0.0012946066621031575
create_document,-0.050025181999072355,-0.01146919738459237,0.06279663996372739,-0.009576269166743675,-0.0035030449127531737
create_document_page,-0.029929891095179444,0.0034033939430695654,0.03126601030841122,-0.006374826664576547,-0.003557896476770979
create_google_calendar_event,0.00036807032159174614,0.019279474126716108,-0.012170152319814049,-0.0020451740805508822,-0.002148977413795939
create_list,-0.008669756731643694,0.013326867304244748,0.001186953430417312,-0.0021838977429795223,-0.00034711533906470497
create_subtask,-0.004851305897413318,0.027990648387415086,-0.011414100650632758,-0.005699421908019387,-0.0038356425599960203
create_task,-0.026134603938637806,0.03113225277087374,0.009931556665437005,-0.00947697493613057,-0.0029288234980712666
delete_memory,-0.004096928471171126,0.0024345938526269687,0.0008878964242159572,0.013715153020921526,-0.0004815264215537309
edit_image,0.012863062705959376,-0.03463886717254188,0.00876173358276733,-0.0002979642356087164,-0.005332335478002836
find_similar_assets,0.0009675042665130258,-0.0025562003692692686,0.0008229854129456357,-0.001150962404776456,-0.0007240679316719685
find_stale_tasks,0.01602315577350761,0.05527060932982159,-0.05084538920383064,-0.007753364797629945,-0.004591820278466189
follow_up_cursor_agent,0.005214163159369476,-0.002087653295020024,-0.004185514166954831,-0.0004386399828313153,-0.00027594745388662324
generate_image,-0.028206118107202482,-0.04265061915227579,0.057593822867027675,0.0032957114656531764,-0.006594690446598726
generate_project_summary,0.005289916927467983,0.06213021823532499,-0.043704976604690686,-0.007608624360659137,-0.0045057785789151495
generate_project_update,0.023604663080148563,0.02908241330584602,-0.04269592251141611,-0.005641292918261097,-0.003908455689840229
generate_stand_up,0.026510532403606284,0.00033569333973257234,-0.02774966450039169,-0.004302414728559253,-0.0035417961600115798
get_cursor_agent,0.004859093794479811,-0.0019454901699094192,-0.003900492810397042,-0.0004087698741755768,-0.0002571562338576961
gmail_create_draft,-0.00430600363012006,0.01634026153134503,-0.005536327310848229,-0.0003229033549296477,-0.002056192884837454
gmail_fetch_drafts,-0.002600152628037673,0.016780770444400066,-0.007524392600718664,-0.0017532847096709593,-0.0011496314260992862
launch_cursor_agent,0.006540740122559035,-0.0026187898712363403,-0.005250384310691765,-0.0005502378900261246,-0.00034615345323649833
list_available_calendars,-0.005736561599238005,0.005035508484328112,0.0030432645129702084,-0.0004054820438497309,-0.00025508786699024634
load_assets,-0.018310497578663935,0.03728579513881821,-0.0004064063592305487,-0.02168848349055256,-0.005080293119806032
load_custom_fields,0.011908927335196662,0.02277573427624134,-0.025003447802873086,-0.010533160919435257,-0.008125930666419558
load_web_pages,-0.020245055295995067,0.0070770449208448875,0.01880378636892985,-0.008214161553209691,-0.0037333072520964873
manage_personal_priorities,0.006574429337136314,0.01916031669311085,-0.018380694403284423,-0.004355196749762254,-0.002643654826379406
move_task_to_list,-0.0009660092101984822,0.009124274196922006,-0.004375563073523773,-0.0014798201869228368,-0.001921057913471796
post_chat_message,0.018705548252551683,0.10581883461422725,-0.08450753830545918,-0.013462341842976547,-0.010673921779793925
post_reply,-0.039112527858920214,-0.1413973568451302,0.13123520331074295,0.0062512590370074885,-0.0010960654417723576
post_slack_message,0.0026679274584253477,0.010462234424333012,-0.00920469375313525,-0.000980509487558598,-0.0019384089651065428
post_task_comment,0.017225504522087574,0.05621836865724923,-0.052006214810502556,-0.012082652689109578,-0.005676200659221594
read_memory,-0.030862497654040547,0.14940098583190908,-0.0626812623630229,-0.0015905482605913846,0.010597738994964993
reflect,-0.0017831867766947248,-0.002508616270510336,0.003637816964660777,-0.000606973753326571,-0.0003818458607565847
rename_memory,-0.005320818834567193,-0.000853824245714398,0.0063264077794607555,-0.0003123871787029662,-0.00019652209092635217
retrieve_activity,0.0315540908027747,0.05197552196936984,-0.06415526732192282,-0.014614479550463065,-0.007618453570009563
retrieve_chat_messages,-0.015152462557576877,0.003307441091921066,0.014410239272790129,-0.0005354432001806075,-0.0016338233602866481
retrieve_personal_priorities,0.015842786543636595,0.05551834021869034,-0.050684708909340084,-0.008891232248563898,-0.004134708929968226
retrieve_tasks_by_filters,0.009995197683466227,0.1543701795629641,-0.10453685189296767,-0.0232135475152085,-0.011607951137322384
search_clickup_help_center,-0.014054372690987088,0.040132652659991816,-0.011206189706309488,-0.002293651436337251,0.01190312128080519
search_clickup_support_resources,-0.005760901370684569,0.02598219532481776,-0.009990302976712722,-0.0018575002039536836,-0.000923082339752346
search_google_calendar,-0.009271514239980901,0.06873011303524892,-0.032479718370215745,-0.005932459528645888,-0.004737337399490215
search_public_web,-0.02515831406095176,0.01809205854322245,0.01653153658629279,-0.008846792807021988,0.003122613228351329
search_users_and_teams,0.0012143537410692169,0.0033074549687945065,-0.0024809861627276136,-0.004185842196186572,-0.0034196750371436285
search_workspace,-0.022202451304707365,0.09015930134366448,-0.031100186515953948,-0.015116147843186862,-0.0023199514120013226
todo_write,0.0067472415318230216,0.15912613601775974,-0.10193176601390928,-0.036468096415580686,-0.013759614449411981
update_chat_message,-0.0010978353324433802,0.0016875159020694295,0.00025134984156860077,-0.0007112557737428402,-0.0004474494517340432
update_comment,-0.003097357275707068,0.001260383868609346,0.0028423034973068307,-0.0017708227528197768,-0.0006055789033640607
update_document,-0.01792998534757407,0.023574066387449535,0.0037818903391665637,-0.0014031657726662921,0.0074459052028696855
update_google_calendar_event,0.004763182424550927,0.008515310309070805,-0.010271482381962843,-0.0010654086347710939,-0.0012181609257272965
update_task,-0.003946441411722963,0.028871307251801318,-0.012248817740226538,-0.00842012177621683,-0.007077014937845238
