,tone_and_persona=casual_friendly,tone_and_persona=empathetic_supportive,tone_and_persona=professional_formal,tone_and_persona=technical_precise,tone_and_persona=unknown
add_agent_schedule,-0.003551302238827173,0.004069702666386535,0.0010932326580128334,-0.00784317611586331,0.015216065392287346
add_task_to_list,-0.0015966256467791593,-0.005192138127496188,0.0038439446675228393,0.0012858202504121,0.0008803886878762591
check_calendar_availability,-0.005001452445699732,0.005624468191872205,0.003556625307607936,-0.006228814392752589,0.0031994861705497185
complete_execution,-0.007800032675841905,-0.004671126441190035,0.004763467624869212,-0.0033177209180297383,0.029542829865155773
create_custom_field,-0.005710866258148903,-0.008035133778159675,0.004196498228009206,0.010041902223306774,0.0044669471268360544
create_document,-0.03958073512503411,0.006668300278579617,0.025212665520136842,0.01257734367797986,0.005657181279020822
create_document_page,-0.033094921695367895,0.008056233472819004,0.01621679567496652,0.017740190307382355,0.0035215008016585463
create_google_calendar_event,0.0026083549713738796,0.017365804948401415,-0.009981419071084576,-0.006813011257033909,0.0009701422821893407
create_list,-0.005414063987683918,-0.005665793605215431,0.0029315791594948276,0.0036609779086015587,0.015837094199484758
create_subtask,-0.02787438590784347,-0.008333808996883353,0.02347941599577241,0.013143794163414234,0.0047194519011155706
create_task,0.0034847862409510323,0.004554840851750427,-0.009331334499649725,0.003208020027382823,0.0069004504050738085
delete_memory,-0.005451795927464635,0.0025587641867782077,0.0008259804884558564,0.004042007771956851,0.002765313610453405
edit_image,0.0860583194240816,-0.030929355886334046,-0.052765328537505006,-0.014157105200859159,-0.006104087128960531
find_similar_assets,-0.008805395290878726,-0.0038434613081259404,0.009828425647348009,0.0025479998579920433,-0.0020969789141526535
find_stale_tasks,-0.02496194903086238,-0.011512970015011554,0.040055210742329914,-0.014726062864979326,-0.00931701142536258
follow_up_cursor_agent,-0.004532238199367287,-0.002274054530137596,-0.0013796527978157207,-0.0017677057239015226,0.03301382597848093
generate_image,0.08064919064026194,0.004089355514084327,-0.06997030457892112,-0.013757571654116686,-0.00431387956052314
generate_project_summary,-0.045226135035448346,-0.029534850920082553,0.06652857150623587,-0.008545587180328313,-0.007232430716243553
