,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
add_agent_schedule,-0.008537733057451669,0.0026712902627347764,0.028219968682846083,0.004598357211839993,-0.037827968079160244,-0.0021776148093564608,0.0026897733340431676,0.027564270981260228,0.001820551793784646,-0.01418832577144144
add_task_to_list,0.00018304961262400777,-0.00018665354953962326,0.024672439135644857,-0.004489555868237523,-0.018684897570072658,-0.0010758273429615972,-0.0009507575509367514,0.010346911019020221,0.0045507518098530965,-0.00700959083772682
check_calendar_availability,-0.008173453632643539,0.00013792750390714074,0.004033780778270634,0.007943358109437871,-0.016871687917461593,-0.0010199676987006868,0.009540880339212654,0.013854155827076012,0.0004712927988443189,-0.006645635363671076
complete_execution,0.03175745733291309,-0.0014167219403516994,-0.001177643285442497,-0.0089951320427289,-0.006995034465365529,-0.0003965978921420868,-0.0009001103868949933,-0.006822922565918471,-0.0018527108425455546,-0.002584047495361121
create_custom_field,-0.003946414803733817,0.0079308628886488,0.004228138574332308,0.030908779083278593,-0.02042014389535114,-0.001355695954497634,0.0008165029418934062,-0.012587853814403461,0.0016999423950444686,-0.008833084605592996
create_document,-0.0030338338925819564,0.021960038805266178,-0.00929823343593657,0.08717345430491362,-0.07353132651093851,0.02260136873904231,0.007696849677624369,-0.02164263674850042,0.03856286489816914,-0.03637833282694024
create_document_page,-0.011847832402764623,0.00925083566430523,-0.013605720898779861,0.05051977091812206,-0.06692769431958677,0.0009359426281259685,0.005155486412340701,0.03021213103630855,0.02686179107012626,-0.029929134923202722
create_google_calendar_event,-0.006658574458789246,-0.00026605291751382405,-0.002416717595529783,0.01156992891308166,-0.02253984061338537,-0.0015036096790647083,0.0020629871664748735,0.022423894904948154,-0.003684275584142618,-0.009796821672960362
create_list,0.012423218555817218,-0.002751734336251585,-0.003910413435071889,0.03699812729845615,-0.030940978308923218,-0.0015002040047170546,0.007069328590661149,-0.01267301166505646,-0.0026654464755169545,-0.013136103541652582
create_subtask,-0.0031370291490437786,0.08519758363697998,0.1256697478198739,-0.003607215383572246,-0.06365772527468153,-0.0016556479987684428,0.0008664396551257746,-0.03785256801987241,0.05993081499123264,-0.02636824650111062
create_task,-0.013583730345305354,0.005807432364459656,-0.002585598208389093,0.061718081542484565,-0.08902428436479368,0.0023704476684330497,0.017145872793669012,0.043209712608337385,0.007357762323813676,-0.037667998450974835
delete_memory,-0.004616568704214387,0.006172221265741274,0.0012264555381389121,0.004339122576740436,-0.005942413117388041,-0.0003369173559133237,-0.0007646606741776049,0.003129800812765025,0.0020607252797085226,-0.00219519686549326
edit_image,-0.018084061184509958,-0.006087688719520108,-0.034468248915525954,0.15371528943113,-0.059105787098691444,-0.003800715961150184,-0.005950289106794912,-0.06425267109721837,-0.0014901271654339714,-0.024763698331686707
find_similar_assets,-0.0029998987842973076,0.0013621007768746466,0.017034973558145948,-0.009242162508942565,-0.008539322641932579,-0.0005066202852449979,-0.0011498149384953367,0.012137296831996491,0.0010104928073896165,-0.0033009022617736003
find_stale_tasks,-0.026021054607891902,-0.010102850403256272,-0.021611711487437617,-0.06464942248601685,-0.06445696553002918,0.0053930637256526465,-0.004054789396293808,0.19478570453392646,-0.015513103491606778,-0.024344595626430557
follow_up_cursor_agent,-0.002645608470476202,0.036650105760058255,-0.0017956002162441904,-0.004379119475460532,-0.003405407670870131,-0.00019307660467416277,-0.00043820267524612714,-0.003321618064753593,0.01920611725564578,-0.001257997398892845
generate_image,-0.012525253394510667,-0.0036540033381604288,-0.04318114166948548,0.16705159926383623,-0.07248267735064158,-0.004433132686219988,-0.007250789018828106,-0.062058095728974895,0.001388923425255401,-0.034626318950892444
generate_project_summary,-0.021538080536333583,-0.008952492602818721,-0.016763101235602963,-0.05547913739377462,-0.06433763630815016,0.0020413358155252285,0.004358606453174447,0.1748762546016355,-0.012178215274219403,-0.024775896060628202
generate_project_update,-0.025581393814920604,-0.007507786249583196,-0.01611652883185033,-0.04748276212581539,-0.0521364441416112,0.017833808704335544,0.002792132332333993,0.15265024388635773,-0.011546364528959808,-0.019820645119122002
generate_stand_up,-0.020941553636637387,-0.008543578747312913,-0.018945807318196024,-0.0397722864499283,-0.044751547617699255,0.006348602454941413,-0.002558945722881703,0.13449869514899104,-0.010304437427560051,-0.01723997937606731
