,use_case_context=entertainment,use_case_context=general_productivity,use_case_context=personal_productivity,use_case_context=personal_use_case,use_case_context=specific_use_case,use_case_context=test_or_placeholder,use_case_context=unknown
add_agent_schedule,-0.003892094716182767,0.014506398318894942,0.01829606231315652,-0.009847773054131932,-0.014757775514342477,-8.745254781954373e-05,-0.000958504345792636
add_task_to_list,-0.0024294560727072976,0.01877778705176115,-0.0014687758399864088,-0.012977379279598716,-0.008543271401092432,-0.0007984403051741269,-0.0004735388366760653
check_calendar_availability,-0.002303312641926607,0.013023495035577492,0.011231052424613135,-0.0005523604773982136,-0.01688572771674257,-0.0007569832891367685,-0.0004489515168486741
complete_execution,-0.0008956057529037089,0.004041146115364227,-0.0029939111120844105,-0.005323504978685007,0.0011065889099509088,-0.000294340671024054,-0.00017456751373891012
create_custom_field,-0.0030614612939026,-0.011407864115006666,-0.00313391696840969,-0.006074392688350431,0.017218152750598743,-0.0008009364695293768,-0.0005967265001947162
create_document,-0.007992817293555637,-0.050219521990030484,-0.018776445129023173,0.03244559937078345,0.036348803073705124,-0.002792712885134658,-0.002457569037320617
create_document_page,-0.006615071776091592,-0.029752727292302255,-0.01155356607694811,0.021150513553034194,0.020731798773858067,-0.0034091330257200654,-0.002021888019194332
create_google_calendar_event,-0.0033954831968941337,0.003501173464360017,0.03291963865969492,0.020139733769306667,-0.030869465858386638,-0.001115924947315698,-0.0006618325727612594
create_list,-0.004552845845040737,-0.012558329673465988,0.005727462499680625,-0.007099067951502254,0.015511024486075808,-0.0014962919752955475,-0.0008874205832515846
create_subtask,-0.00912850824739202,0.009826375363236486,-0.005379361684524345,-0.025062752066280825,0.01117270412808064,-0.00016181202762032047,-0.0017813291905883575
create_task,-0.012151208921499712,-0.031939324766527194,0.0280719434583455,0.0018823255230758097,0.020005881841843935,-0.0034799734252010093,-0.002544693489153084
delete_memory,-0.000760833903022805,-0.0037174501526333306,0.002349564104758998,0.00029011587097762674,0.00257352832035184,-0.00025004792658769566,-0.00014829838060814954
edit_image,-0.0008323871383585775,-0.004645271084019799,0.00999454516742378,-0.012630760374619833,0.009293907643272594,-0.0028207544935109825,-0.0016729325821229462
find_similar_assets,-0.0011440606493202951,0.007955182846658911,-0.002872176768011434,-0.006775028790028713,-0.0017605487850403097,-0.00037599532843705534,-0.00022299524368936857
find_stale_tasks,-0.008437600289579095,0.10117363905051703,-0.012288633360029489,-0.046249559330123896,-0.061195179717291937,-0.002773015830922754,-0.0016446197444568089
follow_up_cursor_agent,-0.0004360096745934092,0.008281176197273019,-0.001457532184791428,-0.002591653376418637,-0.0056781505635105246,-0.00014329450182372862,-8.498507810284804e-05
