,data_flow_direction=bidirectional,data_flow_direction=inbound,data_flow_direction=outbound,data_flow_direction=processing,data_flow_direction=unknown
trigger=\N,-0.02282760611411771,-0.0033778056447256173,0.04012429536830147,-0.027184705295374645,-0.004161573127597973
trigger=assignment,-0.0013019629447179383,-0.004657813010205602,-0.0284284877173663,0.028638364595785983,0.008075640581235749
trigger=automation,-0.020169958643139585,0.0019245632428199564,-0.1754123233397673,0.1839726699508986,-0.006162115788566497
trigger=dm,-0.005026774225742832,0.004086018862503442,0.12080453043088449,-0.11730089654914391,0.0004845126357901897
trigger=introduction,-0.06904613868566398,-0.012056976740069628,0.16273871638148565,-0.12368791506954381,-0.002924390559895977
trigger=manual,0.011702336896632255,-0.0017117819069865858,-0.01361960565047464,0.007144210347746275,0.006093202134392332
trigger=mention,-0.0024403338972151098,0.0006716824176930307,-0.012019025175405571,0.013011707023566535,0.0004900385726116013
trigger=scheduled,0.11714422789755138,0.00885572748084993,-0.22333975220145058,0.1598617640680639,-0.004791332256936391
trigger=task_comment_mention,-0.00768650732257191,-0.004628418552141777,-0.019551279532558245,0.023877065657669696,-0.0008633243562757882
trigger=unknown,-0.014152947688147692,0.006865161164363536,0.027870672511726844,-0.02327730611957852,0.026949193287974432
