,domain_knowledge_depth=deep,domain_knowledge_depth=light,domain_knowledge_depth=moderate,domain_knowledge_depth=none,domain_knowledge_depth=unknown
trigger=\N,-0.00138840185193947,-0.015140523815879102,0.02336294949703075,-0.014323841139493112,-0.0012704541353089898
trigger=assignment,0.01305263317716617,0.0004963749242490967,-0.0046213587918856654,-0.004743609990643634,-0.0013489138967549324
trigger=automation,0.02479724283428088,0.11801592080096886,-0.12060599481232245,-0.0074976276246048875,-0.0008539673315091675
trigger=dm,0.017545813924063517,-0.0843676298147941,0.1029766646972421,-0.056040684678722315,-0.002708804518058456
trigger=introduction,-0.014908017429362855,-0.10574235232570167,0.1343451470522008,-0.04567649434574354,0.0016566221468723866
trigger=manual,-0.0021613812380210777,0.012416289164632714,-0.011427495184545111,0.0014245577207413088,-0.0003924871139687131
trigger=mention,0.005753418177573309,0.012845443598161322,-0.014093301429866653,-0.001915147912476847,-0.0008631232466588976
trigger=scheduled,-0.031557168927053535,0.14765431022376332,-0.1996097546893565,0.13272020463379902,0.00023177878526571067
trigger=task_comment_mention,0.03176178567079969,-0.01253031577872455,0.007131766968794011,-0.0209200283326444,-0.0017687033605849486
trigger=unknown,-0.0057975377694650145,-0.009332320383674878,0.007558251989966391,0.007176679556334277,0.00858631220127713
