,implied_end_date=false,implied_end_date=true,implied_end_date=unknown
trigger=\N,-0.013740856862736277,0.014247460180019024,-0.0011060619631535142
trigger=assignment,0.00015801135220053997,-0.00023778652533339764,0.00036681624203834076
trigger=automation,0.02271210790545449,-0.021522412700714148,-0.00787807177266212
trigger=dm,-0.010795875144107741,0.012169197405090069,-0.005539076335604931
trigger=introduction,0.002354496088393681,-0.005098280353208051,0.012912095381510027
trigger=manual,0.001346583158647622,-0.0011282495336282824,-0.001174792791541411
trigger=mention,0.005381744530653515,-0.005664329215364623,0.0008362290937018792
trigger=scheduled,0.00750973788297606,-0.006177648765160381,-0.007099796462772182
trigger=task_comment_mention,0.01398870487552255,-0.013163674982181324,-0.005294084530265497
trigger=unknown,-0.012533220194827966,0.009179092320295724,0.017264529642098483
