,operational_scope=branching_workflow,operational_scope=multi_workflow_orchestration,operational_scope=sequential_workflow,operational_scope=single_action,operational_scope=unknown
trigger=\N,-0.014609563573959228,-0.03601451798243187,0.03818530940014103,0.006030639768921132,-0.004762749414389623
trigger=assignment,-0.0009060858634973029,0.006087974752699484,-0.0031658561606195596,-0.0018387909525306569,0.0057730112470391285
trigger=automation,0.04432159921313184,0.02044824925489326,-0.05837516630078089,-0.010927224740394781,-0.007332690780974265
trigger=dm,-0.03714868469993339,-0.05077883937673225,0.07293878922543025,-0.005695334919273403,0.001612581167895464
trigger=introduction,0.004434737243327445,-0.09451369279664004,0.05437430600546028,0.008669941433144247,-0.002658260239172153
trigger=manual,0.0003050946169547445,0.004408635458343673,-0.002719637536703842,-0.0020257737567105742,-0.0012744098399474952
trigger=mention,-0.0061746792747879265,0.0026118277061160248,0.00442842067589691,0.0035011900956648597,0.00035068131099995207
trigger=scheduled,0.03545157757865966,0.18846250140467083,-0.15532363382187156,-0.015932136816811847,-0.004513673292722353
trigger=task_comment_mention,-0.009889086837503286,-0.013074947642378078,0.019234096610935565,-0.0022378742985408127,0.0004996271763337862
trigger=unknown,-0.01800165204087516,-0.03129619202108659,0.031580889791386756,0.035296482078684195,0.02722165288908874
