,output_modality=email_external_message,output_modality=messages,output_modality=structured_document,output_modality=task_artifact,output_modality=unknown,output_modality=visual_image
trigger=\N,-0.013986570302135102,-0.007415227663039751,0.03090371160054358,-0.020334221485070504,-0.0035533011747152757,0.007332475035871149
trigger=assignment,-0.0038496782161532694,0.001213502403404926,-0.008118727465155275,0.03258170537969946,0.009398698124313355,-0.031843913167915405
trigger=automation,0.0024895439060606934,0.021685719870609455,-0.07008063157725242,0.13075133391180155,-0.009104772962445447,-0.10303340774257028
trigger=dm,-0.014459863109448636,-0.09063927062212414,0.05472577726721361,-0.004522236648395773,0.015109800118899409,0.08050470908611979
trigger=introduction,-0.025621942564234907,-0.09681532704637723,0.0382605566805061,-0.029415763607666876,0.001183746297690202,0.14403051649659002
trigger=manual,0.012860288697408032,0.006315641169737861,-0.000891270287340357,-0.0013692327339843505,-0.0011342776099230827,-0.011037269406407523
trigger=mention,-0.006100045110300761,0.009816734062525668,0.0008662409067588148,0.0045894954487335484,0.0056060408671146375,-0.020311183989868944
trigger=scheduled,0.05424204852864591,0.2013039018970227,-0.08747886998526522,-0.03869529944124111,-0.0226757919627599,-0.1715916187509195
trigger=task_comment_mention,0.00236393352180759,0.0027172944387196443,0.014427135287190664,0.017994166607241683,-0.0011767500002888343,-0.04010115967101836
trigger=unknown,-0.0021775334706148905,-0.021609977083552282,0.0018058957885190845,-0.014002245653716439,0.02203881722432854,0.03892183571879912
