,state_persistence=state_accumulating,state_persistence=state_referencing,state_persistence=stateless,state_persistence=unknown
trigger=\N,-0.015199995437969021,-0.005314731109945739,0.004190405304771513,0.015323123200853035
trigger=assignment,-0.0009624103637878108,-0.005585073512163492,-0.0014367240365323467,0.00454410398267517
trigger=automation,-0.03005726501821027,-0.02425958143226179,0.009040457119113058,0.03890132503576448
trigger=dm,0.006557402991944245,0.016050192871711978,7.738381187994118e-05,-0.015601670143314253
trigger=introduction,-0.04240632407700835,-0.003002857018121693,0.0026948539905319474,0.036573923073674214
trigger=manual,0.00910791538134932,-0.003996396188258887,-0.0016621238318080987,-0.004756493012129792
trigger=mention,0.009560821507835354,-0.003330241094377665,-0.0014263543725923588,-0.005587489204533112
trigger=scheduled,0.07472577075005803,0.01021115040283519,-0.013514048195308522,-0.06628349186903994
trigger=task_comment_mention,-0.0016460851480533064,-0.004880550782411159,0.0003277074723019258,0.004405141257221126
trigger=unknown,-0.018756452214937117,-0.003846121907742834,0.00435015034419834,0.017310192963344694
