,team_orientation=individual,team_orientation=larger_team,team_orientation=small_team,team_orientation=unknown
trigger=\N,0.020170260977778635,-0.014107052544638399,-0.017455394230165438,0.0034434575697987633
trigger=assignment,-1.579826299389438e-05,-0.005912535575312079,0.00046697215815106344,0.00906993504781963
trigger=automation,-0.03281483338024424,0.014623082398751926,0.03604909078435585,-0.007982586345996516
trigger=dm,0.03727070161267915,-0.03163609634525725,-0.026492324015214785,0.003378577159383224
trigger=introduction,0.056746291903794564,-0.04292657788226476,-0.04005981174853302,-0.004343642626017797
trigger=manual,-0.016938386547800888,0.02109853664092341,0.0031345459192607,0.006277845158527359
trigger=mention,-0.020361662278512514,0.008193522618737722,0.020404236489804987,0.0007788770332396957
trigger=scheduled,-0.09241569243685296,0.08645267562481737,0.06154923842673267,-0.013030719344894045
trigger=task_comment_mention,0.0016712529215037989,-0.006639581660535877,0.0033160140961317986,-0.0007089000065453964
trigger=unknown,-0.0010778431864761125,-0.006246726147871145,-0.0067416712474127095,0.028254837148197577
