,template_is_custom,template_is_templated,template=custom,template=unknown
trigger=\N,0.07690656498328984,,0.07690656498328984,-0.0769065649832897
trigger=assignment,0.020049415343439993,,0.020049415343439993,-0.020049415343440083
trigger=automation,0.052197234116707326,,0.052197234116707326,-0.052197234116707195
trigger=dm,0.12729889561037508,,0.12729889561037508,-0.12729889561037486
trigger=introduction,0.0989935620697581,,0.0989935620697581,-0.09899356206975757
trigger=manual,0.005612643975793596,,0.005612643975793596,-0.005612643975793578
trigger=mention,0.012738340875361003,,0.012738340875361003,-0.012738340875360986
trigger=scheduled,0.09655783854541836,,0.09655783854541836,-0.09655783854541805
trigger=task_comment_mention,0.02621951996047309,,0.02621951996047309,-0.026219519960473062
trigger=unknown,-1.0,,-1.0,1.0
