,create_document_page,create_google_calendar_event,create_list,create_subtask,create_task,delete_memory
trigger=\N,-0.010824586582026483,-0.006670931632005788,0.012671655138569141,-0.003489821396157906,-0.013753522172647534,-0.004618429363974444
trigger=assignment,0.008992980132777455,-0.00032844363846901533,-0.0028524010992423575,0.0874049668599873,0.004877037699627835,0.0062067870443435385
trigger=automation,-0.014262462661110628,-0.00256248543426448,-0.003282428724458139,0.12648221973293391,-0.0028187597081187478,0.001221302856176154
trigger=dm,0.05170166920598153,0.011566762615995598,0.03589310445332928,-0.004237354624610626,0.06297639415890134,0.004333302462037141
trigger=introduction,-0.06846862377670845,-0.0219794410538414,-0.030634702352637076,-0.06466733853692952,-0.08937476847269098,-0.005933644846578559
trigger=manual,0.001378332247199536,-0.0015564317659549549,-0.0015885091613851566,-0.00033862182058823543,0.003607743947649886,-0.0003487533251124314
trigger=mention,0.0030605517216765158,0.0020121663876314167,0.007404307839051293,0.001667693625558542,0.016553502253744336,-0.0007669477329085701
trigger=scheduled,0.0307381333861247,0.021961062521574395,-0.01240980591395498,-0.03650338769351047,0.04273222099717653,0.003124685989382627
trigger=task_comment_mention,0.02549419280763778,-0.003669361043701369,-0.002594854068304074,0.05817617943867524,0.006832613320586444,0.0020681197605843834
trigger=unknown,-0.029929134923202722,-0.009796821672960362,-0.013136103541652582,-0.02636824650111062,-0.037667998450974835,-0.00219519686549326
