,edit_image,find_similar_assets,find_stale_tasks,follow_up_cursor_agent,generate_image,generate_project_summary
trigger=\N,-0.018092830554747464,-0.0030038424971336503,-0.02599038460766748,-0.0026466747553161763,-0.012330971089956152,-0.02301153048943925
trigger=assignment,-0.010200879722359543,0.0013822518566228034,-0.010035207056809355,0.036802989935381725,-0.0022376234616284106,-0.007929374574957418
trigger=automation,-0.03450730928945694,0.017017441958205363,-0.021351823053024948,-0.0017969439421886995,-0.04321406322084807,-0.016507996760772043
trigger=dm,0.15373696785817717,-0.008079236416879637,-0.06491646449435862,-0.004381198239114539,0.16839100565323892,-0.05601666085903665
trigger=introduction,-0.05798693668931083,-0.008129218768992398,-0.06379739398567026,-0.0034003828541695705,-0.07377219959598522,-0.06465683789091572
trigger=manual,-0.003934235817759429,-0.0005244179498252097,0.004952511350051477,-0.00019985942160503258,-0.0036208690716832627,0.00551553297755368
trigger=mention,-0.0059839976038046855,-0.0011532539728054212,-0.003537104811182772,-0.0004395133157539972,-0.007073143320408297,0.0048469940962883986
trigger=scheduled,-0.06438494416284403,0.010787722152657692,0.1941129468153064,-0.0033231497291637277,-0.062325360085198754,0.17630556974966458
trigger=task_comment_mention,-0.0013844945603063447,-0.0001850530218725596,-0.015691403984710715,0.019235663539569074,-0.0004378294292177186,-0.012448398951472966
trigger=unknown,-0.024763698331686707,-0.0033009022617736003,-0.024344595626430557,-0.001257997398892845,-0.034626318950892444,-0.024775896060628202
