,generate_project_update,generate_stand_up,get_cursor_agent,gmail_create_draft,gmail_fetch_drafts,launch_cursor_agent
trigger=\N,-0.025701721510008532,-0.021222404831392993,-0.002466443892622278,-0.008724552691291708,-0.003974770172736722,-0.0033200364534726376
trigger=assignment,-0.0071811377718837,-0.008501258682265058,0.028990144135585774,-0.00106467168210263,0.0023399135494603955,0.04967609598549805
trigger=automation,-0.016218328237512063,-0.018967868506986462,-0.0016745772795443382,0.0028294074740915394,-0.0059850448755556,-0.002254118826247909
trigger=dm,-0.04896896949969216,-0.04083439539286927,-0.0040828513656717925,-0.005144450593955979,-0.010691747047294227,-0.005495853933141354
trigger=introduction,-0.05171579765133808,-0.044102771270127315,-0.0031688266593385608,-0.02749121702054361,-0.014166418043953294,-0.004265501459493536
trigger=manual,0.015495812083093455,0.005950925743193481,-0.00018624957555159844,0.04586664863138158,0.05875980561120054,-0.0002507072559504604
trigger=mention,0.002737260147513783,-0.002587093214730486,-0.0004095837356631186,-0.0002333791711741535,-0.00010444687503517482,-0.0005513334145644167
trigger=scheduled,0.15408687859880574,0.13528375256585792,-0.0030968528857964603,0.040312469268851216,0.0312985675615568,-0.0041686188372826085
trigger=task_comment_mention,-0.011588018773782665,-0.010389934412885047,0.02200433320004067,0.0023300149856551626,-0.00028762357394806966,0.021432053620162383
trigger=unknown,-0.019820645119122002,-0.01723997937606731,-0.0011723314302982445,-0.010377966017043237,-0.005240973683027956,-0.001578054581247169
