,list_available_calendars,load_assets,load_custom_fields,load_web_pages,manage_personal_priorities,move_task_to_list
trigger=\N,-0.002446605715840033,-0.06390411810070375,-0.04244225534617935,-0.012274369602918387,-0.009648711609825016,0.0003111411243710656
trigger=assignment,-0.0006349607254042226,0.14027591682092083,0.07718901096896426,0.022280527724649613,-0.004286527495107314,0.0038754189267345414
trigger=automation,-0.0005606212827728042,0.2936526318418811,0.2988312385972587,-0.009361865062411802,-0.01135540872646359,0.049731575676291565
trigger=dm,0.00476513061434633,0.0016988168659749186,-0.0681795645569562,0.02232209134844154,-0.03247145836807016,0.0067744140744027065
trigger=introduction,-0.003143339056053282,-0.24320941925301842,-0.1223635296734968,-0.06541379762036381,-0.03418808599362752,-0.026740631064155505
trigger=manual,-0.0001847515272819978,0.010849187718147532,0.01563240170723017,0.007062717751352158,-0.002078205532576693,-0.000485065524167598
trigger=mention,-0.00040628935926172074,0.02566192001841088,0.005859121867101077,0.015527561898037452,-0.0035393077682309405,-0.00039434113305394626
trigger=scheduled,0.001237684082804795,0.05937702778992291,0.02990760446482258,0.05212657823637931,0.09787206745643959,-0.008779844245787866
trigger=task_comment_mention,-0.0008325640143256328,0.17523873000637913,0.060379881431339856,0.0255335401816666,-0.008040575399361545,0.0005438369628985009
trigger=unknown,-0.0011629020983636021,-0.09791297258793384,-0.04814853962154998,-0.02679977153631197,-0.013081080358136741,-0.0101124468249828
