,post_chat_message,post_reply,post_slack_message,post_task_comment,read_memory,reflect
trigger=\N,-0.024916375086937205,0.15368353428818463,-0.009532785118583718,-0.02728897043884093,-0.08127921742546017,0.019774445008619558
trigger=assignment,-0.043749385184585,-0.09631976438243815,-0.0043972652995066235,0.14699366210248155,0.01704137126458108,-0.0009504847392364216
trigger=automation,-0.0703283717206116,-0.326418251035404,0.0037575876472419486,0.23757090621170746,0.0060003533022353365,0.0013976990458941976
trigger=dm,-0.0646192655380748,0.2964271934392233,-0.015190061265663902,-0.11576766132733354,-0.1367427273491901,-0.0060625397668905585
trigger=introduction,-0.2597202836878988,0.4514792369912942,-0.022207893308695804,-0.12116393439642818,-0.2016800620485133,-0.004705323783801671
trigger=manual,0.010211724626840684,-0.020200025023674018,0.017964232344782803,0.014524215391858785,0.007856698284341197,-0.0002765580613200409
trigger=mention,0.035208722668459085,-0.008399760955881573,-0.00308738689030003,-0.005844618785603669,-0.00439173684949462,-0.0006081822390614224
trigger=scheduled,0.47406347555598244,-0.5373925406400788,0.05116297135003152,0.07009159323267901,0.4643771682267331,-0.004598451447487805
trigger=task_comment_mention,-0.05635596661466003,-0.032274021861809846,-0.0032266064439778774,0.13006656861321553,-0.018650151000392585,-0.0012462808460320903
trigger=unknown,-0.10347437491465489,-0.3221504574261696,-0.00883687601298317,-0.04893454226764335,-0.07652300823025729,-0.001740770182308459
