,search_clickup_support_resources,search_google_calendar,search_public_web,search_users_and_teams,search_workspace,todo_write
trigger=\N,0.0012777613662535157,-0.02434311730005763,-0.018762737877452487,-0.020365265487410494,-0.0479915303583461,-0.1435972622669742
trigger=assignment,-0.0013055104120292236,-0.006474086857327731,0.02121384952772195,0.001360655058352759,0.017870792898996048,0.1120924606960987
trigger=automation,-0.004387074374668168,-0.017623256288972926,-0.02408280393507824,0.02491798347187385,-0.015611654985635897,0.2151864328273901
trigger=dm,0.012588518945572051,-0.03191635373548733,0.0015115891469791116,-0.020523717647839036,-0.023604798745808023,-0.16576782399693438
trigger=introduction,-0.016255028653927767,-0.056458781443631624,-0.07122978671616367,-0.05816188129718743,-0.17412877442988448,-0.43246908620694396
trigger=manual,-0.0006392920418689659,0.007305507269832599,0.00795691093997192,0.023528378569704585,0.02119765134702255,0.037411098029309836
trigger=mention,0.001543103405513292,-0.0033279593328672565,0.0057035566655301295,0.0045919983111170825,0.009222695496716875,0.008115735883786068
trigger=scheduled,0.0071271747717453725,0.1409631452885294,0.10445345881190889,0.08949479398655727,0.2774627802528617,0.646802368614241
trigger=task_comment_mention,-0.0005147881251681419,-0.010528395640180795,0.010470619625000873,0.007358529927310811,0.0060286276304904905,0.046213311945821005
trigger=unknown,-0.006787086700845836,-0.02159671358549656,-0.02862294062148586,-0.023064919507371193,-0.07086672467751505,-0.1727022403169034
