,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog
trigger=\N,-0.0036422021127450635,0.003005371797078803,-0.016434283476989643,-0.008623660364526253,-0.024128639108864366,-0.06617242836807254
trigger=assignment,0.018932874320273324,0.0075118256109669174,0.0031145835270438653,-0.0027393867323359847,0.08025901113976881,0.002656328171849862
trigger=automation,0.010851201356646079,0.0341655716432102,0.0013989489650358038,0.0005853454555681996,0.2091420230744295,-0.03112506324693992
trigger=dm,-0.0016537717692395148,-0.007073867161730244,0.02097459429478125,0.013254292246922091,-0.017464009198548076,0.13144094141131324
trigger=introduction,-0.005513728872486985,-0.019123610096721037,-0.06546367160221742,-0.014656530720596755,-0.10598343394486161,-0.13226159538961962
trigger=manual,-0.000324072526712996,-0.0011691930890940455,-0.00043420688914395483,-0.0008822728190046405,-0.002620719997195726,0.011625375320309944
trigger=mention,0.005341806379248201,-0.0018412075282998454,0.01208725497230357,0.008066365767728283,0.010208267633522903,0.012514033313149367
trigger=scheduled,-0.001334702955460735,-0.004613127808412045,0.0557960667320453,0.00911273040768784,-0.007621293109635212,0.07459090716683707
trigger=task_comment_mention,0.0009486225752659036,0.029283505853064704,0.02610124948522119,-0.0012561950944712838,0.06265610356110347,0.021101726049669537
trigger=unknown,-0.0020398457695091233,-0.0073593821750894215,-0.02555249340195577,-0.005553387988958982,-0.04206429254314386,-0.055180568985023576
