,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
trigger=\N,1.0,-0.0421645570232375,-0.10977244057589294,-0.26771361912630237,-0.20818660401433578,-0.011803568478913486,-0.02678913529497617,-0.20306420010999462,-0.05514048292969162,-0.0769065649832897
trigger=assignment,-0.0421645570232375,1.0,-0.028617495201448784,-0.06979250138301062,-0.054273906183830774,-0.0030771709413870934,-0.006983883629925313,-0.052938503888106746,-0.014375033454367478,-0.020049415343440083
trigger=automation,-0.10977244057589294,-0.028617495201448784,1.0,-0.18169983871731982,-0.14129827423783223,-0.008011196800173351,-0.018182046839302572,-0.1378216488561986,-0.03742438239719567,-0.052197234116707195
trigger=dm,-0.26771361912630237,-0.06979250138301062,-0.18169983871731982,1.0,-0.34459899200618055,-0.019537749891099822,-0.04434247372962749,-0.3361201793061959,-0.09127078529508968,-0.12729889561037486
trigger=introduction,-0.20818660401433578,-0.054273906183830774,-0.14129827423783223,-0.34459899200618055,1.0,-0.015193466111974483,-0.03448277696701959,-0.26138273763888337,-0.07097642211224803,-0.09899356206975757
trigger=manual,-0.011803568478913486,-0.0030771709413870934,-0.008011196800173351,-0.019537749891099822,-0.015193466111974483,1.0,-0.0019550720912153334,-0.014819632884323404,-0.004024154497147687,-0.005612643975793578
trigger=mention,-0.02678913529497617,-0.006983883629925313,-0.018182046839302572,-0.04434247372962749,-0.03448277696701959,-0.0019550720912153334,1.0,-0.03363433279259925,-0.009133137954387171,-0.012738340875360986
trigger=scheduled,-0.20306420010999462,-0.052938503888106746,-0.1378216488561986,-0.3361201793061959,-0.26138273763888337,-0.014819632884323404,-0.03363433279259925,1.0,-0.06923005661738095,-0.09655783854541805
trigger=task_comment_mention,-0.05514048292969162,-0.014375033454367478,-0.03742438239719567,-0.09127078529508968,-0.07097642211224803,-0.004024154497147687,-0.009133137954387171,-0.06923005661738095,1.0,-0.026219519960473062
trigger=unknown,-0.0769065649832897,-0.020049415343440083,-0.052197234116707195,-0.12729889561037486,-0.09899356206975757,-0.005612643975793578,-0.012738340875360986,-0.09655783854541805,-0.026219519960473062,1.0
