,use_case_context=entertainment,use_case_context=general_productivity,use_case_context=personal_productivity,use_case_context=personal_use_case,use_case_context=specific_use_case,use_case_context=test_or_placeholder,use_case_context=unknown
trigger=\N,0.009078398846239774,-0.004338475297229836,0.01761990170003314,0.02087831796824415,-0.018951207909941013,0.0017204605869590899,0.0006931098072014773
trigger=assignment,-0.006920503249604195,-0.00839859305228011,-0.011861522948346666,-0.02866934549084758,0.03381549939403499,0.005536306828407701,-0.001348913896754923
trigger=automation,-0.013915931504396701,0.04711922801178329,-0.038272612538967424,-0.08532556031067236,0.03070577937171654,-0.0011893201514732894,-0.0008539673315091612
trigger=dm,0.0005719080945708189,-0.07124866398861292,-0.005056801381320319,0.04747263838665032,0.039792760921585305,-0.004015144258206613,-0.004182570101528119
trigger=introduction,0.012070993687020979,-0.05311729497008525,-0.014313929038334196,0.07060885442820772,0.00818126214122199,-0.0023593881321684897,0.0016566221468723916
trigger=manual,-0.002013626187840959,0.006758368477230809,-0.0026212408101982127,-0.00857531098253313,0.000684992092082801,-0.0006617778876465434,-0.00039248711396871577
trigger=mention,0.0035754769316683863,0.0025026309010427188,-0.007300598794397878,-0.014318935386425197,0.009868011296140868,0.0046092180985311485,-0.0008631232466589061
trigger=scheduled,-0.01397054551307925,0.1188144043268605,0.043581844975277506,-0.06271948869022237,-0.09018987464638514,-0.005992210603232715,-0.001457679496963836
trigger=task_comment_mention,-0.005112902507858294,-0.02704309420673891,-0.02105110335950882,-0.0437811559030283,0.06626491253877198,0.0060224379544934386,-0.0017687033605849676
trigger=unknown,0.011132117148041064,0.002037358371471809,-0.006078800076745552,-0.005123281868456199,0.001537048447099126,0.017699745378430592,0.01227190804158088
