,autonomy_level=autonomous,autonomy_level=consultative,autonomy_level=human_in_the_loop,autonomy_level=unknown,data_flow_direction=bidirectional,data_flow_direction=inbound,data_flow_direction=outbound,data_flow_direction=processing,data_flow_direction=unknown,domain_industry_vertical=creative_design,domain_industry_vertical=education_academic,domain_industry_vertical=finance_accounting,domain_industry_vertical=general_cross_functional,domain_industry_vertical=hr_people,domain_industry_vertical=it_engineering,domain_industry_vertical=legal_compliance,domain_industry_vertical=marketing_content,domain_industry_vertical=personal_productivity,domain_industry_vertical=project_management_ops,domain_industry_vertical=sales_crm,domain_industry_vertical=unknown,domain_knowledge_depth=deep,domain_knowledge_depth=light,domain_knowledge_depth=moderate,domain_knowledge_depth=none,domain_knowledge_depth=unknown,execution_dataset=collection_scoped,execution_dataset=collection_unbounded,execution_dataset=single_asset_from_user,execution_dataset=single_event_data,execution_dataset=single_user_prompt,execution_dataset=unknown,external_integration_scope=calendar_integration,external_integration_scope=clickup_only,external_integration_scope=email_integration,external_integration_scope=multiple_external_systems,external_integration_scope=unknown,external_integration_scope=web_research_integration,functional_archetype=analyzer,functional_archetype=communicator,functional_archetype=creator,functional_archetype=enforcer,functional_archetype=monitor,functional_archetype=organizer,functional_archetype=unknown,implied_end_date=false,implied_end_date=true,implied_end_date=unknown,operational_scope=branching_workflow,operational_scope=multi_workflow_orchestration,operational_scope=sequential_workflow,operational_scope=single_action,operational_scope=unknown,output_modality=email_external_message,output_modality=messages,output_modality=structured_document,output_modality=task_artifact,output_modality=unknown,output_modality=visual_image,state_persistence=state_accumulating,state_persistence=state_referencing,state_persistence=stateless,state_persistence=unknown,team_orientation=individual,team_orientation=larger_team,team_orientation=small_team,team_orientation=unknown,tone_and_persona=casual_friendly,tone_and_persona=empathetic_supportive,tone_and_persona=professional_formal,tone_and_persona=technical_precise,tone_and_persona=unknown,use_case_context=entertainment,use_case_context=general_productivity,use_case_context=personal_productivity,use_case_context=personal_use_case,use_case_context=specific_use_case,use_case_context=test_or_placeholder,use_case_context=unknown
autonomy_level=autonomous,1.0,-0.7143254264679714,-0.39088786580527085,-0.04907284752193446,-0.0382262417952542,0.006837117755902311,-0.15856938880550372,0.17844420768323457,-0.03551037914721186,-0.10894064913444594,-0.03627729334935718,0.00966431882743875,-0.017007454378704292,-0.0072799060636804785,-0.01991732696348717,-0.005270221707442742,-0.05933458249163026,0.004578475184551616,0.1545959889586123,0.019322617781100282,-0.014838772386137716,-0.046589679138612713,0.12656743055274217,-0.16121064970329158,0.1150936274713516,-0.011433389182513543,0.13096019947994866,0.13171075047295402,-0.012424256764828182,0.005414189019171901,-0.21832821992134183,-0.03370781513314519,-0.008398623396621988,0.03689864084014525,0.006409661956415382,-0.047312063683166074,0.015555027141169386,-0.025820620025119662,0.06352094946686619,0.030116759937861896,-0.17340251536133489,0.032712333380188585,0.27997939836608066,-0.09175073210825323,-0.02820088092156617,0.010599490493325654,-0.011322352282036971,0.002443297802096199,-0.07682471419149449,-0.0817493646424648,0.13094870048319923,0.04815086991550621,-0.036701729060987384,0.010432003464975656,0.11816218083315302,-0.017447689574940233,-0.042386633497548454,-0.027192105582395987,-0.10201620124492419,-0.008525339387893675,-0.06581304807108984,0.01727935434358435,0.04621700368001614,-0.06105954170164706,0.05959701613026634,0.0389197322325978,-0.009044683964061549,-0.09991151269826327,-0.035726194271769623,0.09096200982959969,0.031844395092953434,0.03556982456355974,0.0086520916268898,0.11225868224715611,-0.015351697737633554,-0.044331341735063576,-0.07446004858003484,0.004292814399159668,-0.011433389182513434
autonomy_level=consultative,-0.7143254264679714,1.0,-0.35648542554279006,-0.04475389609604185,-0.01223429679671758,-0.011212134688778604,0.29665692684647776,-0.28289191751239046,-0.032295819088463726,0.1729758657988389,0.08888445570538901,-0.019250521864217624,0.03097008198204552,-0.010771994151789113,0.011379126446515852,-0.009257465361761176,0.05681357695221022,-0.005085165143973044,-0.2094805109268882,-0.05602240447880251,-0.013532796874385251,-0.004840761836378297,-0.1610198736895754,0.1991568145090122,-0.07600190001980427,-0.010427124924248753,-0.20060653352087168,-0.11388163352559738,0.07541335155644947,-0.1092872173452337,0.345479784927092,-0.015347093351148172,0.0005040641912125793,-0.02339131800197557,-0.03717585296958885,0.02651957353900431,-0.044267380458326046,0.04928940361523949,-0.018006952724555554,-0.030358520492570696,0.28955055147136743,-0.09578978971869172,-0.22318955577365707,-0.07845688622179162,-0.025662460436881383,0.012173845559398433,-0.007746755793348012,-0.022367743607755224,0.07052256306084317,-0.03986638124023847,-0.04043380954454983,-0.04759231947790654,-0.032569563192236674,-0.031158134000780092,-0.0940265262057501,0.03707306199331455,-0.06360477225195282,0.010430534829974648,0.17861695520690557,-0.035217006552830284,0.0708933738804266,-0.0036889867440602383,-0.015252106817946356,0.10679191489406809,-0.07039682856710468,-0.06946535992872073,-0.03858262430239039,0.13760206582456952,0.06189392295657732,-0.14005156545762504,-0.03318563188912844,-0.04236592936605393,0.006413520765985752,-0.09558857591006806,0.03252340602994923,0.09623351371472544,0.0139298622866445,-0.014279909806867231,-0.010427124924248575
autonomy_level=human_in_the_loop,-0.39088786580527085,-0.35648542554279006,1.0,-0.024489895337971645,0.0691577802755399,0.00490305030524462,-0.17822983444259335,0.14145118773487472,-0.017572820406817204,-0.08171842449903223,-0.06805451024394865,0.011900214691901884,-0.022058251483635483,0.023753468683632428,0.010406235985471806,0.01801553869834859,0.0038979631824037292,0.0005712595817191472,0.07388995397191277,0.04785911156077273,-0.007405316810239324,0.06739806107101358,0.043704667749704516,-0.04545956519166868,-0.054721511837360765,-0.005705854022693388,0.0944161522487882,-0.024251752514099275,-0.08283190102336171,0.14197104640461372,-0.16247317500839117,-0.014534487953860744,0.011661153668516454,-0.009729761644746992,0.04188092564311551,0.02957946930341336,-0.011441823752128523,-0.028225386131123763,-0.060570169150559204,2.4734257242632185e-05,-0.15024425698377283,0.0831541165711506,-0.07800243006829363,0.23029805269457507,-0.014345880638976493,-0.01595399094029351,0.01894098340814258,-0.012770503255753662,0.020026493806094944,0.16381225633349314,-0.12003790015914408,-0.0280181618763707,-0.017959462000066543,0.02783170093589809,-0.02694474381047812,-0.02648342509765762,0.14434964698618483,-0.021973249400407457,-0.09771794052155378,0.05989651641339913,-0.004371450670585388,-0.017855845418982382,-0.04414815638817835,-0.030673791731938536,0.013299682206158058,0.04060061239698536,-0.021732392755708877,-0.04345978280225554,-0.0330084512168045,0.06466594088133348,0.0019289122318173883,-0.01931600019667811,-0.023511620012657403,-0.019557137699110445,-0.0230323468292277,-0.06864397092683942,0.08012781820715291,-0.009620718459201639,-0.005705854022693459
autonomy_level=unknown,-0.04907284752193446,-0.04475389609604185,-0.024489895337971645,1.0,-0.011004477306714708,0.004966186312521382,-0.007613627806291054,-0.0466334761885334,0.721842500911287,-0.004921699439926459,-0.005167238244378504,0.003872669940504783,0.026351344845809577,0.0017894949808764339,0.008638626200493509,0.008718154220762579,0.004338655550787821,3.4737492635993295e-05,-0.029884536407979185,0.001862530973534295,0.30238254218903826,0.010479007581129986,-0.004890479074203903,-0.009530851004800266,0.0044967526696983225,0.2329880934136361,-0.033371690087965984,-0.013496372940077396,-0.0014205735432796958,-0.03153927282390533,-0.008101108087882588,0.5354950495051872,-0.007016564832841165,-0.059416444927286864,-0.00886510337696149,-0.007459153624254347,0.3282281748419717,-0.015259829226554228,-0.006133179092055732,-0.0021444142665548987,0.001285326432422842,-0.002725538744134642,-0.018866698783390715,-0.02229936992932766,0.5759946020299822,-0.09613260756263937,0.04351061064810129,0.2612062139839151,-0.06767126676669971,-0.008779517384006065,-0.01563443841304144,0.17580225703323077,0.7375438028226128,-0.004253559698022397,-0.049398416891377965,0.005930521508450501,-0.022178852810597966,0.2988199204258206,-0.009996428724294347,-0.01254396308957859,-0.006695037686323535,-0.003140094179992149,0.015073041638563827,-0.1909149362395514,-0.001578922673773706,-0.006699028174889367,0.5676252905797851,-0.029019666360233273,-0.005789976516270211,-0.010752864586053446,-0.005390496060690867,0.18436692298765195,0.022808958782326725,-0.031977252100757775,0.00426482509603075,0.006107719832384772,0.009635083417788562,0.15203472306595237,0.23298809341363272
data_flow_direction=bidirectional,-0.0382262417952542,-0.01223429679671758,0.0691577802755399,-0.011004477306714708,1.0,-0.016128637576299006,-0.23684534923653058,-0.2769507536310237,-0.011365373896745794,-0.10398019476458656,-0.03278022495791757,0.014200594007609181,0.043636741894800685,0.01996172859171234,-0.03547030338791116,0.013330337012458228,-0.026857057210483808,0.11609931719822367,0.007262878369900812,0.08447568453619393,-0.0046366324167164364,0.02016188300903025,0.06601807194021335,-0.06122546078723194,-0.020679250778552313,-0.0035725612292632613,0.09955646178806338,0.06080979252949108,-0.0665705808921445,-0.062253007894138825,-0.039201202403579875,0.015793115070454965,0.2600274563722751,-0.5201276932898162,0.39152620638009367,0.35087457672867733,0.042291919121701486,0.13222617355296665,-0.024950945101591137,0.14971544967520709,-0.15411586209901382,-0.03739637025021027,-0.04883725980231733,0.16756539540406773,-0.008982272726678129,0.009921209351021299,-0.008256829780284742,-0.0089225328164384,-0.0415710691342645,0.1913694495240749,-0.07336602659885709,-0.018439333483595628,-0.011600144367417213,0.30437370479612796,-0.051674939971218636,-0.018791031964202294,0.06271546047392394,0.05830109543775574,-0.10419629296506967,0.05654546310229203,0.016206876944431143,-0.01323827913485929,-0.05508901222665423,-0.01940055070062726,0.004617818913471591,0.028167186555209268,-0.012677038009694094,-0.03553907928946036,-0.012337920464735223,0.04633392576620243,-0.011151183104179493,0.00038701294424350305,-0.013666098280609109,-0.035278866266113984,0.019180653160049077,-0.015417142321876492,0.039220546197207586,-0.0028833039441096197,-0.0035725612292631646
data_flow_direction=inbound,0.006837117755902311,-0.011212134688778604,0.00490305030524462,0.004966186312521382,-0.016128637576299006,1.0,-0.04995128178649056,-0.05840961277136462,-0.002396986033102186,-0.022941292234484396,-0.016557496122287872,-0.0015647769697191237,-0.011915734357307214,-0.0024250901912005185,-0.0046550407047305595,-0.005796954025619911,-0.018929955814560435,-0.008258553449388467,0.048253331547766135,0.020779278360601554,-0.0009778774763125457,-0.01216453776630184,0.0503565887161232,-0.04056593965504341,-0.0011678833998859683,-0.0007534621779049862,0.011285219430280977,-0.0070654892506081856,0.04448413168947217,-0.0122401048851362,-0.02660294815407257,0.002581619335975479,0.010415430049995834,-0.009640725946090369,0.023628469263730544,-0.006204760018774265,0.01701521785058633,-0.007050094337434669,-0.020395495117030323,-0.011976529273545714,-0.046898671653573865,-0.008600364278195046,-0.02235601772907256,0.09078971075662273,-0.0018943839830493502,0.00020439275627287672,-0.0005547573232711368,0.00165804154216663,-0.013677470086412591,-0.015888409880293195,0.024276855834334782,0.002939404909252294,0.0011618655330618319,-0.007216605800743539,-0.0468903057752081,-0.023571511330334808,0.1051271139063155,0.002113081887942289,-0.022825071364847592,-0.00921440432123924,-0.006592579977900827,-0.0006262622556804041,0.011887413926075174,0.008903130965244543,-0.0071759580640921115,-0.005293743112745927,-0.00207244825777143,-0.00460694512419796,-0.017225413316522283,0.011200541497625982,0.0030176009324807073,0.00932201565631733,-0.0038655821273614957,0.010131791885453463,-0.008629625338244021,-0.017217427470132305,0.006170505982046271,-0.0012704228770050146,-0.0007534621779049862
data_flow_direction=outbound,-0.15856938880550372,0.29665692684647776,-0.17822983444259335,-0.007613627806291054,-0.23684534923653058,-0.04995128178649056,1.0,-0.8577317873354129,-0.03519919096944826,0.3925792125139411,0.15072190790789067,-0.05190432520348111,0.03898987755907268,-0.031541827091448794,0.030666589533467466,-0.025153305092179116,0.20319223093223387,-0.08123169212225961,-0.46442653058673466,-0.07269773737780295,-0.014359906798831057,-0.04577936264193422,-0.36233377886209,0.4513621394613862,-0.14505160356884533,-0.01106441953439736,-0.3220279988509381,-0.1474537428164697,0.16572713176927095,-0.12040301986802952,0.44144340895980017,-0.008047179984819448,-0.07566775647775001,-0.03698947972735861,-0.06988365740011492,-0.04071572011136526,-0.007049042438156088,0.14748909086233655,-0.014541819806398935,0.010161483145454125,0.648956675625667,-0.13759042428424859,-0.2627077594010483,-0.4416588138723029,-0.02781859496382533,0.01218798156591999,-0.014361789803462068,0.009238388420667144,-0.0645324142803987,-0.12246580552351609,0.14299870006073492,0.048130226524563426,-0.02955848774607331,-0.04048163343466436,-0.14127058454192556,0.021640304899565626,-0.20836469915441494,0.03091917339522651,0.42447168025947346,-0.10065050241922097,0.0902143568083242,0.00943983276931294,0.024694855117821345,0.07465078309207965,-0.04671147316109072,-0.06911996074483585,0.013160847900886476,0.1754396352260074,0.10178970276193161,-0.22757603750291966,0.001018681346479836,0.0009324875928990603,0.06553423789499206,-0.2189766306476387,0.05407983329790568,0.16355721406452256,0.07129745625638229,-0.002326569830716845,-0.006935731058795712
data_flow_direction=processing,0.17844420768323457,-0.28289191751239046,0.14145118773487472,-0.0466334761885334,-0.2769507536310237,-0.05840961277136462,-0.8577317873354129,1.0,-0.04115952665997145,-0.33129978134679,-0.12977040769670778,0.044016256618404886,-0.06186036387214953,0.02152650234878792,-0.01195257692570652,0.018007236335206036,-0.18469057184793589,0.02176591251413973,0.45149651348510256,0.02611269166584234,-0.016791492941817764,0.03573308988980953,0.3191901840188997,-0.4091709930886246,0.15308319847203097,-0.012937975511948726,0.267856720413378,0.11633337700154524,-0.13379768001397763,0.15427992842229288,-0.4111644877015711,-0.04654873134649316,-0.05966986430084747,0.31091964289634577,-0.13431632821387157,-0.1387512409377946,-0.04711495275223457,-0.21176014289665757,0.030006032605931366,-0.08517391215438518,-0.5552281109253425,0.15642582816097425,0.2883878694580952,0.34150031476255893,-0.032529162447237796,-0.010559939095707325,0.01591407344941037,-0.02462330645844775,0.09096911389311538,0.025543233787892243,-0.10439739921116882,-0.03952412792772202,-0.041590269464717625,-0.1152712050703694,0.17486257060566404,-0.008527309862050431,0.1630205322572833,-0.08481180359678953,-0.36212592870124966,0.07235992881794807,-0.09639593469010453,-0.002262174173554838,0.0015652161316601718,-0.051486765011558876,0.045032903077458164,0.05486079817863145,-0.04633479299097449,-0.15279994688039072,-0.0917552333855968,0.2002548071313945,0.004647427739588908,-0.012944981851469358,-0.05919045438396516,0.2353160807778371,-0.062206871213694885,-0.1520617759234435,-0.09167460198004097,-0.009713471354428271,-0.011578101731627684
data_flow_direction=unknown,-0.03551037914721186,-0.032295819088463726,-0.017572820406817204,0.721842500911287,-0.011365373896745794,-0.002396986033102186,-0.03519919096944826,-0.04115952665997145,1.0,-0.0063739485078467715,-0.004793158023355749,0.001913434330709495,0.02801657316579678,-0.004066963396709233,0.005067642814861897,0.00818996944526192,-0.0010645550154501375,-0.002316564131201106,-0.023525894443854424,-0.0011845383833422498,0.40796127420357803,0.006792649712644566,-0.01140502077733124,-0.007972137703881187,0.012248411983812272,0.314337325082302,-0.02582017910177875,-0.012845338600691881,-0.011308538065757335,-0.023154284042080878,-0.021921710228528492,0.5616220262331909,-0.004529383907020594,-0.07327918339344577,-0.006570850385560357,-0.0069594834001183645,0.3701394770762122,-0.013318408542982316,-0.005441551093927228,-0.004833958394509471,-0.01683015922815693,-0.003131302363270958,-0.01354277247110909,-0.021179708707584143,0.7903191578457601,-0.0804836484964318,0.03148722831116997,0.2423426383525172,-0.05185159353573889,-0.0123001325906052,-0.02473104163656522,0.013382162043425072,0.9337542903471084,-0.003328901590309673,-0.03984802030178737,-0.005617757429210412,-0.019202594032587384,0.29320543253006615,-0.01356124353599577,-0.010807572681569044,-0.003738766334494549,-0.0023274504736085187,0.011645571188435018,-0.16261631282696407,-0.005056685419332848,-0.005104610227209237,0.48848838529966415,-0.021442540824436505,-0.005888530288211037,-0.005987323706346276,-0.003356710002661934,0.13089502644395132,0.023226374692219998,-0.024297325349027066,-0.000997595896916061,0.004521671170655029,0.004339204086580338,0.16624111736920488,0.24804926874640784
domain_industry_vertical=creative_design,-0.10894064913444594,0.1729758657988389,-0.08171842449903223,-0.004921699439926459,-0.10398019476458656,-0.022941292234484396,0.3925792125139411,-0.33129978134679,-0.0063739485078467715,1.0,-0.14298425135453796,-0.0757679654216227,-0.11232288890946246,-0.05613831279674624,-0.08190901013764891,-0.06195010781865752,-0.16042893897258748,-0.09222573732272364,-0.29624673863899265,-0.07963011964982317,-0.006843423249150277,-0.09952856241577612,-0.17795127382890605,0.27413625689905863,-0.09142637531799526,-0.005272910676983592,-0.20957214234851618,-0.12374831441006334,0.04040887405874235,0.004427185099011989,0.27244429130701575,-0.010594921485575042,-0.059452731671868236,0.13454384368635872,-0.06219726717285205,-0.060576893831136285,-0.028220814766174163,-0.07021154574666294,-0.12331769342671428,-0.08539897200036059,0.4517616592343635,-0.06393678096227441,-0.15431542363722978,-0.2217376072998179,-0.010162805512206928,0.010313803499584159,-0.013334357230461105,0.013472917534432301,0.01483929105083707,-0.07728970302878527,0.028514870145648956,0.03593315797289116,-0.005731299682260805,-0.04864978233615854,-0.2709625012131969,-0.07813148530836789,-0.12394306121269795,-0.019282567466242496,0.6463332829841244,-0.049869456681799096,0.051380167770912484,0.011570318200459931,0.0069949480391374675,0.06713500230801532,-0.04649117844568081,-0.05373823685454749,0.0012660943809627415,0.24286910137080453,-0.06126460600452915,-0.18012828544962148,-0.022036861789430318,0.008495670926440229,0.07831757262732125,0.01685825814273883,0.09225000264151612,-0.04855062941000979,-0.032585269088662557,-0.006584852724541017,-0.0033295254616881567
