,template_is_custom,template_is_templated,template=custom,template=unknown
autonomy_level=autonomous,-0.005238755519681082,,-0.005238755519681082,0.005238755519681101
autonomy_level=consultative,-0.0015972180983104959,,-0.0015972180983104959,0.0015972180983104274
autonomy_level=human_in_the_loop,0.014130546553182908,,0.014130546553182908,-0.014130546553182882
autonomy_level=unknown,-0.03331757111663964,,-0.03331757111663964,0.033317571116639765
data_flow_direction=bidirectional,0.014152947688147646,,0.014152947688147646,-0.014152947688147692
data_flow_direction=inbound,-0.006865161164363504,,-0.006865161164363504,0.006865161164363536
data_flow_direction=outbound,-0.02787067251172713,,-0.02787067251172713,0.027870672511726844
data_flow_direction=processing,0.023277306119578796,,0.023277306119578796,-0.02327730611957852
data_flow_direction=unknown,-0.02694919328797442,,-0.02694919328797442,0.026949193287974432
domain_industry_vertical=creative_design,-0.03365708120096719,,-0.03365708120096719,0.033657081200967276
domain_industry_vertical=education_academic,0.009777514520430764,,0.009777514520430764,-0.009777514520430707
domain_industry_vertical=finance_accounting,0.004991124112028474,,0.004991124112028474,-0.004991124112028528
domain_industry_vertical=general_cross_functional,-0.009528074619677439,,-0.009528074619677439,0.009528074619677475
domain_industry_vertical=hr_people,-0.0036746840768218337,,-0.0036746840768218337,0.003674684076821854
domain_industry_vertical=it_engineering,-0.0067836234280695545,,-0.0067836234280695545,0.0067836234280696205
domain_industry_vertical=legal_compliance,-0.0062711773631882696,,-0.0062711773631882696,0.006271177363188218
domain_industry_vertical=marketing_content,0.00427171260787972,,0.00427171260787972,-0.004271712607879645
domain_industry_vertical=personal_productivity,0.015308146473577339,,0.015308146473577339,-0.015308146473577302
domain_industry_vertical=project_management_ops,0.0168253794517017,,0.0168253794517017,-0.01682537945170169
domain_industry_vertical=sales_crm,0.0028599430842772026,,0.0028599430842772026,-0.0028599430842772043
domain_industry_vertical=unknown,-0.01667443620895689,,-0.01667443620895689,0.016674436208956877
domain_knowledge_depth=deep,0.005797537769464948,,0.005797537769464948,-0.0057975377694650145
domain_knowledge_depth=light,0.009332320383674928,,0.009332320383674928,-0.009332320383674878
domain_knowledge_depth=moderate,-0.007558251989966319,,-0.007558251989966319,0.007558251989966391
domain_knowledge_depth=none,-0.007176679556334226,,-0.007176679556334226,0.007176679556334277
domain_knowledge_depth=unknown,-0.008586312201277103,,-0.008586312201277103,0.00858631220127713
execution_dataset=collection_scoped,0.03896373593394289,,0.03896373593394289,-0.03896373593394274
execution_dataset=collection_unbounded,0.013211555098601545,,0.013211555098601545,-0.013211555098601432
execution_dataset=single_asset_from_user,-0.010713650278883253,,-0.010713650278883253,0.01071365027888339
execution_dataset=single_event_data,-0.012857016175614631,,-0.012857016175614631,0.01285701617561467
execution_dataset=single_user_prompt,-0.025674538880075478,,-0.025674538880075478,0.02567453888007557
execution_dataset=unknown,-0.02357029462577573,,-0.02357029462577573,0.023570294625775715
external_integration_scope=calendar_integration,0.007773843876936706,,0.007773843876936706,-0.007773843876936705
external_integration_scope=clickup_only,-0.015438882058076659,,-0.015438882058076659,0.015438882058076751
external_integration_scope=email_integration,0.003396445501269639,,0.003396445501269639,-0.0033964455012696813
external_integration_scope=multiple_external_systems,0.009536431181893608,,0.009536431181893608,-0.00953643118189358
external_integration_scope=unknown,-0.008773597393935345,,-0.008773597393935345,0.00877359739393538
external_integration_scope=web_research_integration,0.011972915153545781,,0.011972915153545781,-0.011972915153545743
functional_archetype=analyzer,0.0016362034463139818,,0.0016362034463139818,-0.0016362034463139866
functional_archetype=communicator,-1.4872612267723604e-05,,-1.4872612267723604e-05,1.4872612267708924e-05
functional_archetype=creator,-0.026862213041075323,,-0.026862213041075323,0.026862213041075316
functional_archetype=enforcer,-0.0062924705714618705,,-0.0062924705714618705,0.006292470571461749
functional_archetype=monitor,0.024366371753543243,,0.024366371753543243,-0.024366371753543406
functional_archetype=organizer,0.013538837250468696,,0.013538837250468696,-0.013538837250468864
functional_archetype=unknown,-0.01873087969375881,,-0.01873087969375881,0.018730879693758844
implied_end_date=false,0.012533220194827877,,0.012533220194827877,-0.012533220194827966
implied_end_date=true,-0.009179092320295625,,-0.009179092320295625,0.009179092320295724
implied_end_date=unknown,-0.01726452964209849,,-0.01726452964209849,0.017264529642098483
operational_scope=branching_workflow,0.018001652040875234,,0.018001652040875234,-0.01800165204087516
operational_scope=multi_workflow_orchestration,0.031296192021086515,,0.031296192021086515,-0.03129619202108659
operational_scope=sequential_workflow,-0.03158088979138677,,-0.03158088979138677,0.031580889791386756
operational_scope=single_action,-0.03529648207868423,,-0.03529648207868423,0.035296482078684195
operational_scope=unknown,-0.027221652889088642,,-0.027221652889088642,0.02722165288908874
output_modality=email_external_message,0.0021775334706148784,,0.0021775334706148784,-0.0021775334706148905
output_modality=messages,0.021609977083552192,,0.021609977083552192,-0.021609977083552282
output_modality=structured_document,-0.0018058957885190318,,-0.0018058957885190318,0.0018058957885190845
output_modality=task_artifact,0.014002245653716374,,0.014002245653716374,-0.014002245653716439
output_modality=unknown,-0.02203881722432846,,-0.02203881722432846,0.02203881722432854
output_modality=visual_image,-0.038921835718799334,,-0.038921835718799334,0.03892183571879912
state_persistence=state_accumulating,0.018756452214937158,,0.018756452214937158,-0.018756452214937117
state_persistence=state_referencing,0.003846121907742825,,0.003846121907742825,-0.003846121907742834
state_persistence=stateless,-0.004350150344198333,,-0.004350150344198333,0.00435015034419834
state_persistence=unknown,-0.017310192963344684,,-0.017310192963344684,0.017310192963344694
team_orientation=individual,0.0010778431864761472,,0.0010778431864761472,-0.0010778431864761125
team_orientation=larger_team,0.006246726147871073,,0.006246726147871073,-0.006246726147871145
team_orientation=small_team,0.006741671247412741,,0.006741671247412741,-0.0067416712474127095
team_orientation=unknown,-0.028254837148197536,,-0.028254837148197536,0.028254837148197577
tone_and_persona=casual_friendly,0.004176119474552444,,0.004176119474552444,-0.004176119474552509
tone_and_persona=empathetic_supportive,0.008754377631601567,,0.008754377631601567,-0.008754377631601572
tone_and_persona=professional_formal,0.0058366157920640045,,0.0058366157920640045,-0.005836615792063973
tone_and_persona=technical_precise,-0.0107283248678581,,-0.0107283248678581,0.010728324867858073
tone_and_persona=unknown,-0.04078982954226451,,-0.04078982954226451,0.040789829542264566
use_case_context=entertainment,-0.011132117148041038,,-0.011132117148041038,0.011132117148041064
use_case_context=general_productivity,-0.002037358371471862,,-0.002037358371471862,0.002037358371471809
use_case_context=personal_productivity,0.006078800076745562,,0.006078800076745562,-0.006078800076745552
use_case_context=personal_use_case,0.005123281868456227,,0.005123281868456227,-0.005123281868456199
use_case_context=specific_use_case,-0.0015370484470992039,,-0.0015370484470992039,0.001537048447099126
use_case_context=test_or_placeholder,-0.01769974537843063,,-0.01769974537843063,0.017699745378430592
use_case_context=unknown,-0.012271908041580893,,-0.012271908041580893,0.01227190804158088
