,add_agent_schedule,add_task_to_list,check_calendar_availability,complete_execution,create_custom_field,create_document,create_document_page,create_google_calendar_event,create_list,create_subtask,create_task,delete_memory,edit_image,find_similar_assets,find_stale_tasks,follow_up_cursor_agent,generate_image,generate_project_summary,generate_project_update,generate_stand_up,get_cursor_agent,gmail_create_draft,gmail_fetch_drafts,launch_cursor_agent,list_available_calendars,load_assets,load_custom_fields,load_web_pages,manage_personal_priorities,move_task_to_list,post_chat_message,post_reply,post_slack_message,post_task_comment,read_memory,reflect,rename_memory,retrieve_activity,retrieve_chat_messages,retrieve_personal_priorities,retrieve_tasks_by_filters,search_clickup_help_center,search_clickup_support_resources,search_google_calendar,search_public_web,search_users_and_teams,search_workspace,todo_write,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog,write_memory
autonomy_level=autonomous,0.01520367149791037,0.007361476529399253,-0.0020047148090681826,0.003661020198034767,-0.016398946775361137,0.008888944046263496,0.022041594325235052,0.002323619751815616,-0.021238006790123443,-0.01753492531503892,-0.0003051749278624475,-0.0001858473560482465,-0.032074442604593474,0.0027089815057997906,0.0474902944214642,0.007433060901384248,-0.030011023157961343,0.03909915644871838,0.051356673757533285,0.06124928080446188,0.006926891045786532,0.014978915277071052,0.00543880775475153,0.009324165390518255,0.002812731121431597,0.05658753426256175,0.06544023385722257,0.03185382075669157,0.03352902076092736,-0.003349837406689198,0.12441543453966732,-0.17887331415090393,0.03079510139994451,0.05298124687500281,0.07190671563877818,0.006700883338042876,0.0017351458662691283,0.13878245550807183,0.02041617865889113,0.05999977663660972,0.16801113108216775,-0.01073068548059479,-0.015314524281126007,0.005460329320207029,0.051865839440198194,0.044884040287275426,0.0392131675621092,0.21315347919986935,0.003842591412977392,0.012603362474100863,0.017521996960754595,-0.0075795346494264585,0.027528225429665164,0.019345804670479205,0.009040295752060267
autonomy_level=consultative,-0.02090911059496456,-0.015520106823748017,0.003400866833167723,-0.0005936803131925665,0.0007736861779376069,-0.006979556004140506,-0.020655133504249388,-0.0035207437343251235,0.004132431333086488,-0.029208086886926287,-0.026725639057276464,0.0010745629110268668,0.05364311045354746,-0.0047366475266802785,-0.059785216304566444,-0.005309624398343841,0.06242421497060546,-0.044356647846572186,-0.047659743510203,-0.04646309972740172,-0.004948054400378584,-0.021617437918159135,-0.010608526589750276,-0.00666048841904004,-0.0037868960278037793,-0.13518625129873318,-0.12986468482685548,-0.02670079330246371,-0.03803620093331151,-0.017967360720352592,-0.11704329314175457,0.24293508772237957,-0.02600486220766645,-0.11440578131464495,-0.10930140525058271,-0.005836647052882135,-0.0008129621294899285,-0.12104587005040807,-0.009503035915103751,-0.05667477187472839,-0.1993586246736368,-0.006297348836596963,0.011872042962772536,-0.012930697757490724,-0.032257824268878355,-0.052030429850190345,-0.08237250660915435,-0.2774319025892618,-0.0035183301494063498,-0.018983149486766354,-0.032888905668961875,-0.0011488092234085375,-0.0885752440136774,-0.03204632352870902,-0.027334205457338556
autonomy_level=human_in_the_loop,0.007509728854968896,0.010872058672072362,-0.0015171070676517824,-0.004019108447702488,0.021308743082693704,-0.0019257164223426056,-0.0015030831116062677,0.0017142580266758336,0.022975538929832895,0.06223015901206659,0.03640707964401853,-0.0010762570380599243,-0.026966057440125844,0.0027692105592191187,0.01624898921106368,-0.002905493312142705,-0.041283999892334104,0.0068141774895973915,-0.005285191194027556,-0.020278740410299624,-0.0027076376575531744,0.00889784230122753,0.006952670585942682,-0.0036447031099151404,0.00128118972443688,0.10380919506071196,0.0854254071912142,-0.006852806226835864,0.005816664699005551,0.028652588649691255,-0.010659288434174291,-0.08089750545307979,-0.006663404688338733,0.08124200471462331,0.04581913991644683,-0.001204388465951459,-0.0012161386292076544,-0.02482926224668357,-0.014324915985368173,-0.004711033220832106,0.04013187215607906,0.02295851396270011,0.004080615080483504,0.010489780082139098,-0.026808766138056536,0.009041720214049595,0.056630187461414544,0.08317484769372072,-0.00041890490711346616,0.008358351974304375,0.018890862788588772,0.01178194788445147,0.0811662225915202,0.016085306333735942,0.023306655318876907
autonomy_level=unknown,-0.0018421976495905646,-0.0015603123938291831,-0.0019269290128557696,-0.0007492550850184169,-0.002074133524253141,-0.005221808658483555,-0.005221806432227021,-0.001194446795459105,0.000531582038818541,-0.0003845314271209078,-0.004376502298954283,-0.0006365062627679911,-0.006024889542058178,-0.0009571100412134742,-0.006423550636180012,-0.0003647614642348652,-0.006461590216361784,-0.004418588677483065,-0.004370351965716687,-0.0035239899691225183,-0.0003399222680909268,-0.0028422838984736684,-0.0015196416433931048,-0.00045756334647820303,-0.00033718819493127147,-0.006853867587932708,-0.010474943952951048,-0.004097841346268494,-0.00362191290112901,-0.0026321520046070075,-0.010920651603743716,-0.0010861159349193415,-0.00201186429914197,-0.0073262712529367216,0.01445764018022961,-0.0005047433970484149,-0.00025977295543464743,-0.0097837898211159,-0.0035053336289792955,-0.006102077176720516,-0.014120562524122287,-0.0014763719842742745,0.0052476854217541075,-0.004829830821164463,-0.0012150788283118547,-0.003401582728877846,-0.0023859256682904006,-0.016909747161646903,-0.0005914615804089168,-0.0011982694915780153,0.007170470071754574,-0.0005643022879492865,-0.006678299483469493,0.002103799556757442,0.004685727375895087
data_flow_direction=bidirectional,0.0308705561926533,-0.0017567238615198765,0.09115080049642692,-0.0034693819519040995,-0.0023170720522586205,0.0028933454234586157,0.0034220862609128143,0.13584260166390535,-0.0011257216262276848,-0.007980236437528316,0.06148154017313083,-0.002033333289475711,-0.0338900069783074,-0.004499132055985552,-0.01580402770715212,-0.0018191935365960295,-0.03772005193778964,-0.0155723368652355,-0.010944134536018585,-0.008575060628341721,-0.0016953117412039126,0.12802186986734387,0.06167369251146792,-0.002282029117967412,0.005069916284050697,0.011409374698308664,0.007643435190376717,0.09091264071517004,0.0007347160071744369,0.007328442729362015,0.028990381263984583,-0.060640619920477215,0.005528975342692306,-0.004242365989530468,0.08963620985663562,-0.001866658444791912,-0.001271358908567086,-0.020730850902270233,-0.0032181128672525918,0.047065682904914696,0.04832754689263078,-0.004199751936930961,0.0016062019400746074,0.2259578639507886,0.10275021271142981,0.0015251470078736897,0.13203824677672565,0.11905226924575522,-0.001586583825202786,0.0010265668667864237,0.017326566155970814,0.08192310507667047,0.00010337535624434715,0.20531422928761922,0.061141126753595565
data_flow_direction=inbound,-0.002677195626902129,-0.00199912925923861,-0.0005309713456426775,-0.0007881001838759693,0.006507075525254302,-0.010542689281850193,-0.00889370597597226,0.007324864365941152,0.012464977196735762,-0.0027193594648717034,0.05344669336154913,-0.0006695059036046789,-0.0075525992628565075,-0.0010067313716680853,-0.006773920928041676,-0.00038367250724404776,-0.010560567629323718,-0.007441347215600308,-0.005807175569858627,-0.005257964855788199,-0.000357545524004581,-0.0019152157262744894,0.013002884284829657,-0.0004812856992295223,-0.00035466970293516407,0.015385432396014245,0.02047296673462255,0.004797266070316963,-0.0029356354475487535,0.00496007755396035,-0.014157634972354808,-0.008321630942925252,-0.002306171320230885,-0.007574765909774431,0.005930316634612602,-0.000530911797567928,-0.000273240873552448,-0.01310351700510274,-0.002318036298604866,-0.008782507236009533,-0.006308042694432296,-0.002070220591957645,0.0021817400140330973,0.0004999072901172223,-0.001851322385333769,0.0015262698980034273,0.049754881863124274,0.005822534687063845,0.01064319941666966,-0.0019774176871202647,-0.007507898129808266,0.0017661032611031692,-0.001722753005735586,0.021244136961094142,0.005918037170397521
data_flow_direction=outbound,-0.02779404561901669,-0.027946164430608097,-0.021975938085306686,-0.0036012424708801237,-0.02431047789497212,-0.024229006428955008,-0.03277670027432772,-0.02901540798793964,-0.036900505726862855,-0.07240730432328439,-0.07080581158383382,-0.0031649561963754376,0.1317672056978782,-0.013458483507230227,-0.08212604836667785,-0.005634142905176717,0.1769295093325632,-0.06589489697658624,-0.06535758179472448,-0.05458293117994954,-0.005250474139567818,-0.019830292847837574,-0.011816531465667829,-0.007067570275375992,-0.002275462680325555,-0.1987110442985817,-0.1736749256817189,0.03552787834428599,-0.04874265210944798,-0.037523485222106606,-0.11684423342114066,0.2730267683423951,0.012849664784938366,-0.14186118781306326,-0.1050442812089462,-0.00289555212466368,-0.0017530418913869422,-0.14693341083899011,0.008384159826405262,-0.09400754994824127,-0.30383472070581447,0.01776332144184055,0.012392257402231294,-0.05813484726326894,0.05860177126768644,-0.07178247241947684,-0.15453210010014531,-0.35261463537191745,-0.0032269622604553655,-0.019710030635441605,-0.06513611667580346,-0.01893501022764515,-0.14222588095397973,-0.06881223124884793,-0.04025373819160269
data_flow_direction=processing,0.011981327076556605,0.028872643727064853,-0.02493857926587548,0.005478162137389131,0.02457603519802813,0.023964155389019363,0.03197250035046204,-0.04180259472947415,0.03561322301126967,0.07627664706828141,0.03246895148747313,0.004288590710860463,-0.11148254849235428,0.015785387800037708,0.09042409882368345,0.006568653497942056,-0.1536916416609464,0.0743506041420199,0.07112579128280566,0.05924510291555416,0.00612134727556126,-0.045794376726298415,-0.021430327317813143,0.008239837184222734,-0.00029470765287794383,0.18913573762577712,0.1658887175422262,-0.08203500123839362,0.048338941355668325,0.0328891080072095,0.10302276245572364,-0.2375217582312041,-0.015113742463504616,0.1437196588229453,0.05619875492558167,0.003912626921942978,0.0024329824529682738,0.15786466277707722,-0.0062323647850040685,0.07005458106713763,0.27700094712661816,-0.01615578644332481,-0.013236964078694869,-0.058327942819971536,-0.11064760225573093,0.07024898690411825,0.0793432656593605,0.2876786401910982,0.0028024757739051128,0.019223533451540247,0.05596198350464143,-0.023488578633475296,0.1412087543661621,-0.04009123842890122,0.007658043795953029
data_flow_direction=unknown,-0.0008204147215332291,-0.001506467094075092,-0.0014282475577188768,-0.0005553508915723116,-0.0014677282528574756,-0.003461816220448113,-0.003773694144954693,-0.002105485158620565,-0.0002673401373535861,-0.0038214022675969054,-0.003733613092498959,-0.00047178100968227386,-0.005220346705133045,-0.0007094138236080991,-0.004468341120051798,-0.00027036266876865066,-0.006426425838622374,-0.0045440196968615145,-0.003008641421076762,-0.0035809363008382222,-0.000251951756383392,-0.002005586648137859,-0.0011263645164423758,-0.00033914779825783135,-0.0002499252503279888,-0.005323510446893866,-0.007128194983064782,-0.004121952865164295,-0.002580935542593557,-0.0018700476194138593,-0.009947289033667919,-0.00166183076960345,-0.0018991783167044325,-0.005900173248775195,0.01040282423372598,-0.0003741178420686804,-0.00019254476251363394,-0.006128542583901121,-0.0015750973684671417,-0.003961955584147487,-0.01065063655027509,0.012211083516866252,-0.0010589501420330044,-0.004641460409016564,0.0020177899542067027,-0.0034200282045918277,-0.0033088413416623693,-0.013395831756754895,-0.000438393709403773,-0.0005521428577742623,0.004516628907661781,-0.0011935070761864496,-0.0064099402027776855,0.0015580871177895575,0.00019123266820083345
domain_industry_vertical=creative_design,-0.029397919761680373,-0.014690131411875014,-0.014184250854863793,-0.00551531582600076,-0.013394345068608935,-0.04332658181621291,-0.037829175017001386,-0.02088351149825806,-0.021680146562681715,-0.046563490305948745,-0.061060727386759536,-0.0046853643499885035,0.2576036987293836,-0.007045349792186204,-0.05067392515108619,-0.002685033063686637,0.21279550019435445,-0.0503880293416236,-0.04027038173826244,-0.03640781113018997,-0.0025021901116172164,-0.022150428859472954,-0.011186181813433635,-0.0033681538059459623,-0.002482064419755518,-0.1541061962719186,-0.09560092598691182,-0.042771129068181916,-0.027919877498356664,-0.02020553799808739,-0.08551877177321662,0.17695661566859008,-0.018641306663588597,-0.08733224245724247,-0.10625422651454593,-0.0037154492528296795,0.0004956967605727798,-0.10322879212388653,-0.001832315282902281,-0.06125472882555983,-0.19294523033258604,0.006535775193708521,-0.0007291646959872271,-0.045885130173318175,-0.0519764366080189,-0.04819507899046371,-0.1235745247253506,-0.26273388875790193,-0.004353787488570168,-0.013734830187938953,-0.03989996843167379,-0.011734952827272991,-0.08147909731014442,-0.06919880953196109,-0.048339176444989015
