,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
autonomy_level=autonomous,-0.034386085951448896,-0.0006426766913762698,0.07992240024997789,-0.09145044183340799,-0.08368334842359237,0.02049058723367994,-0.005585584427640906,0.1695840718762836,-0.010495927935784105,0.005238755519681101
autonomy_level=consultative,0.037987060793526296,-0.02622736142257241,-0.15084262398725284,0.12750523303716443,0.11353229756504311,-0.017561428656753548,0.0012408893043548345,-0.18860724148847155,-0.00931874656685055,0.0015972180983104274
autonomy_level=human_in_the_loop,-0.003950022975718396,0.03366649917450256,0.09320036972120309,-0.045441019724099294,-0.03731056678832834,-0.0040490978768546355,0.0053371928790986204,0.022865108422108812,0.02649566417345463,-0.014130546553182882
autonomy_level=unknown,-0.0007287026163647408,0.012570958950141117,-0.007004153313254278,-0.0024677235538296594,-0.0030191833811158493,-0.0016274089569988512,0.003493547217996604,-0.007858661429100496,-0.0005191450639800677,0.033317571116639765
data_flow_direction=bidirectional,-0.02282760611411771,-0.0013019629447179383,-0.020169958643139585,-0.005026774225742832,-0.06904613868566398,0.011702336896632255,-0.0024403338972151098,0.11714422789755138,-0.00768650732257191,-0.014152947688147692
data_flow_direction=inbound,-0.0033778056447256173,-0.004657813010205602,0.0019245632428199564,0.004086018862503442,-0.012056976740069628,-0.0017117819069865858,0.0006716824176930307,0.00885572748084993,-0.004628418552141777,0.006865161164363536
data_flow_direction=outbound,0.04012429536830147,-0.0284284877173663,-0.1754123233397673,0.12080453043088449,0.16273871638148565,-0.01361960565047464,-0.012019025175405571,-0.22333975220145058,-0.019551279532558245,0.027870672511726844
data_flow_direction=processing,-0.027184705295374645,0.028638364595785983,0.1839726699508986,-0.11730089654914391,-0.12368791506954381,0.007144210347746275,0.013011707023566535,0.1598617640680639,0.023877065657669696,-0.02327730611957852
data_flow_direction=unknown,-0.004161573127597973,0.008075640581235749,-0.006162115788566497,0.0004845126357901897,-0.002924390559895977,0.006093202134392332,0.0004900385726116013,-0.004791332256936391,-0.0008633243562757882,0.026949193287974432
domain_industry_vertical=creative_design,0.012420170678509921,-0.03238454834700701,-0.10162547312118857,0.07233176953578158,0.1456330321317621,-0.011979464077565491,-0.021889210423293594,-0.166223827315573,-0.040667355911051896,0.033657081200967276
domain_industry_vertical=education_academic,0.006445168169077181,-0.0256004014717476,-0.0783347208783918,0.055546550635130656,0.10952632250946112,-0.009321946520868308,-0.018242240558090168,-0.10196050001709554,-0.042384447226990876,-0.009777514520430707
domain_industry_vertical=finance_accounting,-0.006087846890448993,0.0008305005156509818,0.003275628951107627,-0.001982593517136637,-0.013260718475383964,0.0012273807453557063,0.0016560814162207345,0.018784404245033384,0.0054591197917038484,-0.004991124112028528
domain_industry_vertical=general_cross_functional,0.012695183976205974,0.002596818974587459,-0.03673400268704918,0.02795354372087165,0.022106018308312436,0.00011796182669661179,0.006516705370795813,-0.04850784399798953,0.000532838626868864,0.009528074619677475
domain_industry_vertical=hr_people,0.0003174466103618426,0.002518980092304616,0.020341134187555822,-0.008057912161896419,-0.00554207880409055,0.004837823825990911,0.003591862552564738,-0.004442474338740595,0.008698393867546728,0.003674684076821854
domain_industry_vertical=it_engineering,0.02831691528466212,0.005739101396951576,0.016552420602084086,-0.0015326832107067805,0.001048864667508987,0.00031997799336636664,0.005167343521052772,-0.04396081378205381,0.013079346952494495,0.0067836234280696205
domain_industry_vertical=legal_compliance,0.0020588642468282966,0.007490522690094792,0.004711454217770923,0.005350553755158585,0.0013223532536778897,0.0016012070311299737,-0.002969461229906613,-0.020582103185747443,0.011739547923887688,0.006271177363188218
domain_industry_vertical=marketing_content,-0.005685247623473409,0.03440990508110393,-0.019040224954066903,0.0340180612945525,4.969637772113286e-05,0.0016588520691660598,0.003379889137335062,-0.05234870859307069,0.06763373306030696,-0.004271712607879645
domain_industry_vertical=personal_productivity,0.0012951147121027643,-0.006750861697202446,-0.03256707693519609,-0.04546545118130814,-0.07053900467140053,0.0017268417095302117,-0.0021151896531453407,0.15975006987146143,-0.02278449146213717,-0.015308146473577302
domain_industry_vertical=project_management_ops,-0.02329684193695821,0.0078106540881693705,0.14435779736083176,-0.10299351105217673,-0.138153897290996,0.01082740541368131,0.019903232691947752,0.18957293495190705,-0.002323238512385906,-0.01682537945170169
domain_industry_vertical=sales_crm,-0.00826710778407323,0.010186588343498856,0.03743759275165646,-0.00881191927793924,-0.038384469596309714,-0.0009455203858749738,0.0010968008532038023,0.024136914323370867,0.020820797650334788,-0.0028599430842772043
