,template_is_custom,template_is_templated,template=custom,template=unknown
trigger=\N,0.07693756137041437,,0.07693756137041437,-0.07693756137041409
trigger=assignment,0.019967389703336863,,0.019967389703336863,-0.019967389703336877
trigger=automation,0.05223629558321731,,0.05223629558321731,-0.05223629558321726
trigger=dm,0.12735932426935093,,0.12735932426935093,-0.12735932426935082
trigger=introduction,0.09884749306656354,,0.09884749306656354,-0.09884749306656332
trigger=manual,0.005809817199603851,,0.005809817199603851,-0.005809817199603808
trigger=mention,0.012776440564152005,,0.012776440564152005,-0.012776440564151965
trigger=scheduled,0.09660236329267857,,0.09660236329267857,-0.09660236329267907
trigger=task_comment_mention,0.026181351793737234,,0.026181351793737234,-0.02618135179373731
trigger=unknown,-1.0,,-1.0,1.0
