,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
trigger=\N,1.0,-0.0420089789564682,-0.10989886382357482,-0.26794865291015935,-0.2079631998888201,-0.012223154458606791,-0.026880089524587987,-0.20323971770977725,-0.055082405506976066,-0.07693756137041409
trigger=assignment,-0.0420089789564682,1.0,-0.028521744162832808,-0.0695399630277183,-0.053972106499983526,-0.00317224102417337,-0.006976114309290021,-0.05274623440648659,-0.014295382345949173,-0.019967389703336877
trigger=automation,-0.10989886382357482,-0.028521744162832808,1.0,-0.1819221299093905,-0.14119536655864875,-0.008298837367421938,-0.018250075472884243,-0.13798838667922841,-0.037397868664491116,-0.05223629558321726
trigger=dm,-0.26794865291015935,-0.0695399630277183,-0.1819221299093905,1.0,-0.3442538616894361,-0.02023371503540716,-0.044496211956462334,-0.33643480052078917,-0.09118118406072268,-0.12735932426935082
trigger=introduction,-0.2079631998888201,-0.053972106499983526,-0.14119536655864875,-0.3442538616894361,1.0,-0.0157040092521477,-0.03453488017534276,-0.2611174077957336,-0.070768524495165,-0.09884749306656332
trigger=manual,-0.012223154458606791,-0.00317224102417337,-0.008298837367421938,-0.02023371503540716,-0.0157040092521477,1.0,-0.002029807075570897,-0.015347323031308382,-0.004159459972603602,-0.005809817199603808
trigger=mention,-0.026880089524587987,-0.006976114309290021,-0.018250075472884243,-0.044496211956462334,-0.03453488017534276,-0.002029807075570897,1.0,-0.03375048711372985,-0.009147119658526137,-0.012776440564151965
trigger=scheduled,-0.20323971770977725,-0.05274623440648659,-0.13798838667922841,-0.33643480052078917,-0.2611174077957336,-0.015347323031308382,-0.03375048711372985,1.0,-0.0691611542274022,-0.09660236329267907
trigger=task_comment_mention,-0.055082405506976066,-0.014295382345949173,-0.037397868664491116,-0.09118118406072268,-0.070768524495165,-0.004159459972603602,-0.009147119658526137,-0.0691611542274022,1.0,-0.02618135179373731
trigger=unknown,-0.07693756137041409,-0.019967389703336877,-0.05223629558321726,-0.12735932426935082,-0.09884749306656332,-0.005809817199603808,-0.012776440564151965,-0.09660236329267907,-0.02618135179373731,1.0
