feature,importance
trigger=scheduled,0.15745484714581487
read_memory,0.1384925691625632
todo_write,0.12446649027540739
retrieve_tasks_by_filters,0.0845741719852207
post_reply,0.08152745736883685
retrieve_activity,0.0483127291689272
load_assets,0.044676280617621675
post_chat_message,0.036793869083772655
search_workspace,0.026717090200556282
trigger=dm,0.019894347589259256
trigger=introduction,0.01986190297226565
post_task_comment,0.01690350506874382
trigger=\N,0.015487797176247127
update_task,0.01481684537084792
functional_archetype=creator,0.01375856486239245
execution_dataset=collection_scoped,0.01301084306314665
functional_archetype=monitor,0.01149148834984114
execution_dataset=single_user_prompt,0.010276355834327707
load_custom_fields,0.008355299002390596
write_memory,0.0072434621598934075
view_tools_catalog,0.006463020521618276
template=custom,0.005724224148641004
trigger=automation,0.0056565446998288905
domain_knowledge_depth=moderate,0.005277638080387993
output_modality=visual_image,0.005147011057430304
template=unknown,0.005117373609739109
create_task,0.004470816721945729
data_flow_direction=outbound,0.004421335028420459
domain_industry_vertical=creative_design,0.0041246532302421516
template_is_custom,0.004061347768560293
search_users_and_teams,0.002871371099918265
execution_dataset=single_event_data,0.0022545125714253486
create_subtask,0.002221827928948613
add_agent_schedule,0.002211844259437985
generate_image,0.002192112577380119
autonomy_level=consultative,0.0020744943182489945
search_public_web,0.0020491191311916034
update_document,0.0018879776038973918
execution_dataset=collection_unbounded,0.0018484412800161612
output_modality=messages,0.0018479683956309865
create_document,0.0015805610364842094
generate_project_summary,0.0014629679847601874
retrieve_personal_priorities,0.0014546301577687425
execution_dataset=single_asset_from_user,0.00141817803559423
retrieve_chat_messages,0.0013673198189812466
operational_scope=multi_workflow_orchestration,0.0011966344099900222
data_flow_direction=processing,0.001094672545478521
trigger=unknown,0.001087501823598577
generate_project_update,0.0010531882224859427
operational_scope=sequential_workflow,0.0009856381594938227
functional_archetype=organizer,0.0009545674600002108
create_document_page,0.0009361036845709634
load_web_pages,0.0008787646431514107
find_stale_tasks,0.0008111463724921025
edit_image,0.0006996659555987906
trigger=task_comment_mention,0.0006574945576192701
external_integration_scope=clickup_only,0.0006115632348576353
create_list,0.0005891640844999339
domain_industry_vertical=education_academic,0.0005831511960316074
use_case_context=personal_use_case,0.0005251067345980507
functional_archetype=analyzer,0.0004988356808536899
domain_industry_vertical=marketing_content,0.000492591677593327
use_case_context=specific_use_case,0.0004669985258526013
domain_industry_vertical=project_management_ops,0.00043243946534077797
state_persistence=unknown,0.00042853755315874585
search_google_calendar,0.0004041614098924872
autonomy_level=autonomous,0.0003905326434645703
tone_and_persona=professional_formal,0.0003871476722908763
trigger=assignment,0.00038417771933972665
output_modality=task_artifact,0.000353083293346404
generate_stand_up,0.0003364367373364812
domain_knowledge_depth=light,0.0003245919880512455
use_case_context=general_productivity,0.0003120147777950758
functional_archetype=communicator,0.0002950454481028503
operational_scope=branching_workflow,0.0002909001432694102
gmail_create_draft,0.0002906957596628961
tone_and_persona=casual_friendly,0.00027565734040346465
update_comment,0.0002659278508548537
domain_knowledge_depth=none,0.00026571892414926196
domain_industry_vertical=personal_productivity,0.0002509802991353751
state_persistence=state_accumulating,0.00024926597108679467
autonomy_level=human_in_the_loop,0.0002450411943937625
search_clickup_help_center,0.00024306448144900079
move_task_to_list,0.00023340258814703364
team_orientation=individual,0.0002214194653835413
data_flow_direction=bidirectional,0.0002040598704647218
create_custom_field,0.00019909370677342048
output_modality=structured_document,0.0001972486095703976
state_persistence=state_referencing,0.00019402733461665778
tone_and_persona=technical_precise,0.00018601630592653506
domain_knowledge_depth=deep,0.00018235421722829898
tone_and_persona=empathetic_supportive,0.00018230364819157415
external_integration_scope=web_research_integration,0.0001814088194961939
search_clickup_support_resources,0.000176649563857583
implied_end_date=false,0.00017317901491527656
manage_personal_priorities,0.00017196953328646076
team_orientation=small_team,0.00017143867759991858
implied_end_date=true,0.0001711317560124888
functional_archetype=enforcer,0.00016824340733307989
trigger=mention,0.00015650606062244304
external_integration_scope=multiple_external_systems,0.000155181982406709
create_google_calendar_event,0.0001475092346458489
domain_industry_vertical=sales_crm,0.00014382079860100706
