feature,value,mean_shap,n_agents
autonomy_level=autonomous,0,-0.00023166053262586636,270
autonomy_level=autonomous,1,0.0004629445272650613,230
autonomy_level=consultative,0,0.00042364104520757357,322
autonomy_level=consultative,1,-0.0006258248809966715,178
autonomy_level=human_in_the_loop,0,8.694665552173033e-05,411
autonomy_level=human_in_the_loop,1,-0.00028965245220976535,89
autonomy_level=unknown,0,0.0,497
autonomy_level=unknown,1,0.0008430354330266711,3
data_flow_direction=bidirectional,0,8.540711697999946e-06,474
data_flow_direction=bidirectional,1,-8.947766077811207e-05,26
data_flow_direction=inbound,0,0.0,499
data_flow_direction=inbound,1,-0.0020798910902522037,1
data_flow_direction=outbound,0,0.0003290794422633276,281
data_flow_direction=outbound,1,-0.0008880381002530985,219
data_flow_direction=processing,0,9.38951784811274e-05,248
data_flow_direction=processing,1,-2.03219146277569e-05,252
data_flow_direction=unknown,0,0.0,498
data_flow_direction=unknown,1,0.00031349486808721847,2
domain_industry_vertical=creative_design,0,0.0019304188553330632,435
domain_industry_vertical=creative_design,1,-0.007363552800933657,65
domain_industry_vertical=education_academic,0,0.0004052525537403213,437
domain_industry_vertical=education_academic,1,-0.003354292481897938,63
domain_industry_vertical=finance_accounting,0,-5.397220159968205e-05,480
domain_industry_vertical=finance_accounting,1,0.0007216258492206293,20
domain_industry_vertical=general_cross_functional,0,1.5993499658549374e-06,464
domain_industry_vertical=general_cross_functional,1,6.922500767572615e-05,36
domain_industry_vertical=hr_people,0,-1.5221293071031077e-06,491
domain_industry_vertical=hr_people,1,8.362462021548506e-05,9
domain_industry_vertical=it_engineering,0,7.513247666689996e-06,487
domain_industry_vertical=it_engineering,1,-0.0001435308762307185,13
domain_industry_vertical=legal_compliance,0,-4.471850889080117e-06,491
domain_industry_vertical=legal_compliance,1,0.0005499657452048091,9
domain_industry_vertical=marketing_content,0,-0.00023618377169557398,432
domain_industry_vertical=marketing_content,1,0.0016275202951300197,68
domain_industry_vertical=personal_productivity,0,9.486104076904954e-06,476
domain_industry_vertical=personal_productivity,1,-0.0002987542146225053,24
domain_industry_vertical=project_management_ops,0,0.00010456506388263957,329
domain_industry_vertical=project_management_ops,1,-9.387439288741644e-05,171
domain_industry_vertical=sales_crm,0,-3.2247704875553082e-06,478
domain_industry_vertical=sales_crm,1,0.00014143051571285136,22
domain_industry_vertical=unknown,0,0.0,500
domain_knowledge_depth=deep,0,-3.054224546669861e-05,464
domain_knowledge_depth=deep,1,0.0005346721400941353,36
domain_knowledge_depth=light,0,-0.00015011995666899092,341
domain_knowledge_depth=light,1,0.00021934301158536308,159
domain_knowledge_depth=moderate,0,0.0011740054839062958,249
domain_knowledge_depth=moderate,1,-0.0010655421616097046,251
domain_knowledge_depth=none,0,4.113217422351907e-05,446
domain_knowledge_depth=none,1,-0.00020094915290085454,54
domain_knowledge_depth=unknown,0,0.0,500
execution_dataset=collection_scoped,0,-0.004358331397211962,359
execution_dataset=collection_scoped,1,0.007461751077945834,141
execution_dataset=collection_unbounded,0,-0.00011813207502504535,442
execution_dataset=collection_unbounded,1,0.0028464452331730303,58
execution_dataset=single_asset_from_user,0,0.00047100191251338264,455
execution_dataset=single_asset_from_user,1,-0.0033591268295986914,45
execution_dataset=single_event_data,0,0.0004682688696397445,378
execution_dataset=single_event_data,1,-0.0029361448173424198,122
execution_dataset=single_user_prompt,0,0.001299022566623397,368
execution_dataset=single_user_prompt,1,-0.004411793512283203,132
execution_dataset=unknown,0,0.0,498
execution_dataset=unknown,1,0.0009646129871066478,2
external_integration_scope=calendar_integration,0,-6.714888521836768e-06,491
external_integration_scope=calendar_integration,1,-0.00019968593687822692,9
external_integration_scope=clickup_only,0,0.0008054079779224218,90
external_integration_scope=clickup_only,1,-6.619354388692085e-05,410
external_integration_scope=email_integration,0,-2.2968016184982997e-06,484
external_integration_scope=email_integration,1,0.0012326150008398718,16
external_integration_scope=multiple_external_systems,0,-4.640779288951069e-06,487
external_integration_scope=multiple_external_systems,1,-0.0005317454883793989,13
external_integration_scope=unknown,0,0.0,494
external_integration_scope=unknown,1,0.002209725219868043,6
external_integration_scope=web_research_integration,0,-1.6698543270040497e-05,454
external_integration_scope=web_research_integration,1,0.00021673442373741105,46
functional_archetype=analyzer,0,-0.00033684543314072127,448
functional_archetype=analyzer,1,0.0022940708691250662,52
functional_archetype=communicator,0,-0.00016276500331636546,477
functional_archetype=communicator,1,0.0035297514333296125,23
functional_archetype=creator,0,0.00394550617751188,300
functional_archetype=creator,1,-0.005625101869767878,200
functional_archetype=enforcer,0,-2.154120466816082e-05,486
functional_archetype=enforcer,1,0.00011743058531140247,14
functional_archetype=monitor,0,-0.001226781302761378,433
functional_archetype=monitor,1,0.006713066403765101,67
functional_archetype=organizer,0,0.0005045304553525603,357
functional_archetype=organizer,1,-0.0014036222711777567,143
