feature,mean_shap,mean_abs_shap
trigger=scheduled,-0.0011585487536108182,0.08299252908857195
read_memory,0.004529088188122381,0.044367095272041704
todo_write,0.000888130917922884,0.03431512802726879
post_reply,-0.00010805700997449779,0.033995655675372834
retrieve_tasks_by_filters,0.001081080143071191,0.02777660038571301
load_assets,-9.43677815281454e-05,0.023584926387168022
retrieve_activity,-0.002034369776057642,0.02181189857187087
trigger=\N,0.0005119531458035925,0.01387514661432154
search_workspace,-0.0004006861839148615,0.012206220791096236
trigger=introduction,0.0006394224844464677,0.0119339561755847
trigger=dm,-0.0016972015692504967,0.008798283679904347
post_chat_message,0.0010567656320312222,0.007967944305375924
post_task_comment,0.0008691769113218584,0.007910304274562819
update_task,-7.63226394629055e-05,0.005731395824550605
trigger=automation,-0.0001743809579242903,0.00534849591596982
functional_archetype=creator,9.578623632560888e-05,0.005296111249497654
execution_dataset=collection_scoped,-0.0009156430853690462,0.00487179765684121
load_custom_fields,-4.6475002648322945e-05,0.004188486795949028
write_memory,-0.0006139796423805733,0.0032554315023321837
output_modality=visual_image,0.00027233615025391904,0.0030653241867409265
view_tools_catalog,0.00035166066808453843,0.002908747643554051
execution_dataset=single_user_prompt,-0.00022767231397685764,0.0026310530406697713
domain_industry_vertical=creative_design,0.000677347736809086,0.0024611139219318516
template=custom,0.000263098245187384,0.0024556320299169866
template=unknown,0.0001887881815031231,0.0020297200598433413
functional_archetype=monitor,-4.3429430565471454e-05,0.0020169687430701046
generate_project_summary,-0.00044908870078895214,0.0018314411472283695
output_modality=messages,0.0001275986024959528,0.001734546709811116
search_public_web,0.0004991303176072509,0.0014317439611932284
execution_dataset=single_event_data,-0.0004847908286789684,0.0013089045812165897
template_is_custom,0.00010574690137223805,0.001295602003712786
domain_knowledge_depth=moderate,-2.1928135427559894e-06,0.0012459883405584603
create_task,-0.00018129084062162065,0.0012116314055533937
add_agent_schedule,-3.293105517283941e-05,0.0012074070373147064
operational_scope=sequential_workflow,0.00012764430291054403,0.001175283695578226
generate_project_update,-0.00015678106418444038,0.0010769187036757078
generate_image,7.722466666899107e-05,0.0009839663718973339
functional_archetype=organizer,-0.0001494467428950333,0.0009706970901667469
data_flow_direction=outbound,7.356141148254869e-06,0.0008628977331403195
trigger=unknown,2.560740173058549e-05,0.0007934095178039294
execution_dataset=single_asset_from_user,0.0001445154415770747,0.0007399461501518169
update_document,-1.3443708274516006e-05,0.0007314049547615001
domain_industry_vertical=education_academic,-2.1803386676852387e-05,0.0006662178682500027
autonomy_level=consultative,-7.962458117208934e-05,0.0006587212354541196
use_case_context=specific_use_case,7.097464616186932e-06,0.0006305601798407219
search_users_and_teams,-3.534900192275473e-05,0.000557808799526206
use_case_context=personal_use_case,-6.7765546138821484e-06,0.0005139996451781861
create_subtask,-0.0002035077218780431,0.0005045055112293373
trigger=task_comment_mention,-9.544527724920046e-05,0.0005006431371712733
retrieve_chat_messages,-0.0001172681636756397,0.00047715707769939897
create_document_page,-0.00011084998827827643,0.00047289827472941096
domain_industry_vertical=marketing_content,-3.5327946651891834e-06,0.0004551567968319415
execution_dataset=collection_unbounded,0.00012704898846456906,0.00040801384106420514
use_case_context=general_productivity,-5.642448251712171e-06,0.0004028024827990653
edit_image,-7.995071180511484e-05,0.00039277567038124915
domain_industry_vertical=project_management_ops,1.4410269521757037e-05,0.0003898818239044479
functional_archetype=analyzer,-6.627718208774468e-05,0.00038828047404556936
find_stale_tasks,-3.692008296613046e-05,0.00036307923877388487
data_flow_direction=processing,4.9681963616146045e-06,0.0003587385771922677
create_document,-2.357086027488522e-05,0.0003395612141619186
external_integration_scope=clickup_only,2.318646913683496e-05,0.0003385905907024019
tone_and_persona=casual_friendly,3.958034663802933e-05,0.00033676010698471223
domain_knowledge_depth=light,7.891263468736729e-06,0.0003268823679722304
autonomy_level=autonomous,2.3794886389468243e-05,0.0003198326703659784
output_modality=task_artifact,-2.973621770700677e-05,0.0003159580973617131
load_web_pages,4.358853447035927e-05,0.0003091784192048956
create_list,-7.973249649180614e-05,0.00028374552261100684
functional_archetype=communicator,1.0583988039102212e-05,0.0002690741393382134
tone_and_persona=professional_formal,1.7254129360165965e-05,0.0002361829273650743
create_custom_field,0.0001449928548082517,0.00023454022982900824
operational_scope=multi_workflow_orchestration,0.00015158607593393058,0.00022527137776687367
state_persistence=unknown,1.0270447181525823e-05,0.00018429319165848637
operational_scope=branching_workflow,-6.978244294343908e-06,0.000183934493330689
retrieve_personal_priorities,7.435785337302605e-05,0.00015382149194057536
team_orientation=individual,1.549705502978952e-05,0.0001494538717377951
implied_end_date=false,3.553286539888683e-05,0.0001379675151892747
output_modality=structured_document,1.2838549520348579e-05,0.0001377810326680054
autonomy_level=human_in_the_loop,-3.7211604542419155e-06,0.00013477362602441376
generate_stand_up,-8.668094908471177e-06,0.00013332278033410138
implied_end_date=true,5.695288673531415e-05,0.0001212845187595463
domain_industry_vertical=finance_accounting,-3.4700049930766e-05,0.00011883973651064928
trigger=mention,-6.23508793101382e-05,0.00011115592442722586
domain_knowledge_depth=none,3.1810214474700204e-06,0.00011022876628400298
external_integration_scope=web_research_integration,1.1286630677723231e-05,0.00010355022174283298
domain_knowledge_depth=deep,2.313470329539854e-05,0.00010084050138809377
tone_and_persona=technical_precise,-3.573425068354374e-06,9.965996067256841e-05
update_comment,-5.780913997359666e-06,9.530036126078812e-05
external_integration_scope=email_integration,-1.2042783932938611e-05,9.520749052496509e-05
state_persistence=state_accumulating,1.1022597796303294e-05,7.756165789701621e-05
move_task_to_list,-1.7473446361782426e-05,7.602753152501464e-05
trigger=assignment,2.3015002677311714e-07,7.218583839446182e-05
domain_industry_vertical=general_cross_functional,-1.0479087563333006e-05,7.058829800346753e-05
add_task_to_list,-2.514871318228415e-05,6.95230128043249e-05
tone_and_persona=empathetic_supportive,-6.310888334624556e-06,5.9821907285709685e-05
search_google_calendar,-2.8880049652609042e-05,5.798177904375338e-05
team_orientation=small_team,-2.878111831279004e-06,5.550539536867001e-05
state_persistence=state_referencing,-1.7718058847656554e-05,5.4038411029673046e-05
functional_archetype=enforcer,-4.2802838894442635e-06,5.342634118111276e-05
output_modality=email_external_message,3.2672058182147354e-05,5.016698082622955e-05
domain_industry_vertical=personal_productivity,-6.93677368344081e-07,4.93778254240345e-05
domain_industry_vertical=sales_crm,2.1291160700047787e-06,4.342132843881698e-05
external_integration_scope=multiple_external_systems,-9.624604476987314e-06,4.10681065897302e-05
data_flow_direction=bidirectional,-1.759089234950976e-05,4.059690768527336e-05
external_integration_scope=calendar_integration,1.730655809767539e-06,3.608850333122742e-05
create_google_calendar_event,-1.9364111244876808e-05,3.306595871003992e-05
use_case_context=personal_productivity,-3.714026289261768e-06,3.1137611920235284e-05
domain_industry_vertical=legal_compliance,-1.0326346811530074e-06,2.7809386144708694e-05
search_clickup_help_center,2.5570180143622564e-05,2.5570180143622564e-05
state_persistence=stateless,-1.0903672858030403e-05,2.3964342335430046e-05
search_clickup_support_resources,2.3409469611924575e-05,2.3409469611924575e-05
domain_industry_vertical=it_engineering,-2.6549300851138454e-06,2.229669180219844e-05
tone_and_persona=unknown,2.113150157361986e-05,2.113150157361986e-05
gmail_create_draft,2.077296878536799e-05,2.077296878536799e-05
manage_personal_priorities,-1.0864187230235984e-05,1.8323526275016757e-05
output_modality=unknown,1.584669572718667e-05,1.584669572718667e-05
external_integration_scope=unknown,1.2001006007037631e-05,1.3072142230273584e-05
find_similar_assets,8.427506705920675e-06,1.2638785772433025e-05
domain_industry_vertical=hr_people,-6.728052904923066e-06,1.1981520472841128e-05
complete_execution,1.1594935339962832e-05,1.1594935339962832e-05
trigger=manual,-1.0047421377857973e-05,1.0047421377857973e-05
use_case_context=entertainment,1.0037540899629676e-05,1.0037540899629676e-05
operational_scope=single_action,8.97337157189213e-06,8.97337157189213e-06
post_slack_message,-5.581876610021936e-06,8.871636281191967e-06
execution_dataset=unknown,8.51597759242395e-06,8.51597759242395e-06
team_orientation=larger_team,7.55152557899237e-07,8.33441964782196e-06
autonomy_level=unknown,8.13623293955061e-06,8.13623293955061e-06
operational_scope=unknown,9.96442586329067e-07,7.23008934975951e-06
data_flow_direction=inbound,-6.688138148529105e-06,6.688138148529105e-06
data_flow_direction=unknown,3.7562154464785635e-06,3.7562154464785635e-06
reflect,2.094759658066323e-06,2.094759658066323e-06
team_orientation=unknown,1.954550135910722e-06,1.954550135910722e-06
functional_archetype=unknown,1.9121940714831e-06,1.9121940714831e-06
implied_end_date=unknown,1.3849646630114876e-06,1.3849646630114876e-06
update_chat_message,-1.6168363879842217e-07,1.6168363879842217e-07
use_case_context=unknown,-5.688354925950989e-08,5.688354925950989e-08
domain_knowledge_depth=unknown,0.0,0.0
template_is_templated,0.0,0.0
check_calendar_availability,0.0,0.0
rename_memory,0.0,0.0
delete_memory,0.0,0.0
domain_industry_vertical=unknown,0.0,0.0
follow_up_cursor_agent,0.0,0.0
use_case_context=test_or_placeholder,0.0,0.0
get_cursor_agent,0.0,0.0
update_google_calendar_event,0.0,0.0
gmail_fetch_drafts,0.0,0.0
launch_cursor_agent,0.0,0.0
list_available_calendars,0.0,0.0
