,dormant,failure,success
add_agent_schedule,0.0012316621353857748,0.005680961583082719,0.005146395006598163
add_task_to_list,0.001107666716667836,0.005018076104201431,0.005397913417263064
check_calendar_availability,0.000473873338643333,0.002009673905478839,0.0011469483090304846
complete_execution,7.182133297429968e-06,0.00021614563155231703,0.00017170064650772927
create_custom_field,0.0034229737520657505,0.002890070419397803,0.0026130194217424147
create_document,0.02168667741064467,0.014775482494894165,0.02172983653808853
create_document_page,0.022053124036712828,0.02313771763516669,0.037817896716041965
create_google_calendar_event,0.004496883954172888,0.010656325488621077,0.010909634638411839
create_list,0.00887818314853373,0.004609414136537046,0.006588581558964824
create_subtask,0.05133434792442831,0.06657287490826463,0.07683531857864768
create_task,0.08528336261365556,0.10520431757651921,0.1575916224469275
delete_memory,3.544088460447973e-07,5.161908814230778e-06,5.954180175310628e-06
edit_image,0.03766991822273151,0.0026117359607351685,0.003963586065705604
find_similar_assets,0.000143131926975887,0.0013544730950417385,0.0009343110953365104
find_stale_tasks,0.0017302258708602855,0.028730695753051004,0.03316583468451154
follow_up_cursor_agent,2.02519340597027e-06,0.0,2.0388016138724355e-05
generate_image,0.10019648679205008,0.012316646670995817,0.023370962812806127
generate_project_summary,0.002624556745926385,0.01852053900478085,0.039629765741699956
generate_project_update,0.001997508258917137,0.02528050361135129,0.04247390614367483
generate_stand_up,0.0009160978952818593,0.01102920142880126,0.015339356038403371
get_cursor_agent,4.05038681194054e-06,0.0,3.0293125193975056e-05
gmail_create_draft,0.0015492516168679883,0.011807814382709864,0.009981577989449302
gmail_fetch_drafts,0.00012962692384120916,0.002408120691714097,0.0014840384571019665
launch_cursor_agent,5.46802219611973e-05,0.00015126304643775526,0.00014940206158336471
list_available_calendars,0.0,0.0,6.168215857340472e-06
load_assets,0.10731712164010472,0.2624315328057635,0.29577825253385315
load_custom_fields,0.020365103577598867,0.08495317552423698,0.08113407472174022
load_web_pages,0.010473229744027415,0.015393808842261787,0.023942483412827856
manage_personal_priorities,0.0025682568578929677,0.03813244711751029,0.03308677764410182
move_task_to_list,0.0014475867963633432,0.004987591658616998,0.004254253105898426
post_chat_message,0.09350142275544289,0.2975947578567113,0.3722716478030361
post_reply,0.8137430494899126,0.45273986067191074,0.35331885644429395
post_slack_message,0.0003678825769517352,0.006761966058741141,0.006349350130933619
post_task_comment,0.04289827021826342,0.23164057008754535,0.18917404713382813
read_memory,0.0164165867480284,0.10129525717451565,0.15294044728812112
reflect,2.2973103306645077e-05,0.0008403826952652723,0.00016333824177585453
rename_memory,6.572673144830786e-06,7.025028237672001e-06,1.2537442156400278e-06
retrieve_activity,0.014584017052151963,0.17252431795839393,0.24099353251415775
retrieve_chat_messages,0.015962935135549354,0.02520369732371342,0.02333346828256123
retrieve_personal_priorities,0.003204887436099613,0.03897279419829462,0.04558337473609757
retrieve_tasks_by_filters,0.06457332878950173,0.4439049871227363,0.6160808539573301
search_clickup_help_center,0.0007573834238328582,0.0004718695533931008,0.0020162961652107833
search_clickup_support_resources,0.00045882680306247987,0.00039026627992899416,0.0013154648164260237
search_google_calendar,0.002915204329767827,0.031030304736828457,0.028142181268513304
search_public_web,0.030738331897051167,0.04822382419107606,0.11448480222632054
search_users_and_teams,0.003485232990914909,0.020242751003666095,0.021749650547751225
search_workspace,0.05629385787310301,0.17884448496057526,0.23845819072158358
todo_write,0.6997151855390386,2.397235420455585,3.159815367065892
update_chat_message,3.24245162315575e-05,4.481243479049068e-06,7.635015097686222e-05
update_comment,0.00023234412426547201,0.0014357894474034483,0.0009661485227291511
update_document,0.007528936958164783,0.02164329833229362,0.028868947241201273
update_google_calendar_event,0.00043583436706547005,0.0019296172150564158,0.0015514018444284642
update_task,0.05526310966549801,0.17998819953847262,0.16912562863242223
view_tools_catalog,0.02420486847510141,0.04107172487457673,0.043472443993967935
write_memory,0.011347575578874999,0.030830108471913257,0.02903759678313794
