classification_feature,external_feature,correlation
autonomy_level=consultative,post_reply,0.24293508772237957
autonomy_level=autonomous,todo_write,0.21315347919986935
autonomy_level=autonomous,trigger=scheduled,0.17057479862367694
autonomy_level=autonomous,retrieve_tasks_by_filters,0.16801113108216775
autonomy_level=autonomous,retrieve_activity,0.13878245550807183
autonomy_level=consultative,trigger=dm,0.12767834265056716
autonomy_level=autonomous,post_chat_message,0.12441543453966732
autonomy_level=consultative,trigger=introduction,0.1138081003903984
autonomy_level=human_in_the_loop,load_assets,0.10380919506071196
autonomy_level=human_in_the_loop,trigger=automation,0.09481060857978421
autonomy_level=consultative,todo_write,-0.2774319025892618
autonomy_level=consultative,retrieve_tasks_by_filters,-0.1993586246736368
autonomy_level=consultative,trigger=scheduled,-0.18874587774792428
autonomy_level=autonomous,post_reply,-0.17887331415090393
autonomy_level=consultative,trigger=automation,-0.15176154832916056
autonomy_level=consultative,load_assets,-0.13518625129873318
autonomy_level=consultative,load_custom_fields,-0.12986468482685548
autonomy_level=consultative,retrieve_activity,-0.12104587005040807
autonomy_level=consultative,post_chat_message,-0.11704329314175457
autonomy_level=consultative,post_task_comment,-0.11440578131464495
