classification_feature,external_feature,correlation
domain_industry_vertical=project_management_ops,todo_write,0.2780934263512685
domain_industry_vertical=creative_design,edit_image,0.2576036987293836
domain_industry_vertical=project_management_ops,retrieve_tasks_by_filters,0.25716671960186194
domain_industry_vertical=personal_productivity,retrieve_personal_priorities,0.21874660896616033
domain_industry_vertical=creative_design,generate_image,0.21279550019435445
domain_industry_vertical=project_management_ops,retrieve_activity,0.21181421858224572
domain_industry_vertical=project_management_ops,trigger=scheduled,0.19077502330907922
domain_industry_vertical=personal_productivity,search_google_calendar,0.18023939387648336
domain_industry_vertical=creative_design,post_reply,0.17695661566859008
domain_industry_vertical=personal_productivity,trigger=scheduled,0.15986268293169134
domain_industry_vertical=creative_design,todo_write,-0.26273388875790193
domain_industry_vertical=project_management_ops,post_reply,-0.22598551348947923
domain_industry_vertical=creative_design,retrieve_tasks_by_filters,-0.19294523033258604
domain_industry_vertical=creative_design,trigger=scheduled,-0.1661927363511175
domain_industry_vertical=creative_design,load_assets,-0.1541061962719186
domain_industry_vertical=education_academic,todo_write,-0.14755276788616883
domain_industry_vertical=project_management_ops,trigger=introduction,-0.13824366604899904
domain_industry_vertical=creative_design,search_workspace,-0.1235745247253506
domain_industry_vertical=education_academic,retrieve_tasks_by_filters,-0.1200352044826367
domain_industry_vertical=project_management_ops,generate_image,-0.11638754694571758
