classification_feature,external_feature,correlation
domain_knowledge_depth=moderate,post_reply,0.21658228270040009
domain_knowledge_depth=light,todo_write,0.2081634444868066
domain_knowledge_depth=none,retrieve_personal_priorities,0.19742163719874922
domain_knowledge_depth=light,retrieve_tasks_by_filters,0.18812250974910769
domain_knowledge_depth=light,retrieve_activity,0.1612177590318854
domain_knowledge_depth=light,trigger=scheduled,0.1479550322853918
domain_knowledge_depth=moderate,trigger=introduction,0.13540834291624243
domain_knowledge_depth=none,trigger=scheduled,0.13316165161087454
domain_knowledge_depth=none,retrieve_tasks_by_filters,0.12899852250925814
domain_knowledge_depth=none,post_chat_message,0.1210567381915537
domain_knowledge_depth=moderate,todo_write,-0.25408713157542645
domain_knowledge_depth=moderate,retrieve_tasks_by_filters,-0.24437463680136576
domain_knowledge_depth=moderate,trigger=scheduled,-0.19976635812127488
domain_knowledge_depth=light,post_reply,-0.17297340506252937
domain_knowledge_depth=moderate,retrieve_activity,-0.16646111544466863
domain_knowledge_depth=moderate,post_chat_message,-0.14943802949940105
domain_knowledge_depth=moderate,retrieve_personal_priorities,-0.13246140593197567
domain_knowledge_depth=moderate,trigger=automation,-0.11962973000548842
domain_knowledge_depth=light,trigger=introduction,-0.10649199184197407
domain_knowledge_depth=moderate,find_stale_tasks,-0.09902796952714167
