classification_feature,external_feature,correlation
execution_dataset=collection_scoped,retrieve_tasks_by_filters,0.3808582771293606
execution_dataset=collection_scoped,trigger=scheduled,0.3754320238934125
execution_dataset=collection_scoped,todo_write,0.3710872491890586
execution_dataset=single_user_prompt,post_reply,0.27570427810032194
execution_dataset=collection_unbounded,trigger=scheduled,0.26388048401091196
execution_dataset=single_event_data,trigger=automation,0.2465594953472376
execution_dataset=collection_unbounded,todo_write,0.24269979131058772
execution_dataset=collection_scoped,read_memory,0.21692379093760775
execution_dataset=collection_scoped,retrieve_activity,0.2160445395561655
execution_dataset=collection_unbounded,retrieve_tasks_by_filters,0.21270685830358724
execution_dataset=single_user_prompt,todo_write,-0.3304475681761691
execution_dataset=collection_scoped,post_reply,-0.2699433437395629
execution_dataset=single_user_prompt,retrieve_tasks_by_filters,-0.25727927163377884
execution_dataset=single_user_prompt,trigger=scheduled,-0.2428652658374055
execution_dataset=single_event_data,trigger=scheduled,-0.21740201974649043
execution_dataset=single_asset_from_user,todo_write,-0.198209046753586
execution_dataset=collection_scoped,trigger=introduction,-0.18260752867952898
execution_dataset=single_user_prompt,load_assets,-0.18116337836242144
execution_dataset=single_event_data,retrieve_tasks_by_filters,-0.17527231546943114
execution_dataset=single_asset_from_user,trigger=scheduled,-0.16225369005763465
