classification_feature,external_feature,correlation
external_integration_scope=calendar_integration,search_google_calendar,0.4630182280130777
external_integration_scope=web_research_integration,search_public_web,0.376822508204344
external_integration_scope=web_research_integration,load_web_pages,0.3531680922215317
external_integration_scope=unknown,post_slack_message,0.30450846414006916
external_integration_scope=calendar_integration,create_google_calendar_event,0.2701290565590349
external_integration_scope=email_integration,gmail_create_draft,0.22166906189778343
external_integration_scope=multiple_external_systems,search_google_calendar,0.21696449393906778
external_integration_scope=email_integration,view_tools_catalog,0.21279718809788745
external_integration_scope=calendar_integration,check_calendar_availability,0.1705849962840715
external_integration_scope=calendar_integration,update_google_calendar_event,0.14721779174752184
external_integration_scope=clickup_only,search_public_web,-0.30617312466433566
external_integration_scope=clickup_only,load_web_pages,-0.28185949050494663
external_integration_scope=clickup_only,search_google_calendar,-0.2328112620944598
external_integration_scope=clickup_only,view_tools_catalog,-0.18039016717557357
external_integration_scope=clickup_only,gmail_create_draft,-0.11108436520122453
external_integration_scope=web_research_integration,retrieve_tasks_by_filters,-0.10514718552074914
external_integration_scope=clickup_only,create_google_calendar_event,-0.10434435257144227
external_integration_scope=clickup_only,read_memory,-0.09396740037483244
external_integration_scope=clickup_only,todo_write,-0.08822064308390783
external_integration_scope=clickup_only,search_workspace,-0.08261007209565459
